instrument,tenor,n,mean_iv,mean_rv,mean_vrp,med_vrp,pct_pos,vrp_as_pct_of_iv
SOXL,7d,495,0.9707357777777778,0.9445875009149337,0.02614827686284399,0.11179788386971257,0.597979797979798,0.026936554169975067
SOXL,30d,478,0.9293631066945607,1.0318816334453018,-0.10251852675074118,-0.006576428692586955,0.49372384937238495,-0.11031051912031015
SOXL,90d,292,0.9133783561643838,1.0725965018802888,-0.1592181457159052,-0.09887251997316071,0.3321917808219178,-0.17431784390482116
TQQQ,7d,497,0.5836818410462776,0.5715982447106931,0.012083596335584606,0.10079175824188619,0.6458752515090543,0.020702368115348906
TQQQ,30d,481,0.5613646985446986,0.6605492989069296,-0.09918460036223109,0.02453636353983324,0.5654885654885655,-0.1766847837410523
TQQQ,90d,256,0.56911548828125,0.7260103220611064,-0.1568948337798564,-0.027254655545713435,0.4609375,-0.27568189060129894
