date,dte,T,S,F,r,carry
2022-01-03,25,0.0684931506849315,72.0999984741211,71.85356438410793,-0.013023363292018583,-0.049987525941942286
2022-01-03,32,0.08767123287671233,72.0999984741211,71.82632259786087,-0.008400076073079398,-0.043378017344262124
2022-01-03,39,0.10684931506849316,72.0999984741211,71.81785060972956,-0.042579438899132536,-0.03669618505478986
2022-01-03,46,0.12602739726027398,72.0999984741211,71.84334165524471,0.024049505815857075,-0.02829610899933477
2022-01-03,137,0.37534246575342467,72.0999984741211,71.76886078034174,-0.007584436477420625,-0.012264359705761809
2022-01-03,228,0.6246575342465753,72.0999984741211,71.65324605423677,0.012447553374691334,-0.00995035715229823
2022-01-03,382,1.0465753424657533,72.0999984741211,71.62629209988431,0.016978859443726655,-0.006298455733587588
2022-01-04,24,0.06575342465753424,71.06999969482422,71.08932977295132,0.045447618222711254,0.004135898423672521
2022-01-04,31,0.08493150684931507,71.06999969482422,71.09847189067737,0.002305274457411268,0.004716054768907916
2022-01-04,38,0.10410958904109589,71.06999969482422,71.1021084604936,-0.003917157389843591,0.004338588675019861
2022-01-04,45,0.1232876712328767,71.06999969482422,71.07255550741012,-0.016906114507139157,0.00029168576343917844
2022-01-04,136,0.3726027397260274,71.06999969482422,71.09238857162127,-0.0005044345477581546,0.0008453402559497018
2022-01-04,227,0.6219178082191781,71.06999969482422,71.08868671149622,0.01121435920539913,0.00042273049357292674
2022-01-04,381,1.0438356164383562,71.06999969482422,70.96136747030378,0.0006268673293314316,-0.0014654546204692271
2022-01-05,23,0.06301369863013699,64.01000213623047,64.3265019918665,-0.030728938329949714,0.0782743042160035
2022-01-05,30,0.0821917808219178,64.01000213623047,64.34236526722009,-0.16168144564778597,0.0630102980889891
2022-01-05,37,0.10136986301369863,64.01000213623047,64.43519716807312,-0.22362077788325138,0.06531200659218023
2022-01-05,44,0.12054794520547946,64.01000213623047,64.2514185982112,-0.03992590228723135,0.03122781020829444
2022-01-05,135,0.3698630136986301,64.01000213623047,64.28556303403272,0.012837554256101344,0.011614371310322653
2022-01-05,226,0.6191780821917808,64.01000213623047,64.34499525785662,0.013586540862401238,0.008430212356907399
2022-01-05,380,1.0410958904109588,64.01000213623047,64.4584886742569,0.03054704764315936,0.006706467389267286
2022-01-06,22,0.06027397260273973,65.54000091552734,65.3015971857657,-0.041139736512804455,-0.06045996138866574
2022-01-06,29,0.07945205479452055,65.54000091552734,65.27781763817744,-0.020778782022162087,-0.05045027395092089
2022-01-06,36,0.09863013698630137,65.54000091552734,65.26017238807047,-0.001005064676918432,-0.043381512494843504
2022-01-06,43,0.1178082191780822,65.54000091552734,65.28278580785397,-0.01116137156672363,-0.03337859420262656
2022-01-06,50,0.136986301369863,65.54000091552734,65.26763470528375,-0.04303773343965541,-0.030400002243642605
2022-01-06,134,0.36712328767123287,65.54000091552734,65.1978925319445,0.007742322993885256,-0.014255461679737146
2022-01-06,225,0.6164383561643836,65.54000091552734,65.17050854432048,0.010654104530049158,-0.009171417578513993
2022-01-06,379,1.0383561643835617,65.54000091552734,65.03012331190959,0.00179633622339971,-0.007521560902862825
2022-01-07,21,0.057534246575342465,59.7400016784668,59.855359762217226,0.004416262115073589,0.03353029679572128
2022-01-07,28,0.07671232876712329,59.7400016784668,59.80403609322915,0.02339441882919211,0.013965304011649068
2022-01-07,35,0.0958904109589041,59.7400016784668,59.78331092079886,0.0445303955233499,0.007557580812012762
2022-01-07,42,0.11506849315068493,59.7400016784668,59.79073647568084,-0.027757817034690716,0.007377342104696377
2022-01-07,49,0.13424657534246576,59.7400016784668,59.782220347399296,0.03476926338769034,0.005262385705717371
2022-01-07,133,0.3643835616438356,59.7400016784668,59.85994394227965,0.0229655538680665,0.005504433433949685
2022-01-07,224,0.6136986301369863,59.7400016784668,59.93077771769196,-0.004408226444451235,0.005195303438276718
2022-01-07,378,1.0356164383561643,59.7400016784668,59.99481808503422,0.005015612920319846,0.004109969870287227
2022-01-10,25,0.0684931506849315,60.0,59.60533699468605,-0.34256916018563377,-0.09635190092994934
2022-01-10,32,0.08767123287671233,60.0,59.600827173382285,-0.2638622880401501,-0.076137967723888
2022-01-10,39,0.10684931506849316,60.0,59.67640772339421,-0.040627816857892365,-0.050611465662028864
2022-01-10,46,0.12602739726027398,60.0,59.61459850426165,-0.11728959707127926,-0.05113234850078024
2022-01-10,130,0.3561643835616438,60.0,59.55517393597949,0.004476715203626671,-0.020893123071496888
2022-01-10,221,0.6054794520547945,60.0,59.49560149659558,-0.004850503468728067,-0.013942961732849634
2022-01-10,375,1.0273972602739727,60.0,59.30050088242126,-0.00853562335558732,-0.011414094745720388
2022-01-11,24,0.06575342465753424,63.290000915527344,63.012025883943586,-0.01798143419692746,-0.06694340339062192
2022-01-11,31,0.08493150684931507,63.290000915527344,63.01022372221374,-0.19773130998951025,-0.05216390108726715
2022-01-11,38,0.10410958904109589,63.290000915527344,63.07888849486253,-0.007159514904119454,-0.032093219340872524
2022-01-11,45,0.1232876712328767,63.290000915527344,62.979498863518316,-0.024732809987671415,-0.03989121244474617
2022-01-11,129,0.35342465753424657,63.290000915527344,62.94957061587278,0.024178267020680697,-0.015260434452786874
2022-01-11,220,0.6027397260273972,63.290000915527344,62.78407836319165,-0.009071019616174666,-0.013315600124890638
2022-01-11,374,1.0246575342465754,63.290000915527344,62.92675607197959,-0.012377666178285548,-0.0056173941507036175
2022-01-12,23,0.06301369863013699,64.58000183105469,64.42290891165521,0.009059751768265185,-0.03865025289031351
2022-01-12,30,0.0821917808219178,64.58000183105469,64.39567762627777,0.0102249649505131,-0.03477574523128197
2022-01-12,37,0.10136986301369863,64.58000183105469,64.40001738657665,0.02298301153870681,-0.02753175857463363
2022-01-12,44,0.12054794520547946,64.58000183105469,64.41508863582678,0.007824789063382388,-0.02121058491949259
2022-01-12,128,0.3506849315068493,64.58000183105469,64.3380714133178,0.011978056670526364,-0.010702619102496775
2022-01-12,219,0.6,64.58000183105469,64.32871659983824,-0.0011691291796682422,-0.006497764530852049
2022-01-12,373,1.021917808219178,64.58000183105469,64.3525978906324,0.014262490512221204,-0.00345183259064325
2022-01-13,22,0.06027397260273973,60.20000076293945,60.18969556679788,-0.1473251534788148,-0.002840319030261806
2022-01-13,29,0.07945205479452055,60.20000076293945,60.156925385583506,0.0627049375225577,-0.009009130625822964
2022-01-13,36,0.09863013698630137,60.20000076293945,60.12247547215025,-0.006798633762859297,-0.013065230084260677
2022-01-13,43,0.1178082191780822,60.20000076293945,60.121889470597125,0.13892270800085704,-0.01102106700494534
2022-01-13,50,0.136986301369863,60.20000076293945,60.262964500687794,-0.07198466693292485,0.007631147488587148
2022-01-13,127,0.34794520547945207,60.20000076293945,60.12206100116195,0.01181374338692302,-0.003723342681994947
2022-01-13,218,0.5972602739726027,60.20000076293945,60.21686487481922,0.007055968024045756,0.00046896726113859305
2022-01-13,372,1.0191780821917809,60.20000076293945,60.39255505878087,0.011976472003647978,0.0031333795290109964
2022-01-14,21,0.057534246575342465,64.4800033569336,64.23207333407532,-0.03335883808995683,-0.06695976572803279
2022-01-14,28,0.07671232876712329,64.4800033569336,64.19882573161854,0.009478308048108161,-0.05696907637081843
2022-01-14,35,0.0958904109589041,64.4800033569336,64.3174592709523,0.030939502288367105,-0.02632200163388396
2022-01-14,42,0.11506849315068493,64.4800033569336,64.19903638924704,0.005192432257310644,-0.03795086796081
2022-01-14,49,0.13424657534246576,64.4800033569336,64.19627162220145,0.0126375454812894,-0.03285011673298802
2022-01-14,126,0.3452054794520548,64.4800033569336,64.145098402487,0.01966918848077507,-0.015085132787835359
2022-01-14,217,0.5945205479452055,64.4800033569336,63.985426332820836,0.011622519580516475,-0.012951287230152793
2022-01-14,371,1.0164383561643835,64.4800033569336,63.97175361275133,0.0017150661081606264,-0.007785532764069678
2022-01-18,24,0.06575342465753424,55.97999954223633,55.73131017287778,0.21838415249421614,-0.06771305579136072
2022-01-18,31,0.08493150684931507,55.97999954223633,55.733660324849005,0.007216818170858036,-0.05192651155866456
2022-01-18,38,0.10410958904109589,55.97999954223633,55.766925958489296,-0.06137007950705424,-0.036629738402717056
2022-01-18,45,0.1232876712328767,55.97999954223633,55.82199553279991,-0.1231506717078185,-0.02292604758809871
2022-01-18,122,0.33424657534246577,55.97999954223633,55.72236508631403,-0.0032981169143587617,-0.013800835448377796
2022-01-18,213,0.5835616438356165,55.97999954223633,55.819064672235484,-0.004718445601490106,-0.0049335046488911335
2022-01-18,367,1.0054794520547945,55.97999954223633,56.12027077584737,0.005496132375152676,0.002488966086073095
2022-01-19,23,0.06301369863013699,50.81999969482422,51.10552205124256,0.007588473074098012,0.08891055803920807
2022-01-19,30,0.0821917808219178,50.81999969482422,50.94283095457383,-0.03492884888256434,0.029371190047556284
2022-01-19,37,0.10136986301369863,50.81999969482422,51.092689200103095,0.09874787987269917,0.05279129750372229
2022-01-19,44,0.12054794520547946,50.81999969482422,50.95413807926197,0.12319382034805554,0.021866842393639913
