week,monday,spot_1000_high,lots,shares,call_strike,call_expiry,call_px,call_qty,call_premium,call_mark,call_iv,prem_pct,otm_pct,gross_if_called_pct,target_hit,put_strike,put_expiry,put_qty,put_dte,cash_after,equity
1,2023-01-03,9.6,92,9200,10.0,2023-01-06,0.3,92.0,2760.0,print_1000,1.2109,3.125,4.166666666666674,7.291666666666671,False,9.0,2023-02-17,92,45,1090.7999999999956,101784.79999999999
2,2023-01-09,11.9,92,9200,,,,,,,,,,,,9.0,2023-02-17,92,39,93531.2,104489.7
3,2023-01-17,13.29,77,7700,,,,,,,,,,,,9.0,2023-02-17,92,31,466.1999999999971,101174.2
4,2023-01-23,13.98,77,7700,14.0,2023-01-27,0.5700000000000001,77.0,4389.000000000001,print_1000,1.0648,4.07725321888412,0.14306151645206988,4.220314735336192,False,9.0,2023-02-17,92,25,2626.049999999991,113103.04999999999
5,2023-01-30,14.5,78,7800,,,,,,,,,,,,9.0,2023-02-17,92,18,88371.04999999999,122300.04999999999
6,2023-02-06,16.62,74,7400,,,,,,,,,,,,9.0,2023-02-17,92,11,258.54999999998836,116882.54999999999
7,2023-02-13,16.2,74,7400,16.5,2023-02-17,0.78,74.0,5772.0,print_1000,1.4351,4.814814814814816,1.85185185185186,6.666666666666672,True,9.0,2023-02-17,92,4,5982.449999999988,120608.44999999998
8,2023-02-21,14.98,67,6700,15.0,2023-02-24,0.65,67.0,4355.0,print_1000,1.1398,4.339118825100133,0.1335113484646211,4.472630173564751,False,14.0,2023-05-19,67,87,5121.84999999999,117045.34999999999
9,2023-02-27,14.86,70,7000,15.0,2023-03-03,0.5700000000000001,70.0,3990.0000000000005,print_1000,0.9312,3.8358008075370127,0.9421265141319024,4.777927321668915,False,14.0,2023-05-19,70,81,3336.642740977313,121251.64274097732
10,2023-03-06,15.77,71,7100,,,,,,,,,,,,14.0,2023-05-19,71,74,1546.4927409773131,118253.49274097731
11,2023-03-13,13.73,71,7100,14.0,2023-03-17,0.73,71.0,5183.0,print_1000,1.4296,5.3168244719592135,1.966496722505462,7.283321194464673,True,14.0,2023-05-19,71,67,25206.942740977316,118420.94274097732
12,2023-03-20,16.12,68,6800,,,,,,,,,,,,14.0,2023-05-19,71,60,4130.5427409773165,123530.0427409773
13,2023-03-27,16.73,70,7000,,,,,,,,,,,,14.0,2023-05-19,71,53,71405.74274097732,127559.24274097732
14,2023-04-03,17.86,67,6700,,,,,,,,,,,,14.0,2023-05-19,71,46,1732.2427409773227,115212.74274097732
15,2023-04-10,15.61,68,6800,16.0,2023-04-14,0.51,68.0,3468.0,print_1000,0.9945,3.267136450992954,2.4983984625240208,5.76553491351698,False,14.0,2023-05-19,71,39,3594.542740977323,116321.54274097733
16,2023-04-17,15.28,70,7000,15.5,2023-04-21,0.43,70.0,3010.0,print_1000,0.8234,2.8141361256544504,1.4397905759162333,4.253926701570684,False,14.0,2023-05-19,71,32,3502.042740977323,114063.54274097733
17,2023-04-24,14.85,72,7200,15.0,2023-04-28,0.45,72.0,3240.0,print_1000,0.7765000000000001,3.0303030303030303,1.0101010101010166,4.040404040404042,False,14.0,2023-05-19,72,25,3491.5927409773226,112842.59274097733
18,2023-05-01,14.53,74,7400,15.0,2023-05-05,0.37,74.0,2738.0,print_1000,0.8375,2.5464556090846524,3.2346868547832086,5.781142463867864,False,14.0,2023-05-19,74,18,2831.1927409773225,115082.19274097732
19,2023-05-08,14.22,75,7500,14.5,2023-05-12,0.35,75.0,2625.0,print_1000,0.7507,2.461322081575246,1.9690576652601877,4.430379746835438,False,14.0,2023-05-19,75,11,3753.2927409773224,113244.29274097733
20,2023-05-15,14.1,77,7700,14.5,2023-05-19,0.26,77.0,2002.0,print_1000,0.6812,1.843971631205674,2.8368794326241176,4.68085106382979,False,14.0,2023-05-19,77,4,95693.64274097733,114821.64274097733
21,2023-05-22,17.53,58,5800,,,,,,,,,,,,14.0,2023-08-18,58,88,15821.242740977334,136220.24274097732
22,2023-05-30,23.74,55,5500,,,,,,,,,,,,14.0,2023-08-18,58,80,1574.2427409773354,129773.24274097734
23,2023-06-05,21.08,55,5500,21.5,2023-06-09,0.65,55.0,3575.0,print_1000,0.7882,3.0834914611005697,1.9924098671726842,5.075901328273253,False,14.0,2023-08-18,58,74,5619.492740977325,128738.99274097732
24,2023-06-12,23.48,57,5700,,,,,,,,,,,,14.0,2023-08-18,58,67,114827.79274097733,133373.79274097734
25,2023-06-20,24.67,52,5200,,,,,,,,,,,,14.0,2023-08-18,58,59,1322.792740977311,119485.79274097731
26,2023-06-26,23.29,52,5200,23.5,2023-06-30,0.65,52.0,3380.0,print_1000,0.7882,2.7908973808501507,0.9016745384285096,3.6925719192786643,False,14.0,2023-08-18,58,53,1065.392740977311,128824.39274097732
27,2023-07-03,25.35,52,5200,,,,,,,,,,,,14.0,2023-08-18,58,46,1065.392740977311,123203.39274097732
28,2023-07-10,23.48,52,5200,23.5,2023-07-14,0.79,52.0,4108.0,print_1000,0.7296,3.3645655877342415,0.08517887563883608,3.449744463373082,False,14.0,2023-08-18,58,39,58833.49274097731,128431.99274097731
29,2023-07-17,26.42,49,4900,,,,,,,,,,,,14.0,2023-08-18,58,32,698.4927409773009,123885.4927409773
30,2023-07-24,24.79,49,4900,25.0,2023-07-28,0.85,49.0,4165.0,print_1000,0.8562000000000001,3.4288019362646227,0.8471157724889045,4.275917708753534,False,14.0,2023-08-18,58,25,70128.3427409773,127528.8427409773
31,2023-07-31,28.23,45,4500,,,,,,,,,,,,14.0,2023-08-18,58,18,2364.3427409772994,114667.3427409773
32,2023-08-07,25.34,45,4500,25.5,2023-08-11,0.8300000000000001,45.0,3735.0000000000005,print_1000,0.7859,3.2754538279400163,0.6314127861089203,3.906866614048935,False,14.0,2023-08-18,58,11,6070.092740977299,101637.0927409773
33,2023-08-14,21.55,47,4700,22.0,2023-08-18,0.63,47.0,2961.0,print_1000,0.8562000000000001,2.9234338747099766,2.088167053364276,5.011600928074242,False,14.0,2023-08-18,58,4,4689.542740977299,99535.5427409773
34,2023-08-21,21.09,42,4200,21.5,2023-08-25,0.79,42.0,3318.0,print_1000,1.1507,3.745851114272167,1.944049312470364,5.689900426742533,False,21.0,2023-11-17,42,88,3375.4427409773007,104763.4427409773
35,2023-08-28,21.27,43,4300,21.5,2023-09-01,0.71,43.0,3053.0,print_1000,0.875,3.338034790785143,1.0813352139163124,4.4193700047014595,False,21.0,2023-11-17,43,81,49471.8427409773,105014.8427409773
36,2023-09-05,23.52,41,4100,,,,,,,,,,,,21.0,2023-11-17,43,73,69.3427409772994,99725.8427409773
