,Jan 1,Feb 1,Mar 1,Apr 1,May 1,Jun 1
the rule as written,-11.368199999999973,-22.908,-31.709099999999978,0.7632649029946492,-12.26860000000002,-18.962700000000012
roll the call,57.47904999999997,42.4427,20.337099999999978,39.507514902994615,-8.19665000000002,-8.6601
sticky strike,18.432700000000025,6.266500000000036,-3.2112999999999943,5.644314902994637,-10.678900000000013,-22.466700000000017
sell put when flat,-12.92219956270884,-11.74576205520438,-20.508482082055338,-13.024627237312032,-6.006788906677272,-5.6978006430523465
sticky + sell put when flat,15.125715853985895,4.932138179382761,-0.2891914972543219,-6.312577237312013,-0.2864382636249445,-9.201800643052351
sticky + sell put + 30% roll-down,26.061740641353865,16.812282647061252,-0.2891914972543219,-6.312577237312013,-0.2864382636249445,-9.201800643052351
buy & hold SOXL,278.759,187.49516000000006,198.7425,247.06296000000003,40.1319,-14.772099999999995
