week,monday,spot_1000_high,lots,shares,call_strike,call_expiry,call_px,call_qty,call_premium,call_mark,call_iv,prem_pct,otm_pct,gross_if_called_pct,target_hit,put_strike,put_expiry,put_qty,put_dte,cash_after,equity
1,2023-01-03,9.6,92,9200,10.0,2023-01-06,0.3,92,2760.0,print_1000,1.2109,3.125,4.166666666666674,7.291666666666671,False,9.0,2023-02-17,92,45,95648.4,101858.4
2,2023-01-09,11.9,80,8000,12.0,2023-01-13,0.7000000000000001,80,5600.000000000001,print_1000,1.4214,5.882352941176471,0.8403361344537785,6.722689075630249,False,9.0,2023-02-17,92,39,101916.4,104170.4
3,2023-01-17,13.29,76,7600,13.5,2023-01-20,0.46,76,3496.0,print_1000,0.9265,3.461249059443191,1.5801354401805856,5.041384499623783,False,9.0,2023-02-17,92,31,4320.9999999999945,103745.0
4,2023-01-23,13.98,79,7900,14.0,2023-01-27,0.5700000000000001,79,4503.000000000001,print_1000,1.0648,4.07725321888412,0.14306151645206988,4.220314735336192,False,9.0,2023-02-17,92,25,115137.65,115735.65
5,2023-01-30,14.5,79,7900,14.5,2023-02-03,0.88,79,6952.0,print_1000,1.3722,6.068965517241379,0.0,6.068965517241379,False,9.0,2023-02-17,92,18,121959.29999999999,122097.29999999999
6,2023-02-06,16.62,73,7300,17.0,2023-02-10,0.7000000000000001,73,5110.000000000001,print_1000,1.0742,4.21179302045728,2.2864019253910906,6.498194945848371,False,9.0,2023-02-17,92,11,5659.349999999989,120707.34999999999
7,2023-02-13,16.2,76,7600,16.5,2023-02-17,0.78,76,5928.0,print_1000,1.4351,4.814814814814816,1.85185185185186,6.666666666666672,True,9.0,2023-02-17,92,4,6676.44999999999,124400.44999999998
8,2023-02-21,14.98,69,6900,15.0,2023-02-24,0.65,69,4485.0,print_1000,1.1398,4.339118825100133,0.1335113484646211,4.472630173564751,False,14.0,2023-05-19,69,87,5477.249999999989,120741.74999999999
9,2023-02-27,14.86,72,7200,15.0,2023-03-03,0.5700000000000001,72,4104.0,print_1000,0.9312,3.8358008075370127,0.9421265141319024,4.777927321668915,False,14.0,2023-05-19,72,81,112384.74274097731,125128.74274097731
10,2023-03-06,15.77,71,7100,16.0,2023-03-10,0.56,71,3976.0000000000005,print_1000,0.9828,3.551046290424858,1.4584654407102216,5.00951173113507,False,14.0,2023-05-19,72,74,4312.0927409773085,121204.09274097731
11,2023-03-13,13.73,73,7300,14.0,2023-03-17,0.73,73,5329.0,print_1000,1.4296,5.3168244719592135,1.966496722505462,7.283321194464673,True,14.0,2023-05-19,73,67,108794.49274097731,121643.99274097731
12,2023-03-20,16.12,67,6700,16.5,2023-03-24,0.8,67,5360.0,print_1000,1.2601,4.962779156327543,2.3573200992555776,7.320099255583121,True,14.0,2023-05-19,73,60,116589.9427409773,127287.9427409773
13,2023-03-27,16.73,69,6900,17.0,2023-03-31,0.6,69,4140.0,print_1000,0.9406,3.5863717872086074,1.6138673042438656,5.200239091452477,False,14.0,2023-05-19,73,53,122479.0927409773,128225.0927409773
14,2023-04-03,17.86,68,6800,18.0,2023-04-06,0.53,68,3604.0,print_1000,0.7812,2.967525195968645,0.7838745800671898,3.7513997760358375,False,14.0,2023-05-19,73,46,4556.8927409773,119772.8927409773
15,2023-04-10,15.61,70,7000,16.0,2023-04-14,0.51,70,3570.0,print_1000,0.9945,3.267136450992954,2.4983984625240208,5.76553491351698,False,14.0,2023-05-19,73,39,4958.3927409773,120923.8927409773
16,2023-04-17,15.28,73,7300,15.5,2023-04-21,0.43,73,3139.0,print_1000,0.8234,2.8141361256544504,1.4397905759162333,4.253926701570684,False,14.0,2023-05-19,73,32,3464.4427409772998,118589.9427409773
17,2023-04-24,14.85,75,7500,15.0,2023-04-28,0.45,75,3375.0,print_1000,0.7765000000000001,3.0303030303030303,1.0101010101010166,4.040404040404042,False,14.0,2023-05-19,75,25,3354.3927409772996,117315.8927409773
18,2023-05-01,14.53,77,7700,15.0,2023-05-05,0.37,77,2849.0,print_1000,0.8375,2.5464556090846524,3.2346868547832086,5.781142463867864,False,14.0,2023-05-19,77,18,2803.042740977299,119673.5427409773
19,2023-05-08,14.22,78,7800,14.5,2023-05-12,0.35,78,2730.0,print_1000,0.7507,2.461322081575246,1.9690576652601877,4.430379746835438,False,14.0,2023-05-19,78,11,3828.1927409772993,117752.6927409773
20,2023-05-15,14.1,80,8000,14.5,2023-05-19,0.26,80,2080.0,print_1000,0.6812,1.843971631205674,2.8368794326241176,4.68085106382979,False,14.0,2023-05-19,80,4,118549.8927409773,119459.8927409773
21,2023-05-22,17.53,60,6000,18.0,2023-05-26,0.43,60,2580.0,print_1000,0.8398,2.452937820878494,2.681118083285794,5.134055904164283,False,14.0,2023-08-18,60,88,111255.4427409773,119874.9427409773
22,2023-05-30,23.74,46,4600,24.0,2023-06-02,1.01,46,4646.0,print_1000,1.2601,4.254422914911542,1.095197978096052,5.349620893007589,False,14.0,2023-08-18,60,80,6644.542740977306,115218.04274097731
23,2023-06-05,21.08,49,4900,21.5,2023-06-09,0.65,49,3185.0,print_1000,0.7882,3.0834914611005697,1.9924098671726842,5.075901328273253,False,14.0,2023-08-18,60,74,108797.6927409773,114389.6927409773
24,2023-06-12,23.48,46,4600,23.5,2023-06-16,1.15,46,5290.0,print_1000,1.0484,4.89778534923339,0.08517887563883608,4.982964224872229,True,14.0,2023-08-18,60,67,114103.79274097731,117898.29274097731
25,2023-06-20,24.67,46,4600,25.0,2023-06-23,0.72,46,3312.0,print_1000,0.8210000000000001,2.9185245237130117,1.337657073368459,4.2561815970814685,False,14.0,2023-08-18,60,59,3880.8927409772964,109043.8927409773
26,2023-06-26,23.29,47,4700,23.5,2023-06-30,0.65,47,3055.0,print_1000,0.7882,2.7908973808501507,0.9016745384285096,3.6925719192786643,False,14.0,2023-08-18,60,53,115002.3427409773,117211.3427409773
27,2023-07-03,25.35,45,4500,25.5,2023-07-07,0.5700000000000001,45,2565.0000000000005,print_1000,0.6281,2.2485207100591715,0.591715976331364,2.840236686390527,False,14.0,2023-08-18,60,46,3440.5927409773,109585.0927409773
28,2023-07-10,23.48,46,4600,23.5,2023-07-14,0.79,46,3634.0,print_1000,0.7296,3.3645655877342415,0.08517887563883608,3.449744463373082,False,14.0,2023-08-18,60,39,112773.1927409773,113942.1927409773
29,2023-07-17,26.42,42,4200,26.5,2023-07-21,0.89,42,3738.0,print_1000,0.8796,3.368660105980318,0.3028009084027117,3.6714610143830364,False,14.0,2023-08-18,60,32,5498.892740977305,111253.3927409773
30,2023-07-24,24.79,44,4400,25.0,2023-07-28,0.85,44,3740.0,print_1000,0.8562000000000001,3.4288019362646227,0.8471157724889045,4.275917708753534,False,14.0,2023-08-18,60,25,114229.29274097731,114485.29274097731
31,2023-07-31,28.23,40,4000,28.5,2023-08-04,0.95,40,3800.0,print_1000,0.8468,3.365214311016649,0.9564293304994642,4.321643641516116,False,14.0,2023-08-18,60,18,5063.292740977311,104928.79274097731
32,2023-08-07,25.34,41,4100,25.5,2023-08-11,0.8300000000000001,41,3403.0000000000005,print_1000,0.7859,3.2754538279400163,0.6314127861089203,3.906866614048935,False,14.0,2023-08-18,60,11,5905.142740977311,93016.14274097732
33,2023-08-14,21.55,43,4300,22.0,2023-08-18,0.63,43,2709.0,print_1000,0.8562000000000001,2.9234338747099766,2.088167053364276,5.011600928074242,False,14.0,2023-08-18,60,4,4275.192740977312,91049.1927409773
34,2023-08-21,21.09,38,3800,21.5,2023-08-25,0.79,38,3002.0,print_1000,1.1507,3.745851114272167,1.944049312470364,5.689900426742533,False,21.0,2023-11-17,38,88,4090.292740977312,95822.29274097731
35,2023-08-28,21.27,39,3900,21.5,2023-09-01,0.71,39,2769.0,print_1000,0.875,3.338034790785143,1.0813352139163124,4.4193700047014595,False,21.0,2023-11-17,39,81,88223.29274097731,96062.29274097731
36,2023-09-05,23.52,37,3700,24.0,2023-09-08,0.48,37,1776.0,print_1000,0.7531,2.0408163265306123,2.0408163265306145,4.081632653061226,False,21.0,2023-11-17,39,73,2932.742740977311,92919.24274097731
