date,kind,qty,strike,spot,dte,px,otm_pct
2025-01-02,BUY_SHARES,3100,,28.91,,,
2025-01-02,BUY_PUT,31,28.0,28.91,50.0,3.2,-3.147699757869249
2025-01-03,CALL_ASSIGNED,3100,29.0,29.88,,,
2025-01-06,BUY_SHARES,2700,,33.54,,,
2025-01-10,CALL_EXPIRED,27,34.0,28.0,,,
2025-01-13,BUY_SHARES,100,,27.18,,,
2025-01-17,CALL_ASSIGNED,2800,27.5,32.51,,,
2025-01-21,BUY_SHARES,2400,,33.11,,,
2025-01-24,CALL_EXPIRED,24,33.5,32.73,,,
2025-01-27,BUY_SHARES,100,,27.84,,,
2025-01-31,CALL_EXPIRED,25,28.5,26.97,,,
2025-02-03,BUY_SHARES,100,,24.83,,,
2025-02-07,CALL_ASSIGNED,2600,25.0,26.33,,,
2025-02-10,BUY_SHARES,2500,,27.39,,,
2025-02-14,CALL_ASSIGNED,2500,27.5,28.54,,,
2025-02-18,BUY_SHARES,2400,,29.12,,,
2025-02-21,CALL_EXPIRED,24,29.5,28.75,,,
2025-02-21,PUT_EXPIRED,31,28.0,28.75,,,
2025-02-24,SELL_SHARES,300,,27.96,,,
2025-02-24,BUY_PUT,21,27.0,27.96,81.0,4.4,-3.433476394849788
2025-02-28,CALL_EXPIRED,21,28.0,22.73,,,
2025-03-03,BUY_SHARES,200,,22.09,,,
2025-03-03,BUY_PUT,2,22.0,22.09,74.0,3.59,-0.4074241738343143
2025-03-07,CALL_EXPIRED,23,22.5,20.89,,,
2025-03-10,BUY_SHARES,100,,19.34,,,
2025-03-10,BUY_PUT,1,19.0,19.34,67.0,3.62,-1.7580144777662898
2025-03-14,CALL_EXPIRED,24,20.0,19.79,,,
2025-03-17,BUY_SHARES,100,,20.3,,,
2025-03-17,BUY_PUT,1,20.0,20.3,60.0,2.98,-1.4778325123152691
2025-03-21,CALL_EXPIRED,25,21.0,19.24,,,
2025-03-24,BUY_SHARES,100,,20.81,,,
2025-03-24,BUY_PUT,1,20.0,20.81,53.0,2.26,-3.892359442575677
2025-03-28,CALL_EXPIRED,26,21.0,16.01,,,
2025-03-31,BUY_SHARES,100,,15.07,,,
2025-03-31,BUY_PUT,1,15.0,15.07,46.0,2.23,-0.4644990046449915
2025-04-04,CALL_EXPIRED,27,15.5,8.72,,,
2025-04-07,BUY_SHARES,100,,8.99,,,
2025-04-07,BUY_PUT,1,8.0,8.99,130.0,2.4,-11.012235817575089
2025-04-11,CALL_EXPIRED,28,11.0,10.25,,,
2025-04-14,BUY_SHARES,100,,10.71,,,
2025-04-14,BUY_PUT,1,10.0,10.71,123.0,2.34,-6.629318394024287
2025-04-17,CALL_EXPIRED,29,11.5,9.18,,,
2025-04-21,BUY_SHARES,200,,8.44,,,
2025-04-21,BUY_PUT,2,8.0,8.44,116.0,2.02,-5.213270142180093
2025-04-25,CALL_ASSIGNED,3100,9.0,12.33,,,
2025-04-28,BUY_SHARES,2300,,12.2,,,
2025-05-02,CALL_ASSIGNED,2300,12.5,13.32,,,
2025-05-05,BUY_SHARES,2300,,13.29,,,
2025-05-09,CALL_ASSIGNED,2300,13.5,14.09,,,
2025-05-12,BUY_SHARES,1900,,16.81,,,
2025-05-16,CALL_ASSIGNED,1900,17.0,18.39,,,
2025-05-16,PUT_CASH_SETTLED,21,27.0,18.39,,,
2025-05-16,PUT_CASH_SETTLED,2,22.0,18.39,,,
2025-05-16,PUT_CASH_SETTLED,1,19.0,18.39,,,
2025-05-16,PUT_CASH_SETTLED,1,20.0,18.39,,,
2025-05-16,PUT_CASH_SETTLED,1,20.0,18.39,,,
2025-05-16,PUT_EXPIRED,1,15.0,18.39,,,
2025-05-19,BUY_SHARES,2600,,17.73,,,
2025-05-19,BUY_PUT,22,17.0,17.73,88.0,2.85,-4.117315284827983
2025-05-23,CALL_EXPIRED,26,18.0,15.72,,,
2025-05-27,BUY_SHARES,100,,16.9,,,
2025-05-27,BUY_PUT,1,16.0,16.9,80.0,2.49,-5.325443786982243
2025-05-30,CALL_EXPIRED,27,17.0,16.15,,,
