date,equity
2025-01-03,100347.2
2025-01-07,94346.15
2025-01-08,93102.15
2025-01-10,89550.65
2025-01-14,89503.95
2025-01-15,87931.95
2025-01-16,88355.95
2025-01-17,85543.45
2025-01-22,85922.85
2025-01-23,85930.34999999999
2025-01-24,85645.84999999998
2025-01-28,78853.59999999999
2025-01-29,79278.59999999999
2025-01-30,79706.09999999999
2025-01-31,79967.59999999999
2025-02-04,77215.7
2025-02-05,75140.2
2025-02-06,74665.7
2025-02-07,77371.7
2025-02-11,74780.45
2025-02-12,74916.95
2025-02-13,74141.95
2025-02-14,74077.45
2025-02-19,74719.84999999999
2025-02-20,74794.84999999999
2025-02-21,72917.34999999999
2025-02-25,68682.54999999999
2025-02-26,69417.54999999999
2025-02-27,66183.54999999999
2025-02-28,66509.04999999999
2025-03-04,67100.79999999999
2025-03-05,67120.29999999999
2025-03-06,66926.29999999999
2025-03-07,66434.79999999999
2025-03-11,66976.04999999999
2025-03-12,67612.54999999999
2025-03-13,67614.54999999999
2025-03-14,68495.54999999999
2025-03-18,69360.15
2025-03-19,69041.65
2025-03-20,69256.65
2025-03-21,69130.15
2025-03-25,70043.1
2025-03-26,70128.09999999999
2025-03-27,69489.6
2025-03-28,69269.6
2025-04-01,68114.9
2025-04-02,67806.9
2025-04-03,70500.4
2025-04-04,70587.9
2025-04-08,71559.54999999999
2025-04-09,66132.04999999999
2025-04-10,71489.05
2025-04-11,71841.54999999999
2025-04-15,72638.04999999999
2025-04-16,73254.54999999999
2025-04-17,72959.54999999999
2025-04-22,72320.1
2025-04-23,70424.1
2025-04-24,66278.1
2025-04-25,65020.6
2025-04-29,66188.65
2025-04-30,66459.15
2025-05-01,66453.65
2025-05-02,64457.149999999994
2025-05-06,65525.2
2025-05-07,64812.20000000001
2025-05-08,64708.2
2025-05-09,64109.200000000004
2025-05-13,53688.850000000006
2025-05-14,53174.350000000006
2025-05-15,54075.350000000006
2025-05-16,54435.350000000006
2025-05-20,54922.65
2025-05-21,54424.15000000001
2025-05-22,54074.65000000001
2025-05-23,52835.65000000001
2025-05-28,54707.950000000004
2025-05-29,55575.450000000004
2025-05-30,55098.95
2025-06-03,55144.3
2025-06-04,54860.299999999996
2025-06-05,54986.299999999996
2025-06-06,55078.8
2025-06-10,54785.200000000004
2025-06-11,55140.700000000004
2025-06-12,55606.200000000004
2025-06-13,55769.700000000004
2025-06-17,58220.450000000004
2025-06-18,58998.450000000004
2025-06-20,58800.450000000004
2025-06-24,60537.04999999999
2025-06-25,60683.05000000002
2025-06-26,60744.55
2025-06-27,60768.05
2025-07-01,60850.100000000006
2025-07-02,62197.1
2025-07-03,62380.600000000006
2025-07-08,63052.15000000001
2025-07-09,63620.15000000001
2025-07-10,64230.15000000001
2025-07-11,64468.65000000001
2025-07-15,66784.55000000002
2025-07-16,67014.55
2025-07-17,67514.05
2025-07-18,67868.55
2025-07-22,64538.600000000006
2025-07-23,63603.600000000006
2025-07-24,63147.600000000006
2025-07-25,63016.999161401116
2025-07-29,66208.61287632496
2025-07-30,66960.5
2025-07-31,63568.95883127937
2025-08-01,61699.272755438076
2025-08-05,63056.86901721311
2025-08-06,62708.75
2025-08-07,64781.14229836913
2025-08-08,65773.68245152263
2025-08-12,66904.65
2025-08-13,67660.65
2025-08-14,67672.65
2025-08-15,67876.65
2025-08-19,67749.95597596411
2025-08-20,67371.95597596411
2025-08-21,67245.95597596411
2025-08-22,69786.95597596411
2025-08-26,70856.50597596413
2025-08-27,69734.50597596413
2025-08-28,70559.50597596413
2025-08-29,69547.50597596413
2025-09-03,67993.20597596413
2025-09-04,70259.20597596413
2025-09-05,68708.20597596413
2025-09-09,69918.55597596412
2025-09-10,68145.55597596412
2025-09-11,67721.05597596412
2025-09-12,68337.55597596413
2025-09-16,67026.55597596412
2025-09-17,67175.55597596413
2025-09-18,67430.55597596412
2025-09-19,66782.55597596412
2025-09-23,70977.8876328431
2025-09-24,70711.88763284309
2025-09-25,70792.8876328431
2025-09-26,70405.8876328431
2025-09-30,72301.0376328431
2025-10-01,74167.0376328431
2025-10-02,73915.0376328431
2025-10-03,74810.5376328431
2025-10-07,70965.1376328431
2025-10-08,75067.1376328431
2025-10-09,74879.1376328431
2025-10-10,66037.1376328431
2025-10-14,69411.0876328431
2025-10-15,72988.5876328431
2025-10-16,74369.5876328431
2025-10-17,74750.0876328431
2025-10-21,74118.0376328431
2025-10-22,70924.03763284312
2025-10-23,74530.5376328431
2025-10-24,77824.0376328431
2025-10-28,78505.6376328431
2025-10-29,80308.6376328431
2025-10-30,79616.6376328431
2025-10-31,81090.6376328431
2025-11-04,73779.23763284311
2025-11-05,79490.23763284311
2025-11-06,74508.23763284311
2025-11-07,72479.23763284311
2025-11-11,74016.68763284311
2025-11-12,76975.18763284311
2025-11-13,70721.68763284311
2025-11-14,70240.68763284311
2025-11-18,64502.137632843114
2025-11-19,66974.1376328431
2025-11-20,59033.13763284311
2025-11-21,59967.63763284311
2025-11-25,66638.96429059826
2025-11-26,65738.96429059826
2025-11-28,64838.96429059826
2025-12-02,65514.364290598256
2025-12-03,65679.86429059826
2025-12-04,65333.864290598256
2025-12-05,65192.86429059826
2025-12-09,65372.56429059827
2025-12-10,66455.56429059827
2025-12-11,66163.06429059827
2025-12-12,61030.06429059826
2025-12-16,61006.11429059826
2025-12-17,57310.11429059826
2025-12-18,60029.61429059826
2025-12-19,62793.61429059826
2025-12-23,64787.16429059827
2025-12-24,65268.66429059827
2025-12-26,65784.66429059826
2025-12-30,66479.77799039969
2025-12-31,65365.777990399685
2025-12-31,62381.77799039969
