year,final,ret,maxdd,sharpe,bh_final,bh_ret,bh_maxdd,premium,assigned,expired,rolled,roll_cost,roll_credit,med_prem_pct,med_otm_pct,writes,pnl_shares,pnl_calls,pnl_puts,fees
2022,60291.23192123434,-39.70876807876566,-44.80265842505349,-1.4108641935157173,13816.0,-86.184,-90.39006945441886,142660.0,20,32,0,0.0,0.0,4.745173211643349,2.164192457384506,52,-88753.0,9082.999999999998,41972.831921234334,2011.6
2023,83432.25162622986,-16.56774837377014,-42.71957295068217,-0.4508565747256138,327068.8,227.06879999999998,-49.15742621824191,171750.0,23,29,0,0.0,0.0,3.271295139466485,1.3787676847572539,52,113894.00000000001,-62670.000000000015,-64495.14837377015,3296.6000000000004
2024,66471.84835595704,-33.52815164404296,-44.18262696516271,-1.0357805018436517,93494.4,-6.5056,-62.18897547746247,145636.96670787546,25,27,0,0.0,0.0,3.870967741935484,0.9206798866855603,53,9778.99999999997,-15859.033292124512,-26196.668351918448,1251.45
2025,62381.77799039969,-37.61822200960031,-47.347160658194746,-0.8851629364954907,145382.08,45.38207999999999,-76.51733093243163,116971.24535668042,25,27,0,0.0,0.0,3.9095907147220528,0.917431192660545,53,-16940.0,9487.245356680452,-28750.067366280717,1415.3999999999999
2026,88631.80000000003,-11.368199999999973,-33.03355318805718,-0.2731439456208696,378759.0,278.75899999999996,-43.430979331821675,121009.0,15,11,0,0.0,0.0,5.011403308792304,1.3540475830978727,26,106157.00000000006,-62172.000000000015,-54935.0,418.2000000000001
