date,equity
2022-01-04,100860.4
2022-01-05,99126.4
2022-01-06,100428.4
2022-01-07,97224.4
2022-01-11,92913.3
2022-01-12,91612.3
2022-01-13,94776.8
2022-01-14,91557.8
2022-01-19,91264.30000000002
2022-01-20,90648.34573928814
2022-01-21,90829.3
2022-01-25,91667.85
2022-01-26,91976.35
2022-01-27,93715.85
2022-01-28,94383.35
2022-02-01,91222.40000000001
2022-02-02,87575.90000000001
2022-02-03,94800.40000000001
2022-02-04,94858.0
2022-02-08,94159.85000000002
2022-02-09,89980.35
2022-02-10,94964.85000000002
2022-02-11,96919.35
2022-02-15,93670.25000000001
2022-02-16,93819.25000000001
2022-02-17,98703.25
2022-02-18,99760.75000000001
2022-02-23,98556.05000000002
2022-02-24,101333.55000000002
2022-02-25,102870.05000000002
2022-03-01,100854.90000000001
2022-03-02,103387.90000000001
2022-03-03,101413.90000000001
2022-03-04,98935.40000000001
2022-03-08,98090.25000000001
2022-03-09,98872.75000000001
2022-03-10,99282.75000000001
2022-03-11,98147.25000000001
2022-03-15,97355.30000000002
2022-03-16,94007.80000000002
2022-03-17,92930.30000000002
2022-03-18,89847.6
2022-03-22,91161.6
2022-03-23,89683.1
2022-03-24,93130.6
2022-03-25,92820.90000000001
2022-03-29,94395.40000000001
2022-03-30,91934.40000000001
2022-03-31,90147.40000000001
2022-04-01,88261.40000000001
2022-04-05,88517.05000000002
2022-04-06,88095.55000000002
2022-04-07,88158.55000000002
2022-04-08,87781.05000000002
2022-04-12,89014.55000000002
2022-04-13,88202.05000000002
2022-04-14,89847.05000000002
2022-04-19,87365.40000000001
2022-04-20,87902.40000000001
2022-04-21,90996.90000000001
2022-04-22,91867.90000000001
2022-04-26,93120.6
2022-04-27,93754.6
2022-04-28,92079.1
2022-04-29,94286.60000000002
2022-05-03,92958.22597705726
2022-05-04,89007.72597705726
2022-05-05,96060.72597705726
2022-05-06,96760.72597705726
2022-05-10,98073.47597705726
2022-05-11,99057.97597705727
2022-05-12,99308.97597705726
2022-05-13,99414.47597705726
