,5min,10min,15min,30min,1h,half-day,1day
SPXL,49.51478128242921,49.29347241689753,49.237420344588195,49.141767576430475,49.50626067556891,48.91323933673529,48.58689278026408
FAS,58.59016832487186,58.39082409422287,58.29644518985284,58.062262942514785,58.865123384170616,58.188283962005684,57.89511914044423
VXX,68.97523828524183,68.10705965515811,67.5620180168018,68.02950541185183,67.32002388455224,67.03337729851025,67.38264366452249
