strategy,exposure,rt_per_yr,ann_ret,ann_vol,sharpe_gross,max_dd,breakeven_bp,SR@1bp,ret@1bp,SR@2bp,ret@2bp,SR@3bp,ret@3bp,SR@5bp,ret@5bp,SR@10bp,ret@10bp
ON SPXL (ungated),1.0,252.0,0.19924013172909574,0.305207345651733,0.6528025441315731,-0.5510682679637726,7.9063544336942755,0.5702357240368979,0.17404013172909574,0.4876689039422228,0.14884013172909577,0.4051020838475472,0.12364013172909566,0.23996844365819672,0.07324013172909566,-0.1728656568151794,-0.052759868270904314
ON FAS (ungated),1.0,252.0,0.21605490978727923,0.3381329434703264,0.6389643894790737,-0.5236332569308197,8.57360753124124,0.5644374896704737,0.1908549097872792,0.48991058986187397,0.1656549097872793,0.4153836900532735,0.1404549097872791,0.26632989043607397,0.0900549097872792,-0.1063046086069259,-0.03594509021272085
ON 50/50 (ungated),1.0,252.0,0.2076475207581875,0.30804714959247514,0.6740770723991139,-0.5310490927969966,8.239980982467758,0.5922714136441543,0.1824475207581875,0.510465754889195,0.15724752075818754,0.4286600961342347,0.13204752075818738,0.26504877862431575,0.08164752075818742,-0.143979515150482,-0.04435247924181256
ON SPXL (gated rv21<45%),0.584717607973422,147.34883720930233,0.19131487498251226,0.16787221899824026,1.1396458337428528,-0.20582198437616572,12.983806225138931,1.0521568665149996,0.1765799912615821,0.9645994941210607,0.16184510754065182,0.8769793463653676,0.14711022381972155,0.7015733439510109,0.11764045637786111,0.2623573224787899,0.04396603777320992
ON FAS (gated rv21<45%),0.584717607973422,147.34883720930233,0.13221729857688866,0.19182688143701127,0.6892532349294531,-0.34663006633654425,8.973080553671421,0.6125261580689103,0.11748241485595848,0.5357685278082929,0.10274753113502824,0.4589841595912787,0.08801264741409791,0.3053505034358382,0.05854287997223746,-0.07893342359359452,-0.015131538632413673
ON 50/50 (gated rv21<45%),0.584717607973422,147.34883720930233,0.1617660867797005,0.16769075665675265,0.9646690730295924,-0.2686636836174796,10.978443389405179,0.8769998150152475,0.14703120305877027,0.7892733663809824,0.13229631933784,0.7014954053786162,0.11756143561690975,0.5258077412876356,0.08809166817504926,0.08608736198471288,0.014417249570398114
