,ann_ret,ann_vol,sharpe,max_dd,calmar,cvar95,worst_day,ann_turnover,n_days,avg_w,solver_fails
equal_weight,-0.10335187829063115,0.23035616906479658,-0.4486612132430429,-0.639121957355995,-0.1617091653652317,-0.034387166898818,-0.08806018021894414,0.0,1379,[0.333 0.333 0.333],0
inverse_vol,-0.07264499214271476,0.24976778012814813,-0.2908501332935852,-0.6760317398947304,-0.1074579607076242,-0.03659716539182921,-0.11893110788998694,0.4566906224145126,1379,[0.387 0.33  0.283],0
risk_parity_ERC,-0.1810780103415328,0.20246626528353434,-0.8943613894786405,-0.7141576009117138,-0.2535546917240165,-0.029711466036096226,-0.07248058187915878,0.7082082578095941,1379,[0.324 0.274 0.402],0
min_variance,-0.18905314747833,0.1988982619186647,-0.9505017573036377,-0.7432778027858329,-0.2543505897387918,-0.029053040592158363,-0.06949974822505198,0.9176904292728447,1379,[0.498 0.092 0.409],0
SPXL+FAS_invvol,0.19739291569353679,0.49628881980835876,0.39773798605771493,-0.6358488488882261,0.310439998497561,-0.0757684391025574,-0.22032515930367388,0.2661639728649592,1379,[0.539 0.461 0.   ],0
buyhold_SPXL,0.2296568094633358,0.49836745574063884,0.46081823124272014,-0.6385748544021929,0.3596396066649554,-0.07559572088029337,-0.19801524709592674,,1379,-,0
buyhold_FAS,0.17026944269199656,0.5559537101837622,0.30626550299613353,-0.6774721676489848,0.2513305355153976,-0.08396370250104415,-0.24765864870722124,,1379,-,0
buyhold_VXX,-0.7099818870272259,0.6754426191206717,-1.051135754435394,-0.9845233855650521,-0.7211427350907897,-0.08921335905034557,-0.23495441941785752,,1379,-,0
