rule,exposure,sr_train,sr_test,sr_full,ann_full,maxdd
rv21:bot50,0.6268343815513627,0.8735892979824831,1.6428774655801959,1.2592527792788402,0.22090931011978476,-0.20582198437616572
dow:bot33,0.39622641509433965,0.7660472155255968,0.7755861786962278,0.7696906427677499,0.13516494497404113,-0.20217356034232237
dow:bot25,0.39622641509433965,0.7660472155255968,0.7755861786962278,0.7696906427677499,0.13516494497404113,-0.20217356034232237
close_in_range:bot50,0.5052410901467506,0.7563856242292679,0.9888199658807881,0.8619267183302781,0.20200918884874922,-0.2724438313743135
rsi14:bot50,0.480083857442348,0.7506592438474438,0.9698094327915531,0.8474487671871339,0.21223833224048091,-0.37183509368315926
vxx_level_z:top33,0.41579315164220826,0.7169423825787286,0.6376183488950775,0.6704595911631176,0.15836978359350987,-0.39105451393048174
vxx_chg:top25,0.2445842068483578,0.6581834869032329,0.1684848148517378,0.42531230741086423,0.074293626187586,-0.3134544831971855
volume_ratio:bot33,0.36058700209643607,0.6572450194059044,0.2993812193575116,0.4859874834460477,0.07776137330339977,-0.2380466643818353
prior_overnight:bot50,0.4835779175401817,0.6243433151044623,-0.14519457524174506,0.27400411481300707,0.06301251549402138,-0.4340312881365942
volume_ratio:bot25,0.27113906359189377,0.6083079091401986,0.6084838765150846,0.6077688576010722,0.07866212340977392,-0.1493563461427867
vxx_level_z:top25,0.31446540880503143,0.5998502028865262,0.4238965634344913,0.49816970745092215,0.10746637281104761,-0.3935421551006708
vxx_chg:bot33,0.3004891684136967,0.5943403159838159,0.7133244886062972,0.6417270180434285,0.10624302259724033,-0.2885440726974653
intraday_ret:bot50,0.5122292103424179,0.5438932499686102,0.37059123235355906,0.4670656169620949,0.10624048835952733,-0.29908968663736024
volume_ratio:bot50,0.5387840670859538,0.5291759681122936,0.5162896694053215,0.5234669358324145,0.10776592999993674,-0.301805282413082
last30_ret:bot50,0.469601677148847,0.5108748792183482,1.4353699495831818,0.8638647790981078,0.18600444772850663,-0.305260785671729
prior_overnight:bot25,0.2236198462613557,0.4828238454812587,-0.29049735063613824,0.11091510603133908,0.020610456114283887,-0.41045185919713856
rv5_over_rv21:bot25,0.2557651991614256,0.4486331669876223,0.5047135637606499,0.4732902701633013,0.06946588114711368,-0.2319286458242722
volume_ratio:top33,0.30118798043326345,0.4355000308735937,0.8742438176990144,0.6307812068290009,0.12505331528759397,-0.2449024379989987
rv5_over_rv21:top25,0.2522711390635919,0.42956315335674106,0.5683883944424122,0.49577661773184134,0.08842301611291613,-0.290695215858471
vxx_chg:bot25,0.23340321453529,0.4096554966490504,1.4420554612159402,0.8060496744009161,0.1156164794420105,-0.40867205818064933
vxx_level_z:top50,0.5807127882599581,0.3702472661480559,0.720453192022401,0.5360354230450795,0.14234373174555867,-0.4523155319222225
dow:bot50,0.6023759608665269,0.36905293262068034,1.2158224992422904,0.7213382616985095,0.16585112003546051,-0.31592111484872354
vxx_level_z:bot25,0.18448637316561844,0.36646492800401204,0.6031310926641261,0.37027891878645913,0.038457544487801226,-0.19808414430573662
