name,sharpe,sr_test,ann_ret,max_dd,dsr,rt_yr,be_bp
ON: SPXL,0.6528025441315731,0.9677540966419302,0.19924013172909574,-0.5510682679637726,0.7690138283123704,252.0,7.9063544336942755
ON: FAS,0.6389643894790737,0.3111560563603074,0.21605490978727923,-0.5236332569308197,0.7599274456803756,252.0,8.57360753124124
ON: 50/50 SPXL+FAS,0.6740770723991139,0.6722582380424318,0.2076475207581875,-0.5310490927969966,0.7850134506173727,252.0,8.239980982467758
"BH: SPXL (benchmark, 0 turnover)",0.5846825385963884,0.821218784151537,0.29110443006817893,-0.6385748544021925,1.0,0.0,
INTRADAY-only: SPXL,0.2236538191131977,0.22463013200955603,0.09186429833908269,-0.4202242348398063,0.3794658602670099,252.0,3.645408664249313
INTRADAY-only: FAS,0.10062549919525757,0.44048252646955677,0.04584464417500645,-0.6309486156588909,0.27184962086800046,252.0,1.8192319117066051
ON gated: SPXLrv(21)<0.45,0.9646690730295924,0.9279246199983878,0.1617660867797005,-0.2686636836174796,0.6588414661110962,5.8604651162790695,276.0294337907588
IntradayMR best: FAS lb=6 thr=1.5,0.4798575943614935,0.0527904276507171,0.07944826640171974,-0.21614154587983103,0.17675089372641256,2340.2868525896415,0.3394808901900481
