rule,exposure,sr_train,sr_test,sr_full,ann_full,maxdd
vxx_chg:bot33,0.3004891684136967,1.3493094431134347,0.5780088625823637,1.0463855297963787,0.20422525296829386,-0.28026916030618776
volume_ratio:bot25,0.246680642907058,1.1097201951190578,1.440565649565564,1.258842003704052,0.187465377962065,-0.15240573761003884
dist_sma20:top50,0.5052410901467506,1.0946822325685186,0.470021429549288,0.852434002729267,0.17094574862147338,-0.28805244323464485
intraday_ret:top50,0.49825296995108315,0.9990026331712749,0.4552940456130701,0.7614186813248403,0.16879815291564573,-0.33269097481573584
ret5d:top50,0.5003494060097834,0.9910885043137257,-0.23925970153909393,0.5463219679686101,0.11028023247010921,-0.3876905354680146
vxx_chg:bot50,0.4591194968553459,0.9865972095904311,0.6814289545442074,0.8648888574805985,0.19957028874213265,-0.4015386725456005
ret5d:top33,0.2976939203354298,0.9646062738771357,1.3235478257376232,1.0385340883531125,0.16288442829947744,-0.17890524428595
vxx_level_z:bot25,0.18448637316561844,0.9578409765024991,1.2961228341109658,0.8826732763608306,0.1107268572347801,-0.2271303818586896
ret5d:top25,0.2138364779874214,0.9051329916694577,0.7415074791676681,0.8237214218492972,0.11715692450924799,-0.17866739439096335
vxx_chg:bot25,0.23340321453529,0.8848805437377171,1.2029332169865605,0.9875985124030089,0.17090204849056803,-0.4188967025903785
close_in_range:top50,0.4947589098532495,0.8693498815532764,0.22095694062655408,0.5874079794033434,0.12687855753860997,-0.32934610111464513
dow:bot33,0.39622641509433965,0.8108565600728354,0.7353894153120626,0.77853446430017,0.15762022717293153,-0.2171791015105925
dow:bot25,0.39622641509433965,0.8108565600728354,0.7353894153120626,0.77853446430017,0.15762022717293153,-0.2171791015105925
close_in_range:top33,0.3256464011180992,0.7626392656838256,-0.2122166572709885,0.34014838975706413,0.06092127325361043,-0.32088207852306694
vxx_level_z:bot50,0.4192872117400419,0.7336078916235441,0.2856901261594697,0.5775118317717886,0.09879653209241258,-0.3196938818380254
rv21:top33,0.2292103424178896,0.6766479130103072,-0.24588730326344935,0.3635410472039837,0.0834902005444145,-0.3226613654841526
prior_overnight:bot50,0.5115303983228512,0.6706832016853201,-0.7339602574987452,0.06053008530572415,0.015678847073367846,-0.6294508493760116
vxx_level_z:top33,0.41579315164220826,0.6698660775226705,0.3787597567360818,0.5370627773918786,0.14174728574459738,-0.43648509713043326
rv5_over_rv21:top50,0.4919636617749825,0.6423159560884747,0.17594463418542566,0.4558439591898645,0.12322131649636758,-0.5122068145732054
volume_ratio:bot33,0.32914046121593293,0.6294212716685841,1.3559834263524329,0.908777695299683,0.16770226928491822,-0.2749838367595141
volume_ratio:bot50,0.4919636617749825,0.625011685088761,0.8892522093599796,0.725845945847896,0.16535456635151152,-0.3187006327251426
close_in_range:top25,0.2501747030048917,0.6198975249467978,-0.04576150942951933,0.31854235878485637,0.051300723774199475,-0.3005391753237774
rv21:top50,0.3549965059399022,0.6040667104720363,-0.1264479280179464,0.35690511174035056,0.09491967300242286,-0.38024753786359067
vxx_level_z:bot33,0.2690426275331936,0.598632304805957,1.0245106622803544,0.6426798525725217,0.09076196836531569,-0.3430294357789533
dist_sma20:top33,0.3277428371767994,0.5758607223945301,0.7109657182057043,0.623792483811017,0.08818926335667313,-0.25775303855277965
last30_ret:top50,0.5192173305380853,0.5611374872459779,0.3708766010650103,0.4813542879400814,0.11515776510852276,-0.42107151027701395
dow:top33,0.3976240391334731,0.5454677325002333,-0.2464281723847827,0.23674526720983763,0.05326052827682685,-0.4535439764102116
dow:top25,0.3976240391334731,0.5454677325002333,-0.2464281723847827,0.23674526720983763,0.05326052827682685,-0.4535439764102116
