sym,ann_ret_5m,ann_vol_5m,ann_ret_1d,ann_vol_1d,sharpe_1d,skew_1d,exkurt_1d,worst_day,best_day,JB_p,hill_tail_alpha,max_dd
SPXL,0.0675580189757076,0.3933651729497191,0.2911044300681789,0.4978845969421552,0.5846825385963883,-0.312456597844588,5.216600445776116,-0.19801524709592674,0.2472569691722711,0.0,2.813407077693516,-0.6385748544021925
FAS,-0.06281412059370636,0.44854436654477403,0.2618995539622853,0.5636228933432876,0.46467160410882974,-0.2154132959632869,4.0219729396772355,-0.24765864870722124,0.20303186990718164,1.2613527225858932e-221,3.114111592537694,-0.677472167648985
VXX,-0.3101366761361099,0.5585813274325564,-0.745653159036549,0.6670912014118348,-1.117767941562481,0.9829369188538345,7.332142017584598,-0.23495441941785752,0.3490310218276226,0.0,3.0343186756010336,-0.9897148153991796
