sizing,ann_ret,ann_vol,sharpe,max_dd,avg_lev,turnover,realized_vs_target,target
constant (1x),0.3212044597547549,0.4780905358547372,0.6718486053703216,-0.4923602573212177,1.0,0.0,2.390452679273686,SPXL
vol-target off M0,0.15709133129646946,0.28740571142998683,0.5465838883815556,-0.3419766173709954,0.7272745807692825,25.831589085573164,1.4370285571499342,SPXL
vol-target off M1,0.15014799822206354,0.28755433433439104,0.5221552252711292,-0.35143963680502566,0.729207863116851,27.00678168147686,1.437771671671955,SPXL
vol-target off M2,0.15261742546738372,0.288908025227349,0.528256095853638,-0.34862828593524386,0.7365786470298828,28.566133437937204,1.4445401261367448,SPXL
constant (1x),0.23420575413429134,0.522794701396034,0.4479880027645362,-0.45761283344336845,1.0,0.0,2.61397350698017,FAS
vol-target off M0,0.13536072695050408,0.2665137426959947,0.5078939854328883,-0.2852871993944279,0.5808119869885018,15.264829761472518,1.3325687134799735,FAS
vol-target off M1,0.14153274167417929,0.26612677007617874,0.5318245196966301,-0.2739052208432493,0.5816905627397704,15.773546832683323,1.3306338503808937,FAS
vol-target off M2,0.13984736937725317,0.2663729278196827,0.5250059400628011,-0.28885242146977474,0.58520998078283,17.728672482781736,1.3318646390984135,FAS
