vxx_weight,ann_ret,ann_vol,sharpe,max_dd,calmar,cvar95,worst_day,ann_turnover,n_days
0.0,0.2765019920152321,0.5006102575336102,0.5523298571177763,-0.6369640903322434,0.4340935324485991,-0.07550236008901749,-0.222836947901574,,1505
0.01,0.2662143113663232,0.4909047692727831,0.5422931860301295,-0.6325340395792756,0.42086954172994906,-0.0738942514298354,-0.2187936448710951,,1505
0.02,0.25592663071741417,0.4812464221127723,0.5317995499973648,-0.628049929849905,0.4074940837563297,-0.07229032424610708,-0.2147503418406162,,1505
0.03,0.24563895006850522,0.4716381121714064,0.52082082369805,-0.6235111014738278,0.39396082842450564,-0.07070531467910646,-0.2107070388101373,,1505
0.05,0.22506358877068733,0.45258433493569467,0.4972854148888415,-0.6142666097530154,0.36639398137102225,-0.06757421933506302,-0.2026204327491795,,1505
0.075,0.1993443871484151,0.4291096486563778,0.4645534952956651,-0.6037022737036883,0.33020314123623484,-0.06372912984911451,-0.19251217517298227,,1505
0.1,0.17362518552614264,0.40607711629391974,0.42756702744232516,-0.6040636354474063,0.28742863390136913,-0.05997594972021373,-0.18240391759678504,,1505
0.15,0.122186782281598,0.3616749402337259,0.3378359092356164,-0.6048208845401626,0.20202143379108845,-0.052854022463551815,-0.16218740244439053,,1505
0.2,0.07074837903705335,0.32025457729068585,0.22091293631327893,-0.6093753846132319,0.11609983078321592,-0.04641647643082316,-0.14197088729199608,,1505
0.33,-0.06299146939876296,0.2376433387836863,-0.26506726307233314,-0.6371486479017443,-0.09886463638619693,-0.03467411214751351,-0.0894079478957704,,1505
