src,tgt,feature,lag,target,kind,n,beta,t_hac,p_hac,t_ols,partial_R2_pct,beta_train,beta_test,sign_stable,abs_t,p_bh,passes_fwer
SPXL,FAS,lasthr_ret,1,cc_ret,direction,1492,-0.03300367358003989,-0.9936025320932907,0.32041641096418816,-1.2403892376299952,0.1031758132810423,-0.00972885945885964,-0.09343154419211214,True,0.9936025320932907,0.6308321564452471,False
SPXL,FAS,lasthr_logrv,1,cc_ret,direction,1492,0.01939423939682827,0.7092148459473219,0.47819116204431933,0.7309175213922198,0.035850184416375,0.00946624584668549,0.035897963877995404,True,0.7092148459473219,0.737625686631691,False
SPXL,FAS,lasthr_jump,1,cc_ret,direction,1492,0.003840674406181773,0.1545816742826272,0.8771511181253011,0.14823246244154928,0.0014749954452386582,0.002639554452057733,0.005101578689961047,True,0.1545816742826272,0.9694949418001367,False
SPXL,FAS,lasthr_volratio,1,cc_ret,direction,1474,-0.02072029442489896,-0.751120294688998,0.4525802629428106,-0.7839516981193793,0.04174228951345782,-0.029346348681385026,-0.01376149085233435,True,0.751120294688998,0.7264941048210743,False
SPXL,FAS,lasthr_cir,1,cc_ret,direction,1492,-0.03868563479139292,-1.4799761830348699,0.13887960282664927,-1.4777931427735338,0.14638657014802714,-0.04892766565194162,-0.02495370092743093,True,1.4799761830348699,0.418471178484794,False
SPXL,FAS,lasthr_ofi,1,cc_ret,direction,1492,-0.030163331633927874,-1.1206726924182564,0.262427210067798,-1.154824301365819,0.08944446475401824,-0.05488913035955305,-0.004638690793757808,True,1.1206726924182564,0.5819038136285956,False
SPXL,FAS,lasthr_share,1,cc_ret,direction,1492,0.008279151100788593,0.3393350579588796,0.7343573352781384,0.31797516647147567,0.006786836068850555,-0.0006690431970294516,0.02104835364531425,False,0.3393350579588796,0.9065591309938895,False
SPXL,FAS,day_ret,1,cc_ret,direction,1504,-0.053185918674695715,-0.900016187883994,0.3681116360419576,-1.6723193636172504,0.18589891809629444,0.017864952299329485,-0.16007850477618932,False,0.900016187883994,0.6750092022701963,False
SPXL,FAS,day_logrv,1,cc_ret,direction,1504,0.03197711570251185,1.166306506911316,0.2434905433135529,1.2183096827033093,0.09874906546732953,0.02172118071112633,0.051147194626714534,True,1.166306506911316,0.5488626611708817,False
SPXL,FAS,day_jump,1,cc_ret,direction,1504,-0.003340570297401764,-0.12227077117014196,0.90268457951199,-0.12938492110643143,0.0011148317629605664,-0.008177946217904547,0.0030365571566170757,False,0.12227077117014196,0.9709482515011568,False
SPXL,FAS,day_volratio,1,cc_ret,direction,1486,-0.016391360371168888,-0.5695906712242178,0.5689553571549049,-0.6192167770840306,0.025837301679787483,-0.02048160392924077,-0.012355916071649977,True,0.5695906712242178,0.7954645547067752,False
SPXL,FAS,day_cir,1,cc_ret,direction,1504,-0.041418000060049795,-1.4025447813808933,0.16075262781437893,-1.4273812590783006,0.13549951085575218,-0.04465621890383312,-0.037329757029605594,True,1.4025447813808933,0.45077025531454706,False
SPXL,FAS,day_ofi,1,cc_ret,direction,1504,-0.0058169797508263055,-0.21118089559227482,0.8327461176951185,-0.204667475016937,0.002789538696601479,0.032591930097072716,-0.0402897514704355,False,0.21118089559227482,0.966601468050095,False
SPXL,FAS,day_maxabs,1,cc_ret,direction,1504,0.012084922790992738,0.4874816784384467,0.6259170235350284,0.46565330417538486,0.0144380815809253,-0.005375896577555961,0.02622262900136886,False,0.4874816784384467,0.8331946022913266,False
SPXL,FAS,d5_ret,1,cc_ret,direction,1501,-0.0836596280578767,-2.7778455579269687,0.005472062054226528,-3.164240497171794,0.6636842348684557,-0.05869678755633756,-0.1337922330751457,True,2.7778455579269687,0.04465202636248847,False
SPXL,FAS,d5_logrv,1,cc_ret,direction,1501,0.03427616966318231,1.2910372157524923,0.19669077301181326,1.3273443178476985,0.11742818282517442,0.018571117877830837,0.06592218670349649,True,1.2910372157524923,0.49565742468808655,False
SPXL,FAS,d5_volratio,1,cc_ret,direction,1486,-0.025435284392226774,-0.8984292250018455,0.36895676161286617,-0.9778176429015798,0.06440355296765121,-0.024183850487084046,-0.026752304613897934,True,0.8984292250018455,0.6750419674351992,False
SPXL,FAS,lasthr_ret,2,cc_ret,direction,1491,-0.038439498176684836,-1.396097986446762,0.16268499009997872,-1.4441438973111662,0.13996156453796038,-0.025447381416859937,-0.07262262923304308,True,1.396097986446762,0.45307492123407045,False
SPXL,FAS,lasthr_logrv,2,cc_ret,direction,1491,0.014437778924647744,0.534350489934548,0.5930990662401956,0.5437315935857084,0.01986456136794379,0.01535612069247907,0.017129332547467197,True,0.534350489934548,0.8120282517651001,False
SPXL,FAS,lasthr_jump,2,cc_ret,direction,1491,0.0034035411957945823,0.12934453812995036,0.897085031067994,0.13128743427581616,0.0011583436275608427,0.010987056346474197,-0.005252748286524832,False,0.12934453812995036,0.9709482515011568,False
SPXL,FAS,lasthr_volratio,2,cc_ret,direction,1473,-0.03196229376920942,-1.233580346472393,0.21735932022229132,-1.2089384829912575,0.09932516925429402,-8.218001331131706e-05,-0.058450711978858025,True,1.233580346472393,0.5131325011690228,False
SPXL,FAS,lasthr_cir,2,cc_ret,direction,1491,-0.0411107239975944,-1.7032461727634713,0.08852200917697155,-1.5696989060076134,0.16531424849118848,-0.03398681576278891,-0.0522608420399966,True,1.7032461727634713,0.3100169935124841,False
SPXL,FAS,lasthr_ofi,2,cc_ret,direction,1491,-0.05125485312573823,-2.306961113664575,0.021056988035948604,-1.9628614923808099,0.25825716695293544,-0.06792740637246408,-0.03397364729406812,True,2.306961113664575,0.12100353688263422,False
SPXL,FAS,lasthr_share,2,cc_ret,direction,1491,-0.026462284072130977,-1.1581988796213782,0.24678288544672955,-1.0160788492491202,0.06933455354167783,-0.00806492997849736,-0.05152008059980029,True,1.1581988796213782,0.5538801977876772,False
SPXL,FAS,day_ret,2,cc_ret,direction,1503,0.0031495097978389117,0.059779194273423125,0.9523314965012382,0.09888442212010168,0.0006518609882766313,-0.05596650411409898,0.09091890244762296,False,0.059779194273423125,0.9794777168038538,False
SPXL,FAS,day_logrv,2,cc_ret,direction,1503,0.035324815573237266,1.2426887784304927,0.2139825406512118,1.3452824265317027,0.12050507284442347,0.010039781758110449,0.07775180111781187,True,1.2426887784304927,0.5109179495482626,False
SPXL,FAS,day_jump,2,cc_ret,direction,1503,0.0058134903153372434,0.1957878255573665,0.8447762394553096,0.22504921616403062,0.0033763107205708742,-0.027434586771308934,0.0488715677733948,False,0.1957878255573665,0.9679519446334979,False
SPXL,FAS,day_volratio,2,cc_ret,direction,1485,-0.004054952601525403,-0.12725539632916966,0.8987382617914401,-0.15308196783517647,0.0015812073752896616,-0.0168464387034756,0.007939122108983798,False,0.12725539632916966,0.9709482515011568,False
SPXL,FAS,day_cir,2,cc_ret,direction,1503,-0.07019537288591904,-2.4043875375235286,0.016199589822019116,-2.4207967096776173,0.3891573976331997,-0.10385736987553361,-0.025954894864524847,True,2.4043875375235286,0.09938996462231278,False
SPXL,FAS,day_ofi,2,cc_ret,direction,1503,-0.03032015298867852,-1.1907000280687448,0.23377136690657796,-1.0666195853193654,0.07578650919684016,-0.062323216307881624,-0.0011146888847757435,True,1.1907000280687448,0.537344888438782,False
SPXL,FAS,day_maxabs,2,cc_ret,direction,1503,0.06878567362396158,1.2680132458501019,0.20479322034013248,2.6550723936242933,0.46775513538250824,-0.037929269373128134,0.15396833143843192,False,1.2680132458501019,0.5039933988366466,False
SPXL,FAS,d5_ret,2,cc_ret,direction,1500,-0.06337077533573546,-2.6302096220968405,0.00853322335415103,-2.3921869037300287,0.38080656672184743,-0.08359857615443757,-0.02582233030952575,True,2.6302096220968405,0.06162044475209947,False
SPXL,FAS,d5_logrv,2,cc_ret,direction,1500,0.03751772768794223,1.4038476964734958,0.16036420740381074,1.4522810986615717,0.14068932358879405,0.02790861077987845,0.059911501717978266,True,1.4038476964734958,0.45077025531454706,False
SPXL,FAS,d5_volratio,2,cc_ret,direction,1485,-0.011744806174102446,-0.42734063521797594,0.6691312396827296,-0.45114941464963076,0.013731841471809059,0.005228911689554563,-0.02984631371769284,False,0.42734063521797594,0.861589281905692,False
SPXL,FAS,lasthr_ret,1,overnight,direction,1492,-0.040254125963870464,-1.2034705315738827,0.22879428824801218,-1.5513428463391896,0.16136629532851332,-0.03869780738216862,-0.04122023866984027,True,1.2034705315738827,0.528884247054895,False
SPXL,FAS,lasthr_logrv,1,overnight,direction,1492,0.007895866767437816,0.26356602505622634,0.792114341096258,0.30268089703358175,0.006152362829714431,0.000675049566855947,0.01214292715670147,True,0.26356602505622634,0.9435989815102869,False
SPXL,FAS,lasthr_jump,1,overnight,direction,1492,-0.05052734570198231,-2.0704961116761975,0.03840590979194339,-1.9519162193309172,0.2552179112212838,-0.07771074217236446,-0.016539641750351327,True,2.0704961116761975,0.18434836700132826,False
SPXL,FAS,lasthr_volratio,1,overnight,direction,1474,-0.03615047964211772,-0.956105565413695,0.3390189033169666,-1.3841160819483855,0.13006600080402997,-0.018697481641297017,-0.04668511580154371,True,0.956105565413695,0.6418548146325864,False
SPXL,FAS,lasthr_cir,1,overnight,direction,1492,-0.02814881220364974,-1.0329100741868686,0.30164598383662355,-1.0864686831254413,0.07921162216496525,-0.03470246797884909,-0.01893230003140603,True,1.0329100741868686,0.6107769796791187,False
SPXL,FAS,lasthr_ofi,1,overnight,direction,1492,-0.0025835802155761284,-0.09484663569974408,0.924436643878819,-0.09968186527854325,0.0006673106397792061,-0.026411253191904953,0.020365637893836636,False,0.09484663569974408,0.9758606745214958,False
SPXL,FAS,lasthr_share,1,overnight,direction,1492,-0.0037473937891969347,-0.1534914431437932,0.878010737733212,-0.1445361611470147,0.0014029609203602966,-0.011873568032600838,0.004657321086772452,False,0.1534914431437932,0.9694949418001367,False
SPXL,FAS,day_ret,1,overnight,direction,1504,0.033673272724092304,0.9070028816353392,0.3644052733786941,1.3035974872692768,0.11308751338323653,0.028599188441479205,0.05526681598651645,True,0.9070028816353392,0.6712295780519513,False
SPXL,FAS,day_logrv,1,overnight,direction,1504,0.023436319202449693,0.8090758826166592,0.41847149968637687,0.8984563170462468,0.05375012428636694,0.01663734688028845,0.03174830078481913,True,0.8090758826166592,0.7121940407344242,False
SPXL,FAS,day_jump,1,overnight,direction,1504,-0.008709730618724007,-0.32851113366282036,0.7425252275352916,-0.3374439088209734,0.007585588465752746,-0.04383159370906997,0.04615136456658411,False,0.32851113366282036,0.9099420907252361,False
SPXL,FAS,day_volratio,1,overnight,direction,1486,-0.031502755279491465,-1.0099770134336892,0.31250630308473504,-1.2048356561449656,0.0977885219206609,-0.01763398761472505,-0.03977790688614123,True,1.0099770134336892,0.6234844579881266,False
SPXL,FAS,day_cir,1,overnight,direction,1504,-0.0017391739574644733,-0.06401923613357927,0.9489549100058038,-0.06734417027740795,0.0003021466178254606,0.010880481730402923,-0.018911184216108427,False,0.06401923613357927,0.979060164318174,False
SPXL,FAS,day_ofi,1,overnight,direction,1504,0.04653983436826588,1.746671561249441,0.08069432614890894,1.8050337149940396,0.21659478353406314,0.06852566644091768,0.02910810212370955,True,1.746671561249441,0.292169627230015,False
SPXL,FAS,day_maxabs,1,overnight,direction,1504,0.05797411192667711,1.8779559907513794,0.0603871858126301,2.2236909071915507,0.3283518862871926,0.025705958858675385,0.10323520008091605,True,1.8779559907513794,0.24886043380639106,False
SPXL,FAS,d5_ret,1,overnight,direction,1501,-0.011199905502040206,-0.3920745854451,0.6950031051125923,-0.4332920165593563,0.012531264855097923,0.010465351568836299,-0.03943008996766391,False,0.3920745854451,0.8792597422819773,False
SPXL,FAS,d5_logrv,1,overnight,direction,1501,0.023505934249699552,0.8411676360764864,0.40025402852920955,0.9098057473690261,0.05522623059160958,0.021046206785158336,0.021886330808837576,True,0.8411676360764864,0.7045715749937692,False
SPXL,FAS,d5_volratio,1,overnight,direction,1486,-0.0038526444558956365,-0.15519705578274653,0.8766659693121391,-0.14824932178307665,0.0014819588764702907,0.004701624908518046,-0.009615804097496877,False,0.15519705578274653,0.9694949418001367,False
SPXL,FAS,lasthr_ret,2,overnight,direction,1491,-0.024199322672672677,-0.7210184827419149,0.4708981431410677,-0.9318472141232733,0.058317443833155735,-0.0021235527121766023,-0.07946874549354918,True,0.7210184827419149,0.731910256767831,False
SPXL,FAS,lasthr_logrv,2,overnight,direction,1491,-0.012668199088909843,-0.46471155204661807,0.6421380345526775,-0.4854757778155797,0.015835390234575364,-0.008505489131128958,-0.032142918328349764,True,0.46471155204661807,0.8478715796035352,False
SPXL,FAS,lasthr_jump,2,overnight,direction,1491,0.003378058008208644,0.12815783394801894,0.8980240684645583,0.13029168688764511,0.0011407510578265168,0.024663656384098592,-0.018662662888117475,False,0.12815783394801894,0.9709482515011568,False
SPXL,FAS,lasthr_volratio,2,overnight,direction,1473,-0.02021325497606592,-0.7397572437524566,0.45944730684746005,-0.7733272523308695,0.04066334406094274,0.008467286243494217,-0.04420537163869512,False,0.7397572437524566,0.7279786454126745,False
SPXL,FAS,lasthr_cir,2,overnight,direction,1491,-0.05052231440214676,-1.9844975085202392,0.047200405561467686,-1.9511520118550407,0.2551731209127328,-0.03916967680858737,-0.06543627662049395,True,1.9844975085202392,0.2112705952929697,False
SPXL,FAS,lasthr_ofi,2,overnight,direction,1491,-0.03423324951678577,-1.397876649605923,0.16215011176147698,-1.3211825972173836,0.11715988912940345,-0.02930036410154492,-0.03917269763088695,True,1.397876649605923,0.45307492123407045,False
SPXL,FAS,lasthr_share,2,overnight,direction,1491,-0.018657115829132105,-0.8394685288439702,0.4012064423317724,-0.7195044106601617,0.034775891643135104,0.0004608499184912962,-0.04987671640099208,False,0.8394685288439702,0.7045715749937692,False
SPXL,FAS,day_ret,2,overnight,direction,1503,-0.013241845959441391,-0.3609177528496725,0.7181609319768107,-0.5122220376747231,0.01748808980519545,0.014492092796756518,-0.06132948315434565,False,0.3609177528496725,0.8960540068701491,False
SPXL,FAS,day_logrv,2,overnight,direction,1503,-0.011382915347697874,-0.42491670279136184,0.6708973981257365,-0.43613263043228095,0.012678968027257653,-0.020346667640883984,-0.008963692081100585,True,0.42491670279136184,0.8621295698749621,False
SPXL,FAS,day_jump,2,overnight,direction,1503,0.021247513633576565,0.8851718564693212,0.37606394885475347,0.8230861099707746,0.045143606896558275,0.04243695013604549,-0.008243112254162138,False,0.8851718564693212,0.6804172555775584,False
SPXL,FAS,day_volratio,2,overnight,direction,1485,-0.013037374182452604,-0.4934315961863373,0.6217076616449589,-0.4982475294251376,0.016748067741134687,-0.00302565312166313,-0.024199870144433255,True,0.4934315961863373,0.8303002486125802,False
SPXL,FAS,day_cir,2,overnight,direction,1503,-0.01413892007222804,-0.5419932109237086,0.5878231828200999,-0.5473603697792121,0.01996925112796033,-0.009492981856268306,-0.020931924508253093,True,0.5419932109237086,0.806169796612285,False
SPXL,FAS,day_ofi,2,overnight,direction,1503,0.003811428764591114,0.15992563729710366,0.8729396527974678,0.14761797187894685,0.001452693431847063,0.018481942650713987,-0.011484139401627512,False,0.15992563729710366,0.9691411655547397,False
SPXL,FAS,day_maxabs,2,overnight,direction,1503,-0.03739642025615178,-1.2517976173826748,0.21064361856460934,-1.4325366634346166,0.13662165743683063,-0.03162705151014364,-0.04759547112140473,True,1.2517976173826748,0.5085360732210686,False
SPXL,FAS,d5_ret,2,overnight,direction,1500,-0.04920433385506202,-1.8764649864950902,0.0605914582216201,-1.9051433650426421,0.24186460639804563,-0.04737848484668542,-0.051916951844363485,True,1.8764649864950902,0.24886043380639106,False
SPXL,FAS,d5_logrv,2,overnight,direction,1500,0.021929122751256656,0.7905511417058135,0.42920596748270123,0.8484692965762761,0.048065355324866665,0.024743996052364534,0.007378159431180378,True,0.7905511417058135,0.7177584623871975,False
SPXL,FAS,d5_volratio,2,overnight,direction,1485,0.016918559275220513,0.6772409641107399,0.4982530808978928,0.6508946617829648,0.0285788288740374,0.01860881185416655,0.013826815294266692,True,0.6772409641107399,0.7508113102698072,False
SPXL,FAS,lasthr_ret,1,abs_ret,magnitude,1472,0.008869108855954037,0.2615290771262086,0.7936845292462266,0.3620976257212268,0.007821842515998156,0.002925225931261358,0.02872269671821682,True,0.2615290771262086,0.9440912184619838,False
SPXL,FAS,lasthr_logrv,1,abs_ret,magnitude,1472,0.08148581491190046,2.429758053431759,0.015108905012793482,2.2781061365278474,0.30853948762914474,0.042035119691516874,0.10869837174853245,True,2.429758053431759,0.09483743454184215,False
SPXL,FAS,lasthr_jump,1,abs_ret,magnitude,1472,-0.0021163465230912212,-0.08941242378813347,0.9287541502634875,-0.08650263256354274,0.00044642957849339027,0.003102217252959888,-0.0017477698567158137,False,0.08941242378813347,0.979060164318174,False
SPXL,FAS,lasthr_volratio,1,abs_ret,magnitude,1472,0.033057539500978415,0.9282202328638933,0.3532933412238115,1.2296805179191015,0.09012259585303717,-0.004530893199910874,0.061120144681466294,False,0.9282202328638933,0.655198560087796,False
SPXL,FAS,lasthr_cir,1,abs_ret,magnitude,1472,0.005964876261712857,0.2230818506527624,0.8234718035261424,0.2433210979430239,0.0035321450934322485,-0.031147343161682352,0.060432478123492284,False,0.2230818506527624,0.9626833691652323,False
SPXL,FAS,lasthr_ofi,1,abs_ret,magnitude,1472,0.003927312484420301,0.146180014247457,0.8837792823926578,0.16053852777875902,0.0015376144416823223,-0.025422904393597574,0.03303788550053969,False,0.146180014247457,0.9709482515011568,False
SPXL,FAS,lasthr_share,1,abs_ret,magnitude,1472,0.031114146334003744,1.3775097697972185,0.1683546963390501,1.2736026393785083,0.09666839173849695,-0.0028863664346299805,0.06904864778377288,False,1.3775097697972185,0.459456295025635,False
SPXL,FAS,day_ret,1,abs_ret,magnitude,1484,-0.025257412890631232,-0.6518747673074926,0.5144819638377194,-1.0075677506566765,0.06008401084575121,0.02817655635637474,-0.10002127228889722,False,0.6518747673074926,0.7578015176583442,False
SPXL,FAS,day_logrv,1,abs_ret,magnitude,1484,0.06662606574602276,1.8591997009073378,0.06299883720897416,1.4283662769606051,0.12066710488977117,0.061526690956884476,0.0873788464376498,True,1.8591997009073378,0.2544903522897174,False
SPXL,FAS,day_jump,1,abs_ret,magnitude,1484,-0.017282759992506815,-0.78116358529623,0.43470628802689715,-0.7094930798436498,0.02980279107273054,-0.0063557805033808675,-0.03324893333454539,True,0.78116358529623,0.7177584623871975,False
SPXL,FAS,day_volratio,1,abs_ret,magnitude,1484,0.03251650980051263,0.8835620040076619,0.3769326976457632,1.01639950451721,0.0611412119127297,-0.02525284438738329,0.09518402013052862,False,0.8835620040076619,0.6804802683162451,False
SPXL,FAS,day_cir,1,abs_ret,magnitude,1484,-0.021413360938348957,-0.7444463691543645,0.45660647539645205,-0.8569058884750796,0.0434669421959466,-0.015492581401158898,-0.030935005539613578,True,0.7444463691543645,0.7264941048210743,False
SPXL,FAS,day_ofi,1,abs_ret,magnitude,1484,-0.008591339332062388,-0.2753346051000962,0.7830591804585444,-0.3447560115185262,0.0070387768018265184,-0.008850706284601585,-0.007633861948242922,True,0.2753346051000962,0.9410549208456145,False
SPXL,FAS,day_maxabs,1,abs_ret,magnitude,1484,-0.010553016480778964,-0.28316287448171645,0.7770519860125759,-0.2975701758249659,0.005243982105329614,0.041697895374521676,-0.016090177012824506,False,0.28316287448171645,0.9379799121098549,False
