strategy,sharpe,sr_test,PSR(SR>0),PSR(SR>0.5),n_trials,DSR
buyhold_SPXL,0.5846825385963883,0.8212187841515388,0.9219818426888108,0.5813908079150708,1,
overnight_5050 (pre-specified),0.6740770723991139,0.6722582380424318,0.9491808953860732,0.6637566381174327,3,0.7850134506173727
gated_overnight_5050 (grid-selected),0.9646690730295924,0.9279246199983878,0.9900443089988578,0.8689358933628146,22,0.6588414661110962
gated_fullday_5050 (grid-selected),0.44775581247739593,0.44220219627598045,0.8614976076688461,0.449533632386582,22,0.19955719484755474
