label,config,weeks,blown,end_wealth,total_ret_pct,cagr_pct,max_dd_pct,ann_vol_pct,worst_wk_pct,income_weeks,loss_weeks,short_prem_collected,short_realized,long_realized,put_realized,soxs_realized,long_rolls,sweep_final,interest,commissions,qa_recon,maxDD_pct,dd_peak,dd_trough,dd_recovered,longest_underwater_wks,ret_2024_pct,ret_2025_pct,ret_2026_pct,crash25_pct,crash26_pct,pct_weeks_income,med_wk_realized,MAR
B_pw0.25x35d120,pmcc_c18%_L75%_t150_share_repl_pw0.25x35%d120,131,False,483528.5,222.4,59.1,-37.9,47.8,-19.4,96,35,214131.0,-146529.0,525403.0,-41361.0,0.0,10,127054.3,0.0,3985.0,PASS,-37.9,2024-07-08,2025-03-24,2025-06-23,49,5.0,92.3,59.7,13.2,-9.2,73.0,1032.0,1.56
B_pw0.5x15d60,pmcc_c18%_L75%_t150_share_repl_pw0.5x15%d60,131,False,471492.6,214.3,57.6,-40.0,48.6,-19.7,91,40,208741.0,-140124.0,502915.0,-36899.0,0.0,10,121704.63,0.0,4401.0,PASS,-40.0,2024-07-08,2025-03-24,2025-06-30,49,3.8,81.2,67.1,10.6,-9.6,69.0,894.0,1.44
B_pw0.5x15d90,pmcc_c18%_L75%_t150_share_repl_pw0.5x15%d90,131,False,488289.05,225.5,59.8,-40.4,48.9,-19.4,94,37,211962.0,-146404.0,521830.0,-32999.0,0.0,10,130374.6,0.0,4139.0,PASS,-40.4,2024-07-08,2025-03-24,2025-06-23,49,3.2,90.9,65.2,13.3,-8.6,72.0,980.0,1.48
B_pw0.5x15d120,pmcc_c18%_L75%_t150_share_repl_pw0.5x15%d120,131,False,487422.0,224.9,59.6,-40.0,48.8,-19.3,95,36,213109.0,-146613.0,521999.0,-33882.0,0.0,10,131361.45,0.0,4082.0,PASS,-40.0,2024-07-08,2025-03-24,2025-06-23,49,4.7,90.4,63.0,13.1,-9.4,73.0,1021.0,1.49
B_pw0.5x25d60,pmcc_c18%_L75%_t150_share_repl_pw0.5x25%d60,131,False,442757.6,195.2,53.7,-39.0,47.1,-19.4,90,41,198363.0,-131215.0,477724.0,-49467.0,0.0,10,118608.85,0.0,4285.0,PASS,-39.0,2024-06-10,2025-03-24,2025-06-23,49,2.5,74.6,64.9,11.0,-8.3,69.0,882.0,1.38
B_pw0.5x25d90,pmcc_c18%_L75%_t150_share_repl_pw0.5x25%d90,131,False,462966.3,208.6,56.4,-38.9,47.7,-19.6,95,36,207001.0,-142422.0,515356.0,-55879.0,0.0,10,122358.75,0.0,4088.0,PASS,-38.9,2024-07-08,2025-03-17,2025-06-23,49,1.0,92.3,58.9,16.0,-8.6,73.0,952.0,1.45
B_pw0.5x25d120,pmcc_c18%_L75%_t150_share_repl_pw0.5x25%d120,131,False,462127.25,208.1,56.3,-39.3,46.9,-18.8,96,35,207033.0,-144509.0,514682.0,-53978.0,0.0,10,133754.25,0.0,4068.0,PASS,-39.3,2024-07-08,2025-03-17,2025-06-23,49,1.8,93.7,56.2,16.1,-8.7,73.0,1029.0,1.43
B_pw0.5x35d60,pmcc_c18%_L75%_t150_share_repl_pw0.5x35%d60,131,False,409841.4,173.2,49.0,-36.1,45.0,-18.9,91,40,188671.0,-122740.0,456375.0,-69620.0,0.0,10,115743.9,0.0,4173.0,PASS,-36.1,2024-06-10,2025-03-17,2025-06-23,53,1.6,68.6,59.5,13.0,-8.1,69.0,918.0,1.36
B_pw0.5x35d90,pmcc_c18%_L75%_t150_share_repl_pw0.5x35%d90,131,False,421252.3,180.8,50.7,-38.1,45.2,-18.7,95,36,194751.0,-135814.0,486574.0,-75538.0,0.0,10,126683.2,0.0,3969.0,PASS,-38.1,2024-07-08,2025-03-17,2025-06-23,49,-1.0,86.6,52.0,16.5,-8.5,73.0,986.0,1.33
B_pw0.5x35d120,pmcc_c18%_L75%_t150_share_repl_pw0.5x35%d120,131,False,442122.65,194.7,53.6,-36.7,45.4,-18.5,96,35,201215.0,-140581.0,506698.0,-69987.0,0.0,10,129199.05,0.0,4009.0,PASS,-36.7,2024-07-08,2025-03-17,2025-06-16,48,0.2,94.0,51.6,17.0,-8.6,73.0,997.0,1.46
