date,seq,ret,outcome
2021-02-16,1,-0.0184518389146483,eod
2021-02-17,1,0.01,target
2021-02-17,2,0.01,target
2021-02-17,3,0.01,target
2021-02-17,4,-0.008906979887949307,eod
2021-02-18,1,0.01,target
2021-02-18,2,0.01,target
2021-02-18,3,0.01,target
2021-02-18,4,0.01,target
2021-02-18,5,-0.004124668618728622,eod
2021-02-19,1,-0.006995300903035351,eod
2021-02-24,1,0.01,target
2021-02-24,2,0.01,target
2021-02-24,3,0.01,target
2021-02-24,4,0.01,target
2021-02-24,5,0.010053955706129658,target
2021-02-25,1,-0.04,stop
2021-02-25,2,-0.04,stop
2021-02-25,3,0.01,target
2021-02-25,4,-0.04,stop
2021-02-25,5,0.01,target
2021-02-26,1,0.01,target
2021-02-26,2,0.01,target
2021-02-26,3,0.01,target
2021-02-26,4,0.01,target
2021-02-26,5,0.01,target
2021-03-01,1,0.01,target
2021-03-01,2,0.01,target
2021-03-01,3,0.01,target
2021-03-01,4,0.01,target
2021-03-01,5,0.01,target
2021-03-03,1,0.01,target
2021-03-03,2,0.01,target
2021-03-03,3,0.01,target
2021-03-03,4,0.01,target
2021-03-03,5,-0.04,stop
2021-03-09,1,0.01,target
2021-03-09,2,0.01,target
2021-03-09,3,0.01,target
2021-03-09,4,0.01,target
2021-03-09,5,0.01,target
2021-03-10,1,0.01,target
2021-03-10,2,-0.04,stop
2021-03-10,3,0.010292698616918727,target
2021-03-10,4,0.01,target
2021-03-10,5,-0.029421069281872825,eod
2021-03-11,1,0.01,target
2021-03-11,2,0.01,target
2021-03-11,3,0.01,target
2021-03-11,4,-0.006330427563304264,eod
2021-03-15,1,0.01,target
2021-03-15,2,0.01,target
2021-03-15,3,0.01,target
2021-03-15,4,0.01,target
2021-03-16,1,0.01,target
2021-03-16,2,-0.04,stop
2021-03-16,3,0.01,target
2021-03-16,4,0.01,target
2021-03-16,5,-0.007781057150523352,eod
2021-03-18,1,0.01,target
2021-03-18,2,0.01,target
2021-03-18,3,0.01,target
2021-03-18,4,0.01,target
2021-03-18,5,-0.04,stop
2021-03-22,1,0.01,target
2021-03-22,2,0.01,target
2021-03-22,3,0.01,target
2021-03-22,4,0.01,target
2021-03-22,5,-0.0216299116822678,eod
2021-03-23,1,-0.04,stop
2021-03-23,2,-0.012790697674418539,eod
2021-03-24,1,0.01,target
2021-03-24,2,0.01,target
2021-03-24,3,0.01,target
2021-03-24,4,-0.04,stop
2021-03-24,5,0.01,target
2021-03-26,1,0.01,target
2021-03-26,2,0.01,target
2021-03-26,3,0.01,target
2021-03-26,4,0.01,target
2021-03-26,5,0.01,target
2021-03-29,1,0.01,target
2021-03-29,2,0.01,target
2021-03-29,3,0.01,target
2021-03-29,4,-0.04,stop
2021-03-29,5,0.01,target
2021-03-30,1,0.01,target
2021-03-30,2,0.01,target
2021-03-30,3,0.01,target
2021-03-30,4,0.01,target
2021-03-30,5,0.0005025097255391131,eod
2021-03-31,1,0.01,target
2021-03-31,2,0.01,target
2021-03-31,3,0.01,target
2021-03-31,4,0.01,target
2021-03-31,5,-0.008556576540157845,eod
2021-04-01,1,0.01,target
2021-04-01,2,0.01,target
2021-04-05,1,0.01,target
2021-04-05,2,0.01,target
2021-04-05,3,0.003411599438089663,eod
2021-04-21,1,0.01,target
2021-04-22,1,0.01,target
2021-04-22,2,0.01,target
2021-04-22,3,-0.04,stop
2021-04-22,4,0.01,target
2021-04-22,5,-0.04,stop
2021-04-23,1,0.01,target
2021-04-23,2,0.01,target
2021-04-23,3,0.00039089440124695507,eod
2021-04-26,1,0.01,target
2021-04-26,2,0.0034399577498964717,eod
2021-04-27,1,-0.0031400966183573464,eod
2021-04-28,1,-0.021674101546306,eod
2021-05-05,1,0.01,target
2021-05-05,2,0.01,target
2021-05-05,3,0.01,target
2021-05-05,4,0.01,target
2021-05-05,5,-0.02771780391227152,eod
2021-05-06,1,0.01,target
2021-05-06,2,0.0103001765744557,target
2021-05-06,3,0.01,target
2021-05-06,4,0.01,target
2021-05-06,5,0.01,target
2021-05-07,1,-0.0065770891336801585,eod
2021-05-12,1,0.01,target
2021-05-12,2,0.01,target
2021-05-12,3,-0.04,stop
2021-05-12,4,0.01,target
2021-05-12,5,0.01,target
2021-05-13,1,0.01,target
2021-05-13,2,-0.04,stop
2021-05-13,3,0.01,target
2021-05-13,4,0.01,target
2021-05-13,5,0.01,target
2021-05-14,1,0.01,target
2021-05-14,2,-0.014316976373279888,eod
2021-05-17,1,0.01,target
2021-05-17,2,0.01,target
2021-05-18,1,-0.04,stop
2021-05-18,2,-0.005254515599343201,eod
2021-05-19,1,0.01,target
2021-05-19,2,0.01,target
2021-05-19,3,0.01,target
2021-05-19,4,0.01,target
2021-05-19,5,0.01,target
2021-05-20,1,0.01,target
2021-05-20,2,0.01,target
2021-05-20,3,0.01,target
2021-05-20,4,-0.0008720711979715023,eod
2021-05-21,1,-0.008139534883720989,eod
2021-05-24,1,0.01,target
2021-05-24,2,-0.00784908862453293,eod
2021-05-25,1,0.01,target
2021-05-25,2,-0.011840256873369537,eod
2021-05-26,1,0.00459832296456586,eod
2021-06-21,1,0.01,target
2021-06-21,2,0.01,target
2021-06-21,3,0.01,target
2021-07-12,1,0.01,target
2021-07-12,2,0.01,target
2021-07-13,1,-0.005987856403368852,eod
2021-07-19,1,0.01,target
2021-07-19,2,0.01,target
2021-07-19,3,0.01,target
2021-07-19,4,0.007092314972087621,eod
2021-07-20,1,0.01,target
2021-07-20,2,0.01,target
2021-07-20,3,0.01,target
2021-07-20,4,-0.009025774634781714,eod
2021-07-22,1,-0.0004907975460123337,eod
2021-07-23,1,0.01,target
2021-07-23,2,0.01,target
2021-07-23,3,0.007673466217085423,eod
2021-07-26,1,0.004362578768783321,eod
2021-08-02,1,0.01,target
2021-08-02,2,-0.026520267723082913,eod
