date,o,h,l,c,range_pct,co_pct,gap_pct,atr5,year,or30_pct,zz1,zz2,steep30_pct,close_pos,steep30_time,excursion,hivol,hv30
2020-07-16,13.334,13.765333333333333,13.126666666666667,13.612,4.789760511974393,2.084895755212246,,,2020,1.9799010049497479,11,5,2.3838445186759705,0.7599164926931117,10:30:00,False,False,
2020-07-17,13.854000000000001,14.003333333333334,13.6,13.856666666666666,2.911313218805646,0.019248351859846302,1.7778430796356215,,2020,1.881526394302492,9,4,1.6799335840210983,0.6363636363636331,11:10:00,False,False,
2020-07-20,13.922,14.774666666666667,13.627333333333333,14.698666666666666,8.241153091030986,5.578700378298129,0.47149386576859076,,2020,2.72470430493703,6,2,2.336448598130847,0.9337594421847759,10:10:00,False,False,
2020-07-21,14.957333333333334,15.036,14.246,14.395333333333333,5.281690140845064,-3.7573542520948577,1.7597968069666292,,2020,2.308789445533958,10,3,2.54138702460851,0.18902953586497853,10:30:00,False,False,
2020-07-22,14.533333333333333,14.903333333333334,14.217333333333332,14.572000000000001,4.720183486238544,0.2660550458715605,0.9586440050016298,,2020,3.302752293577997,8,3,3.2993512511584777,0.5170068027210898,10:00:00,False,False,
2020-07-23,14.552,14.940666666666667,13.51,13.888,9.8314091991937,-4.562946673996704,-0.13724951962669207,5.188820089778926,2020,2.2219168041048127,22,7,3.624713530704826,0.2642124883504194,13:45:00,False,False,
2020-07-24,13.158,13.833333333333334,12.630666666666666,13.238666666666667,9.140193545118311,0.6130617621725731,-5.25633640552996,6.197149827222788,2020,4.5599635202918485,20,5,4.28103236378532,0.5055432372505545,10:20:00,False,False,
2020-07-27,13.733333333333333,14.500666666666666,13.715333333333332,14.500666666666666,5.718446601941752,5.587378640776697,3.736529358444951,7.442925892485322,2020,4.1116504854369,9,3,2.9762477161265455,1.0,10:00:00,False,False,
2020-07-28,14.232666666666667,14.232666666666667,13.553333333333335,13.627999999999998,4.773057286055545,-4.248442550002352,-1.8481908877752695,6.938384594667474,2020,4.773057286055545,13,3,2.4610255907441925,0.10991167811579572,10:20:00,False,False,
2020-07-29,14.05,14.652666666666667,13.954666666666666,14.488,4.9679715302491125,3.1174377224199246,3.096565893748182,6.83665802370957,2020,1.6939501779359398,8,2,1.8350765782592537,0.7640878701050615,14:30:00,False,False,0.0
