sleeve,mean_price,comm_bp_per_side,spread_bp_1cent,cost_bp_per_round_trip,trades_per_day,cost_bp_per_day,gross_bp_day,NET_bp_day
SOXL,158.41,0.32,0.63,1.17,3.17,3.7,65.6,61.9
SOXS,51.61,0.97,1.94,2.87,3.36,9.6,57.7,48.1
