dip,tgt,stop,filter,days_traded,mean_bp_day,ann_pct,win_days_pct,worst_day_pct,sharpe
1.5,1.5,4.0,orq5+exc,1083,8.0,20.2,58.0,-14.5,0.42
1.5,1.5,,none,1461,7.5,18.9,57.0,-22.8,0.32
1.5,1.5,,orq5,1160,6.7,16.9,57.0,-22.8,0.32
1.5,1.5,,gap2,646,17.3,43.6,57.0,-18.9,0.81
1.5,1.5,,orq5+gap2,553,14.5,36.6,57.0,-18.9,0.76
1.5,1.5,,orq5+exc,1083,7.5,19.0,57.0,-18.9,0.37
1.5,2.0,2.0,none,1447,3.3,8.3,56.0,-10.0,0.17
1.5,2.0,2.0,orq5,1147,9.0,22.8,56.0,-10.0,0.49
1.5,2.0,2.0,gap2,642,6.7,16.9,56.0,-10.0,0.37
1.5,2.0,2.0,orq5+gap2,549,9.7,24.4,56.0,-10.0,0.58
1.5,2.0,2.0,orq5+exc,1071,6.4,16.1,56.0,-10.0,0.36
1.5,2.0,4.0,none,1456,2.8,7.2,57.0,-15.0,0.13
1.5,2.0,4.0,orq5,1157,3.8,9.7,57.0,-14.0,0.19
1.5,2.0,4.0,gap2,645,9.6,24.2,57.0,-15.0,0.46
1.5,2.0,4.0,orq5+gap2,553,7.2,18.2,57.0,-14.0,0.39
1.5,2.0,4.0,orq5+exc,1080,2.1,5.2,57.0,-14.0,0.11
1.5,2.0,,none,1461,0.8,1.9,57.0,-22.8,0.03
1.5,2.0,,orq5,1160,-0.9,-2.2,56.0,-22.8,-0.04
1.5,2.0,,gap2,646,5.3,13.4,56.0,-18.9,0.24
1.5,2.0,,orq5+gap2,553,3.0,7.5,56.0,-18.9,0.15
1.5,2.0,,orq5+exc,1083,-0.2,-0.5,56.0,-18.9,-0.01
2.0,1.0,2.0,none,1364,15.1,38.1,56.0,-10.0,0.96
2.0,1.0,2.0,orq5,1066,14.6,36.7,57.0,-10.0,0.99
2.0,1.0,2.0,gap2,590,15.6,39.3,56.0,-7.0,1.07
2.0,1.0,2.0,orq5+gap2,499,11.0,27.8,56.0,-7.0,0.79
2.0,1.0,2.0,orq5+exc,990,9.5,24.0,57.0,-10.0,0.66
2.0,1.0,4.0,none,1347,16.9,42.6,62.0,-15.0,0.9
2.0,1.0,4.0,orq5,1064,17.6,44.3,62.0,-15.0,1.03
2.0,1.0,4.0,gap2,589,22.7,57.3,61.0,-15.0,1.33
2.0,1.0,4.0,orq5+gap2,503,18.7,47.1,60.0,-11.4,1.2
2.0,1.0,4.0,orq5+exc,991,12.2,30.7,62.0,-15.0,0.73
2.0,1.0,,none,1372,11.8,29.8,61.0,-19.8,0.55
2.0,1.0,,orq5,1075,9.3,23.5,61.0,-19.8,0.48
2.0,1.0,,gap2,596,14.4,36.3,59.0,-18.5,0.75
2.0,1.0,,orq5+gap2,505,14.8,37.2,59.0,-18.5,0.86
2.0,1.0,,orq5+exc,999,9.4,23.8,61.0,-18.5,0.52
2.0,1.5,2.0,none,1373,8.4,21.2,60.0,-10.0,0.47
2.0,1.5,2.0,orq5,1075,10.1,25.4,60.0,-10.0,0.62
2.0,1.5,2.0,gap2,596,15.1,38.0,60.0,-8.1,0.94
2.0,1.5,2.0,orq5+gap2,505,10.4,26.1,59.0,-8.1,0.69
2.0,1.5,2.0,orq5+exc,999,6.2,15.7,60.0,-10.0,0.39
2.0,1.5,4.0,none,1372,3.9,9.8,58.0,-15.0,0.19
2.0,1.5,4.0,orq5,1075,7.0,17.8,59.0,-14.5,0.38
2.0,1.5,4.0,gap2,596,14.0,35.2,58.0,-15.0,0.73
2.0,1.5,4.0,orq5+gap2,505,12.9,32.5,58.0,-12.4,0.78
2.0,1.5,4.0,orq5+exc,999,4.0,10.1,58.0,-12.7,0.23
2.0,1.5,,none,1372,5.6,14.1,58.0,-22.4,0.25
2.0,1.5,,orq5,1075,3.9,9.7,58.0,-22.4,0.19
2.0,1.5,,gap2,596,11.6,29.3,58.0,-18.5,0.57
2.0,1.5,,orq5+gap2,505,11.9,29.9,57.0,-18.5,0.65
2.0,1.5,,orq5+exc,999,2.3,5.8,58.0,-18.5,0.12
2.0,2.0,2.0,none,1348,2.6,6.6,56.0,-10.0,0.14
2.0,2.0,2.0,orq5,1052,6.0,15.2,57.0,-10.0,0.34
2.0,2.0,2.0,gap2,583,6.3,15.9,56.0,-10.0,0.36
2.0,2.0,2.0,orq5+gap2,492,7.2,18.0,56.0,-10.0,0.45
2.0,2.0,2.0,orq5+exc,976,2.0,5.1,56.0,-10.0,0.12
2.0,2.0,4.0,none,1359,-0.8,-2.1,56.0,-15.0,-0.04
2.0,2.0,4.0,orq5,1067,2.2,5.6,57.0,-14.0,0.11
2.0,2.0,4.0,gap2,592,9.3,23.5,56.0,-15.0,0.47
2.0,2.0,4.0,orq5+gap2,503,8.9,22.5,56.0,-14.0,0.51
2.0,2.0,4.0,orq5+exc,991,-0.0,-0.1,57.0,-14.0,-0.0
2.0,2.0,,none,1372,1.8,4.7,57.0,-22.4,0.08
2.0,2.0,,orq5,1075,-0.2,-0.5,57.0,-22.4,-0.01
2.0,2.0,,gap2,596,7.6,19.1,56.0,-18.5,0.36
2.0,2.0,,orq5+gap2,505,6.7,16.8,56.0,-18.5,0.36
2.0,2.0,,orq5+exc,999,-0.5,-1.4,57.0,-18.5,-0.03
3.0,1.0,2.0,none,1110,18.3,46.0,56.0,-7.8,1.29
3.0,1.0,2.0,orq5,828,12.9,32.5,57.0,-7.8,1.02
3.0,1.0,2.0,gap2,463,17.3,43.5,57.0,-7.0,1.32
3.0,1.0,2.0,orq5+gap2,378,8.1,20.5,57.0,-7.0,0.68
3.0,1.0,2.0,orq5+exc,760,8.7,22.0,57.0,-7.8,0.71
3.0,1.0,4.0,none,1103,17.7,44.7,65.0,-15.0,1.02
3.0,1.0,4.0,orq5,833,14.4,36.4,65.0,-15.0,0.95
3.0,1.0,4.0,gap2,460,18.4,46.4,64.0,-15.0,1.17
3.0,1.0,4.0,orq5+gap2,378,13.4,33.9,63.0,-11.4,0.99
3.0,1.0,4.0,orq5+exc,764,11.7,29.5,64.0,-15.0,0.8
3.0,1.0,,none,1122,12.8,32.2,62.0,-19.6,0.65
3.0,1.0,,orq5,839,7.6,19.1,62.0,-19.6,0.44
3.0,1.0,,gap2,467,13.6,34.4,61.0,-15.0,0.78
3.0,1.0,,orq5+gap2,382,12.3,30.9,61.0,-15.0,0.82
3.0,1.0,,orq5+exc,770,7.8,19.8,62.0,-15.0,0.49
3.0,1.5,2.0,none,1123,11.5,29.1,61.0,-10.0,0.75
3.0,1.5,2.0,orq5,839,9.0,22.7,62.0,-10.0,0.66
3.0,1.5,2.0,gap2,467,14.2,35.9,61.0,-6.5,1.06
