date,fades,fade_pnl,bo,bo_pnl,both_pnl
2020-07-16,3,0.030082041932542936,1,0.00874462724173708,0.038826669174280015
2020-07-17,2,0.019082479258174523,1,-0.00923553595900628,0.009846943299168243
2020-07-20,0,0.0,1,0.042347740784077326,0.042347740784077326
2020-07-21,3,-0.035260482846251495,0,0.0,-0.035260482846251495
2020-07-22,2,0.033505514449253315,0,0.0,0.033505514449253315
2020-07-23,3,-0.0335965641451923,1,-0.06416145371233462,-0.09775801785752691
2020-07-24,0,0.0,1,-0.010612326241841608,-0.010612326241841608
2020-07-27,0,0.0,1,0.005512730130479371,0.005512730130479371
2020-07-28,0,0.0,0,0.0,0.0
2020-07-29,0,0.0,1,0.016547191655070126,0.016547191655070126
2020-07-30,0,0.0,1,0.019823373630148522,0.019823373630148522
2020-07-31,3,-0.047338985307825765,0,0.0,-0.047338985307825765
2020-08-03,0,0.0,0,0.0,0.0
2020-08-04,0,0.0,1,0.019709944470434948,0.019709944470434948
2020-08-05,0,0.0,0,0.0,0.0
2020-08-06,2,0.0228011688685843,1,-0.004021689109426019,0.01877947975915828
2020-08-07,3,-0.007717237188575865,0,0.0,-0.007717237188575865
2020-08-10,3,-0.030700834626515183,0,0.0,-0.030700834626515183
2020-08-11,2,-0.03972081218274126,0,0.0,-0.03972081218274126
2020-08-12,0,0.0,1,0.04718852911697913,0.04718852911697913
2020-08-13,3,0.012894441774788157,0,0.0,0.012894441774788157
2020-08-14,1,-0.0006472491909386147,0,0.0,-0.0006472491909386147
2020-08-17,1,0.011997457492451957,0,0.0,0.011997457492451957
2020-08-18,1,-0.004159074704903731,0,0.0,-0.004159074704903731
2020-08-19,3,-0.027094288122666565,0,0.0,-0.027094288122666565
2020-08-20,1,0.017942735949098676,0,0.0,0.017942735949098676
2020-08-21,0,0.0,1,0.017422323321098165,0.017422323321098165
2020-08-24,1,0.012464929859719254,0,0.0,0.012464929859719254
2020-08-25,0,0.0,1,0.0006142034548948239,0.0006142034548948239
2020-08-26,2,0.0140801604752534,1,-0.0017532719846089506,0.01232688849064445
2020-08-27,3,-0.02192398119122263,0,0.0,-0.02192398119122263
2020-08-28,0,0.0,1,0.025523196813908466,0.025523196813908466
2020-08-31,0,0.0,1,-0.010025621031525045,-0.010025621031525045
2020-09-01,0,0.0,1,0.005719172590731736,0.005719172590731736
2020-09-02,0,0.0,1,0.013652046156131803,0.013652046156131803
2020-09-03,3,-0.09062218214607765,0,0.0,-0.09062218214607765
2020-09-04,3,-0.09446167659782856,0,0.0,-0.09446167659782856
2020-09-08,2,0.015316113390525965,1,-0.07380102012953682,-0.058484906739010856
2020-09-09,0,0.0,1,-0.0031728842925983214,-0.0031728842925983214
2020-09-10,3,-0.040756356202887534,0,0.0,-0.040756356202887534
2020-09-11,3,-0.019352962233756932,0,0.0,-0.019352962233756932
2020-09-14,2,0.0,0,0.0,0.0
2020-09-15,0,0.0,1,0.004545315261023752,0.004545315261023752
2020-09-16,3,-0.008545454545454412,0,0.0,-0.008545454545454412
2020-09-17,0,0.0,1,0.025919280572429093,0.025919280572429093
2020-09-18,3,-0.054626865671641656,0,0.0,-0.054626865671641656
2020-09-21,1,0.026732198513545802,1,0.011877071745603818,0.03860927025914962
