variant,bp_day,cagr_pct,max_dd_pct,worst_day_pct,sharpe,trades_day
session (incumbent),65.6,350.2,-36.5,-8.0,3.09,3.17
win12 (1h),37.1,123.7,-42.0,-8.0,1.85,2.93
win24 (2h),51.6,219.6,-36.8,-8.0,2.51,3.04
win36 (3h),59.9,292.2,-36.9,-8.0,2.87,3.1
vwap-0.5%,30.4,95.3,-29.0,-8.0,1.76,1.96
vwap-1%,27.3,84.1,-34.4,-8.0,1.76,1.66
vwap-1.5%,14.7,35.4,-31.6,-8.0,1.02,1.37
prior-close,42.6,167.0,-35.0,-8.0,2.55,1.66
reset-after-exit,17.7,41.1,-30.1,-8.0,1.0,2.8
