cell,gate,dip_tgt_%,stop_%,ON_days,trades_per_ON_day,bp_per_ON_day,sharpe,win_%,worst_day_%,maxDD_%,CAGR_%,yrs_positive,same_bar_exit_%
A locked,6.0,1.0,4.0,801,3.36,57.7,2.63,57.6,-8.0,-37.0,98.8,6/6,1.0
B gate-scaled,6.83,1.0,4.0,584,3.57,70.5,3.02,59.9,-8.0,-32.5,85.4,6/6,0.9
C gate+dip scaled,6.83,1.02,4.0,584,3.52,66.3,2.82,61.3,-8.0,-33.5,77.8,6/6,1.0
D fully scaled,6.83,1.02,4.07,584,3.52,66.8,2.85,61.8,-8.1,-34.1,78.7,6/6,1.0
SOXL locked (reference),6.0,1.0,4.0,787,3.17,65.6,3.09,63.7,-8.0,-36.5,118.5,6/6,1.1
