t,frac
09:30:00,0.29220520278670514
09:35:00,0.36419213279486096
09:40:00,0.4179104477611941
09:45:00,0.4696665551466488
09:50:00,0.509787771988967
09:55:00,0.5315789473684214
10:00:00,0.5636423287998097
10:05:00,0.5810202550637666
10:10:00,0.6030061892130859
10:15:00,0.6211919436495723
10:20:00,0.6340374564459925
10:25:00,0.6552889095992547
10:30:00,0.6753788415042075
10:35:00,0.6910000000000023
10:40:00,0.7088055442315531
10:45:00,0.7199281573062067
10:50:00,0.7397417683866783
10:55:00,0.7492806819007889
11:00:00,0.7613321601981279
11:05:00,0.7730909280066595
11:10:00,0.790047169811321
11:15:00,0.8003436426116848
11:20:00,0.8094229217110573
11:25:00,0.8157632025556554
11:30:00,0.8219231175786611
11:35:00,0.8281231683013557
11:40:00,0.8361305361305365
11:45:00,0.8406023550724637
11:50:00,0.8437445887445882
11:55:00,0.8536885416811466
12:00:00,0.8622085718274457
12:05:00,0.8662605539920025
12:10:00,0.873126710638489
12:15:00,0.8827058409570725
12:20:00,0.8866440792591942
12:25:00,0.8933500151653015
12:30:00,0.8974613349613367
12:35:00,0.9007501515457661
12:40:00,0.9047619047619053
12:45:00,0.9078722830968216
12:50:00,0.9131543921916598
12:55:00,0.9200697924123146
13:00:00,0.9257186322147043
13:05:00,0.9323170731707295
13:10:00,0.9362990810359222
13:15:00,0.9420289855072468
13:20:00,0.9439252336448594
13:25:00,0.9509000321440039
13:30:00,0.9591363612782731
13:35:00,0.9649741522824852
13:40:00,0.9678453267162963
13:45:00,0.9709953730258872
13:50:00,0.976024176130426
13:55:00,0.9811320754716985
14:00:00,0.9873417721519001
14:05:00,0.993551401869159
14:10:00,0.9976031525793836
14:15:00,1.0
14:20:00,1.0
14:25:00,1.0
14:30:00,1.0
14:35:00,1.0
14:40:00,1.0
14:45:00,1.0
14:50:00,1.0
14:55:00,1.0
15:00:00,1.0
15:05:00,1.0
15:10:00,1.0
15:15:00,1.0
15:20:00,1.0
15:25:00,1.0
15:30:00,1.0
15:35:00,1.0
15:40:00,1.0
15:45:00,1.0
15:50:00,1.0
15:55:00,1.0
