t,absr
09:30:00,
09:35:00,0.8378085436152869
09:40:00,0.7707691019829478
09:45:00,0.7484397111079433
09:50:00,0.661004918783978
09:55:00,0.5987236349516738
10:00:00,0.6639847389163954
10:05:00,0.583742548124078
10:10:00,0.5846723732812609
10:15:00,0.525655419307299
10:20:00,0.5469620910264681
10:25:00,0.5050795337827633
10:30:00,0.5171280868890378
10:35:00,0.5030678911517207
10:40:00,0.47540747830451446
10:45:00,0.47611000774681794
10:50:00,0.47403992531247235
10:55:00,0.42772367681780865
11:00:00,0.4538814876156359
11:05:00,0.4351990421728973
11:10:00,0.41403010245532873
11:15:00,0.3775604628711542
11:20:00,0.3879137002829737
11:25:00,0.3676611262791091
11:30:00,0.36736937619517807
11:35:00,0.3647584795046592
11:40:00,0.36473535860577194
11:45:00,0.34592917695055314
11:50:00,0.3503719148731103
11:55:00,0.3411034268100994
12:00:00,0.3524537343545124
12:05:00,0.328086935508546
12:10:00,0.31170065014660236
12:15:00,0.3315713895932916
12:20:00,0.3277310722012373
12:25:00,0.2998259605084796
12:30:00,0.33201425669535256
12:35:00,0.30578237806732433
12:40:00,0.3033952529884173
12:45:00,0.2970420776472326
12:50:00,0.31153844491850535
12:55:00,0.2875464801616675
13:00:00,0.3344833960400686
13:05:00,0.31582931514152884
13:10:00,0.29500208974235276
13:15:00,0.2987655116801954
13:20:00,0.2921089442969885
13:25:00,0.30335655282342155
13:30:00,0.3139937505093145
13:35:00,0.297332161986823
13:40:00,0.281381413613368
13:45:00,0.2893338941473256
13:50:00,0.27809286952238915
13:55:00,0.2800689647948866
14:00:00,0.3603073903551659
14:05:00,0.3106181480585263
14:10:00,0.29518585442893835
14:15:00,0.29152337221159186
14:20:00,0.2995519261130271
14:25:00,0.30032135163487056
14:30:00,0.3182138726349913
14:35:00,0.2952799168555563
14:40:00,0.31169408205986204
14:45:00,0.2918904342092657
14:50:00,0.2861976553720786
14:55:00,0.3040946415403352
15:00:00,0.374302015178761
15:05:00,0.3445510318063795
15:10:00,0.3134723680591627
15:15:00,0.29932233005655823
15:20:00,0.3081086835911564
15:25:00,0.30563798477927756
15:30:00,0.35199270107481634
15:35:00,0.32111911936634596
15:40:00,0.3138463322854637
15:45:00,0.3244887958845074
15:50:00,0.4998454104926847
15:55:00,0.45769941223273547
