variant,bp_day,cagr_pct,max_dd_pct,worst_day_pct,sharpe
core 10:30 no breaker,45.3,159.5,-43.7,-15.2,1.9
core 10:30 breaker2,53.8,232.0,-34.7,-8.0,2.46
start 09:35,67.9,352.9,-46.0,-8.0,2.74
start 10:00,40.4,129.6,-53.7,-8.0,1.68
start 10:15,47.2,176.0,-45.1,-8.0,2.03
start 10:30*,53.8,232.0,-34.7,-8.0,2.46
start 11:00,59.6,289.9,-32.1,-8.0,2.87
start 11:30,56.4,264.1,-27.9,-8.0,2.85
start 12:00,38.4,135.6,-26.5,-8.0,2.07
start 13:00,47.3,198.2,-24.2,-8.0,2.72
