variant,bp_cal_day,sharpe,maxDD_%,CAGR_%
w=0.000,26.6,1.62,-38.7,83.3
w=0.125,27.5,2.05,-30.2,93.1
w=0.250,28.4,2.63,-22.4,101.7
w=0.375,29.2,3.34,-14.9,109.1
w=0.500,30.1,3.83,-13.0,115.0
w=0.625,31.0,3.66,-11.5,119.2
w=0.750,31.9,3.09,-15.7,121.8
w=0.875,32.8,2.55,-27.4,122.5
w=1.000,33.6,2.13,-37.7,121.5
