variant,bp_day,cagr_pct,max_dd_pct,worst_day_pct,sharpe
T1 mirror short (touch fills),7.6,5.9,-53.5,-8.0,0.37
T1b mirror short (close fills),-17.7,-43.5,-86.2,-9.5,-0.9
T2 via SOXS long,-23.1,-50.9,-90.1,-12.7,-1.16
T3 50/50 long+mirror-short,26.2,90.8,-7.0,-3.3,4.05
T4 pyramid shared (f/2 per unit),22.8,64.1,-27.1,-7.0,1.45
T4 pyramid perunit (f/2 per unit),35.5,130.2,-21.6,-6.0,2.6
T5 breakout ride (orq5-skipped days),12.2,19.0,-34.4,-6.7,0.56
T5 breakout ride (orq5-skipped & ATR>=6),13.0,19.5,-34.6,-6.7,0.56
