cell,gate,dip_tgt_%,stop_%,ON_days,trades_per_ON_day,bp_per_ON_day,sharpe,win_%,worst_day_%,maxDD_%,CAGR_%,yrs_positive,same_bar_exit_%
A locked,6.0,1.0,4.0,63,2.84,30.5,1.34,66.7,-8.0,-17.0,2.5,4/5,2.2
B gate-scaled,2.94,1.0,4.0,551,1.73,4.8,0.35,51.0,-8.0,-31.1,2.3,3/6,2.4
C gate+dip scaled,2.94,0.44,4.0,551,3.31,16.5,1.21,59.3,-8.0,-25.5,13.8,4/6,1.5
D fully scaled,2.94,0.44,1.75,551,3.64,10.6,0.9,62.4,-3.5,-22.3,8.4,4/6,1.7
SOXL locked (reference),6.0,1.0,4.0,787,3.17,65.6,3.09,63.7,-8.0,-36.5,118.5,6/6,1.1
