date,sleeve,overlay,combined
2022-01-03,150000.0,-312.28313671061187,149687.7168632894
2022-01-04,150000.0,-208.18875780707458,149791.81124219293
2022-01-05,150000.0,4267.869535045109,154267.86953504512
2022-01-06,150000.0,3747.397640527415,153747.3976405274
2022-01-07,151745.02771437887,7182.512144344204,158927.53985872306
2022-01-10,159332.27910009783,6609.993060374742,165942.27216047258
2022-01-11,166054.40287212539,3903.539208882721,169957.9420810081
2022-01-12,168734.35423894192,2550.3122831367145,171284.66652207862
2022-01-13,160805.38137798794,6193.615544760585,166998.9969227485
2022-01-14,168872.37782187836,3018.736988202636,171891.114810081
2022-01-18,168872.37782187836,9993.060374739765,178865.4381966181
2022-01-19,169299.76889770248,14000.693962526027,183300.4628602285
2022-01-20,169299.76889770248,18736.98820263706,188036.75710033954
2022-01-21,169299.76889770248,22484.38584316447,191784.15474086694
2022-01-24,169299.76889770248,21963.913948646776,191263.68284634926
2022-01-25,169299.76889770248,27585.01040943789,196884.7793071404
2022-01-26,177764.7573425876,25242.88688410826,203007.64422669588
2022-01-27,177764.7573425876,32425.399028452463,210190.15637104007
2022-01-28,177764.7573425876,29146.426092990987,206911.1834355786
2022-01-31,186713.0324178188,19621.790423317143,206334.82284113593
2022-02-01,186713.0324178188,17696.044413601667,204409.07683142045
2022-02-02,186713.0324178188,13428.174878556558,200141.20729637536
2022-02-03,186713.0324178188,23213.046495489245,209926.07891330804
2022-02-04,196397.866357088,21443.442054129075,217841.30841121706
2022-02-07,190325.08518556773,21443.442054129075,211768.52723969682
2022-02-08,194131.5868892791,16446.911866759197,210578.49875603832
2022-02-09,198014.2186270647,11034.004163775156,209048.22279083985
2022-02-10,198014.2186270647,17435.808466342816,215450.02709340752
2022-02-11,198014.2186270647,27116.585704371966,225130.80433143667
2022-02-14,189138.05887666743,27220.680083275503,216358.73895994294
2022-02-15,193882.047230094,17696.044413601667,211578.09164369566
2022-02-16,205602.99922447614,17435.808466342824,223038.80769081897
2022-02-17,205602.99922447614,24878.55655794587,230481.55578242202
2022-02-18,205602.99922447614,26908.396946564884,232511.396171041
2022-02-22,189154.75928651806,27480.916030534347,216635.6753170524
2022-02-23,189154.75928651806,32373.351839000694,221528.11112551874
2022-02-24,202793.33007794103,25711.311589174176,228504.6416671152
2022-02-25,213700.53308173374,22068.008327550313,235768.54140928405
2022-02-28,198741.49576601238,24149.895905621095,222891.39167163346
2022-03-01,184829.5910623915,31384.455239417068,216214.04630180856
2022-03-02,196453.28626037997,24462.17904233172,220915.4653027117
2022-03-03,196453.28626037997,28990.284524635666,225443.57078501565
2022-03-04,196453.28626037997,34090.909090909096,230544.19535128906
2022-03-07,196453.28626037997,43355.308813324074,239808.59507370405
2022-03-08,196453.28626037997,39607.911172796674,236061.19743317665
2022-03-09,202511.78955099732,33049.9653018737,235561.754852871
2022-03-10,213429.37107304478,36641.2213740458,250070.59244709057
2022-03-11,214241.70187665822,40596.80777238029,254838.50964903852
2022-03-14,214241.70187665822,46374.04580152672,260615.74767818494
2022-03-15,224664.5794143374,38723.108952116585,263387.688366454
2022-03-16,206691.41306119043,29666.897987508673,236358.3110486991
2022-03-17,217663.9927702141,28313.671061762667,245977.66383197677
2022-03-18,226074.51960526741,23837.612768910476,249912.1323741779
2022-03-21,226074.51960526741,24774.462179042333,250848.98178430976
2022-03-22,222171.4494922426,21783.617960587373,243955.06745282997
2022-03-23,222171.4494922426,26829.14671514247,249000.59620738507
2022-03-24,228836.5929770099,19961.62146588692,248798.2144428968
2022-03-25,229689.3917338536,19541.160736340666,249230.5524701943
2022-03-28,229689.3917338536,17579.010665124795,247268.40239897842
2022-03-29,239734.393766729,13654.710522693054,253389.10428942204
2022-03-30,220555.64226539066,17859.317818155636,238414.9600835463
2022-03-31,205993.01040392974,21363.157231041114,227356.16763497086
2022-04-01,205993.01040392974,25007.150220442014,231000.16062437175
2022-04-04,213324.13568652218,20522.235771948603,233846.37145847076
2022-04-05,213324.13568652218,30192.83255151253,243516.9682380347
2022-04-06,225831.03608347196,36499.7434947064,262330.77957817836
2022-04-07,225831.03608347196,36079.28276516014,261910.3188486321
2022-04-08,225831.03608347196,41264.96509623065,267096.0011797026
2022-04-11,227354.08260589538,46590.80100381658,273944.88360971195
2022-04-12,217442.60282560895,46871.10815684742,264313.71098245634
2022-04-13,217442.60282560895,40424.04363713814,257866.64646274707
2022-04-14,217442.60282560895,47571.87603942452,265014.4788650335
2022-04-18,218748.89521742007,42946.80801441567,261695.70323183574
2022-04-19,227498.85102611687,37060.35780076808,264559.208826885
2022-04-20,227498.85102611687,37901.27925986059,265400.13028597744
2022-04-21,209298.94294402754,45329.41881517781,254628.36175920535
2022-04-22,202105.1556545715,51496.17618185625,253601.33183642777
2022-04-25,202105.1556545715,47291.56888639367,249396.72454096517
2022-04-26,202105.1556545715,59064.4693136889,261169.6249682604
2022-04-27,216939.66884102338,60466.00507884308,277405.67391986644
2022-04-28,230136.3280047845,47712.02961593993,277848.3576207244
2022-04-29,214026.78504444959,59905.39077278142,273932.175817231
2022-05-02,214219.99718794803,51215.869028825415,265435.86621677346
2022-05-03,226012.1154552765,49113.56538109413,275125.6808363706
2022-05-04,238613.32162709476,39302.81502501479,277916.13665210956
2022-05-05,226941.25126375954,53458.32625307211,280399.57751683163
2022-05-06,226941.25126375954,54579.554865195474,281520.806128955
2022-05-09,226941.25126375954,69295.6803993145,296236.93166307406
2022-05-10,245084.23489131493,63689.53733869773,308773.7722300127
2022-05-11,231523.98978902266,71397.98404704579,302921.9738360684
2022-05-12,231523.98978902266,69575.98755234534,301099.977341368
2022-05-13,237435.3171429211,57102.31924247302,294537.63638539414
2022-05-16,249364.56268578145,60325.85150232767,309690.4141881091
2022-05-17,261832.79082007054,47712.02961593993,309544.8204360105
2022-05-18,240886.16755446492,63128.923032636056,304015.09058710095
2022-05-19,240886.16755446492,63409.23018566689,304295.3977401318
2022-05-20,240886.16755446492,64810.76595082108,305696.933505286
2022-05-23,240886.16755446492,62007.69442051269,302893.8619749776
2022-05-24,240886.16755446492,69155.52682279907,310041.694377264
2022-05-25,240886.16755446492,63829.690915213156,304715.8584696781
2022-05-26,245152.87859840188,52897.71194701044,298050.5905454123
2022-05-27,251072.15021830495,42946.80801441567,294018.9582327206
2022-05-31,251072.15021830495,42946.80801441567,294018.9582327206
2022-06-01,252921.42793634662,46871.108156847404,299792.53609319404
2022-06-02,265567.49933316396,38181.586412891425,303749.08574605535
2022-06-03,271995.74053690553,46590.80100381658,318586.54154072213
2022-06-06,250236.0812939531,46310.493850785744,296546.57514473883
2022-06-07,255240.80291983215,42666.50086138485,297907.30378121696
2022-06-08,243959.24729335835,49534.02611064038,293493.2734039987
2022-06-09,226882.09998282325,57242.47281898845,284124.5728018117
2022-06-10,238226.20498196443,68174.45178719114,306400.6567691556
2022-06-13,252980.59499465954,84712.57381601061,337693.16881067015
2022-06-14,253492.96075667406,83311.03805085641,336803.9988075305
2022-06-15,253492.96075667406,78685.97002584758,332178.9307825216
2022-06-16,253492.96075667406,95224.09205466705,348717.0528113411
2022-06-17,269053.4209821816,94663.47774860536,363716.898730787
2022-06-21,262841.76548457186,86642.35933550802,349484.1248200799
2022-06-22,262841.76548457186,88949.54566319165,351791.3111477635
2022-06-23,262841.76548457186,89570.71121295262,352412.4766975245
2022-06-24,265470.1831394176,81495.55906605997,346965.74220547755
2022-06-27,265470.1831394176,80696.91764493872,346167.10078435636
2022-06-28,249541.97215105253,86553.62139982788,336095.59355088044
2022-06-29,249541.97215105253,91611.68373359583,341153.6558846483
2022-06-30,264636.1917628359,94717.51148240067,359353.70324523654
2022-07-01,264636.1917628359,102082.76014385223,366718.9519066881
2022-07-05,278550.3965624416,98976.93239504736,377527.328957489
2022-07-06,283502.4036124405,96137.3184532829,379639.7220657234
2022-07-07,285490.0809789551,86642.35933550802,372132.4403144631
2022-07-08,285490.0809789551,85400.02823598609,370890.10921494116
2022-07-11,285490.0809789551,91877.89754063623,377367.9785195913
2022-07-12,285490.0809789551,91700.42166927597,377190.50264823105
2022-07-13,288128.99915544834,89127.02153455192,377256.02069000027
2022-07-14,304376.1342147521,85400.02823598609,389776.1624507382
2022-07-15,304376.1342147521,79720.80035245718,384096.93456720933
2022-07-18,280026.043477572,81229.34525901955,361255.38873659156
2022-07-19,284995.61904875876,73331.66898348716,358327.28803224594
2022-07-20,290139.7653065643,69693.41362060147,359833.17892716575
2022-07-21,298843.9582657612,66410.11000043633,365254.0682661975
2022-07-22,283702.0835920373,70580.79297740286,354282.8765694402
2022-07-25,296866.652919137,71290.69646284397,368157.34938198095
2022-07-26,285173.1134972581,74307.7862759687,359480.8997732268
2022-07-27,304679.161124636,66055.15825771577,370734.31938235176
2022-07-28,321921.26802541857,63925.44780139244,385846.71582681104
2022-07-29,325140.48070567276,62949.330508910905,388089.8112145837
2022-08-01,319949.8682602124,63215.54431595132,383165.41257616377
2022-08-02,311360.2813234924,63126.806380271184,374487.0877037636
2022-08-03,318415.7422512116,58512.43372490395,376928.17597611557
2022-08-04,325689.5950550404,58068.744046503256,383758.33910154365
2022-08-05,325689.5950550404,58512.43372490395,384202.02877994435
2022-08-08,325689.5950550404,59843.502760106036,385533.09781514644
2022-08-09,325689.5950550404,65788.94445067535,391478.5395057157
2022-08-10,328946.49100559077,59488.55101738548,388435.04202297627
2022-08-11,308295.603664183,60375.930374186864,368671.5340383699
2022-08-12,315855.1171603586,56382.723268580616,372237.8404289392
2022-08-15,331647.87301837653,55850.29565449978,387498.1686728763
2022-08-16,349235.45423809625,56293.985332900476,405529.43957099674
2022-08-17,366697.2269500011,59044.86133898479,425742.0882889859
2022-08-18,366438.2235365726,56915.150882661444,423353.37441923405
2022-08-19,366438.2235365726,60375.930374186864,426814.1539107595
2022-08-22,352212.815141733,66853.79967883702,419066.61482057
2022-08-23,352679.2429784232,64724.089222513685,417403.33220093686
2022-08-24,355717.9499053229,64102.92367275271,419820.8735780756
2022-08-25,362832.30890342937,59044.86133898479,421877.17024241417
2022-08-26,333805.72419115505,68451.08252107952,402256.80671223457
2022-08-29,351158.28806921456,71468.17233420425,422626.4604034188
2022-08-30,351158.28806921456,74396.52421164884,425554.8122808634
2022-08-31,369214.9926177558,74840.21389004953,444055.2065078053
2022-09-01,387675.7422486436,80341.96590221816,468017.7081508618
2022-09-02,387675.7422486436,81495.55906605997,469171.30131470354
2022-09-06,407059.5293610758,83181.57984398262,490241.1092050584
2022-09-07,427412.5058291296,78034.77957453454,505447.2854036641
2022-09-08,430251.14561822166,74396.52421164884,504647.6698298705
2022-09-09,433631.78440243343,67829.91697131854,501461.701373752
2022-09-12,437178.87466339406,67652.44109995828,504831.3157633523
2022-09-13,411161.4001712311,82560.41429422164,493721.8144654527
2022-09-14,412857.5712498078,79720.80035245718,492578.37160226493
2022-09-15,435508.4853983109,82826.62810126206,518335.11349957297
2022-09-16,457283.90966822644,81406.82113037983,538690.7307986063
2022-09-19,457283.90966822644,79099.63480269621,536383.5444709227
2022-09-20,457283.90966822644,79182.90996867664,536466.8196369031
2022-09-21,425274.03599145054,81138.78640010618,506412.8223915567
2022-09-22,425274.03599145054,89744.64269839614,515018.67868984665
2022-09-23,425274.03599145054,99132.84956925795,524406.8855607085
2022-09-26,428101.8206844634,100697.55071440157,528799.371398865
2022-09-27,420850.30004837963,98937.261926115,519787.5619744946
2022-09-28,435774.4365853024,92678.45734554046,528452.8939308429
2022-09-29,435774.4365853024,104804.89122040363,540579.3278057061
2022-09-30,400912.4816584782,109107.8193695486,510020.3010280268
2022-10-03,405386.6840700103,95612.27199268478,500998.9560626951
2022-10-04,416113.62373639294,81921.136972678,498034.76070907095
2022-10-05,436919.3049232126,78596.14703924778,515515.4519624604
2022-10-06,436919.3049232126,81334.37404324913,518253.67896646174
2022-10-07,436919.3049232126,105000.47886354658,541919.7837867592
2022-10-10,436919.3049232126,116735.73745212381,553655.0423753364
2022-10-11,466495.17990311974,130231.28482898763,596726.4647321074
2022-10-12,469253.04804242007,133165.09947613196,602418.147518552
2022-10-13,463854.64016077266,121038.66560126879,584893.3057620415
2022-10-14,463854.64016077266,141966.54341756488,605821.1835783375
2022-10-17,478145.9849899711,132187.1612604172,610333.1462503884
2022-10-18,478145.9849899711,129840.10954270173,607986.0945326728
2022-10-19,502053.2842394697,125928.35667984265,627981.6409193124
2022-10-20,461889.02150031214,121821.01617384062,583710.0376741528
2022-10-21,486719.59358195926,107934.29351069088,594653.8870926502
2022-10-24,511055.57326105726,105978.41707926134,617033.9903403186
2022-10-25,520647.2479397813,94634.33377697002,615281.5817167513
2022-10-26,489740.74109399435,96199.03492211364,585939.776016108
2022-10-27,489740.74109399435,102457.83950268816,592198.5805966825
2022-10-28,509330.37073775416,87202.00333753775,596532.3740752919
2022-10-31,509330.37073775416,94438.74613382704,603769.1168715812
2022-11-01,516359.7898932925,90918.16855725387,607277.9584505464
2022-11-02,535443.9600665133,104218.12829097474,639662.088357488
2022-11-03,516000.7383294603,109107.8193695486,625108.557699009
2022-11-04,517417.7971357648,92482.86970239751,609900.6668381623
2022-11-07,538486.6705539884,82899.07518839276,621385.7457423812
2022-11-08,495407.73690966936,75662.33239210348,571070.0693017729
2022-11-09,521365.4646122091,88766.70448268138,610132.1690948905
2022-11-10,526579.1192583313,57668.26922295169,584247.388481283
2022-11-11,533703.5393159501,49844.763497233536,583548.3028131836
2022-11-14,513542.327854077,52778.578144377854,566320.9059984549
2022-11-15,541787.1558860512,47888.887065804,589676.0429518552
2022-11-16,541787.1558860512,58255.03215238056,600042.1880384318
2022-11-17,541787.1558860512,56494.74336409398,598281.8992501452
2022-11-18,553314.6335961407,54147.691646378524,607462.3252425191
2022-11-21,554221.4033970173,54930.042218950344,609151.4456159676
2022-11-22,559763.6174309874,46128.59827751741,605892.2157085048
2022-11-23,555524.7285526278,43194.7836303731,598719.5121830009
2022-11-25,543362.5481523944,44368.30948923083,587730.8576416252
2022-11-28,525232.1681786898,51800.63992866308,577032.8081073528
2022-11-29,515980.61678995856,51996.227571806034,567976.8443617646
2022-11-30,554339.3650011732,38500.68019494221,592840.0451961154
2022-12-01,554180.5168363309,39674.206053799935,593854.7228901308
