or_q,or30_med,day_range_med,mult,zz1,trend_share
1,2.0639269406392855,4.726224783861673,2.2899186452780933,10.119601328903654,0.26578073089701
2,2.8108108108108083,5.553427805438527,1.9757387384733238,12.641196013289036,0.2757475083056478
3,3.440621531631526,6.296296296296301,1.8299880525686962,14.448504983388704,0.3023255813953488
4,4.3010752688172165,7.93259350595972,1.8443279901356298,16.475083056478404,0.31893687707641194
5,5.8843140523420585,10.182318541451671,1.7304172501464181,21.588039867109636,0.3089700996677741
