year,mny_b,dte_b,n_bars,n_traded,n_priced,n_stale,n_stale_moved
2024,ATM<2%,4-7,39852,29525,29522,10326,779
2024,ATM<2%,60+,78082,11586,10054,67153,28713
2024,ATM<2%,8-14,99685,46088,45976,53657,7785
2025,10-20%,0-1,133355,53021,52009,81171,22436
2025,10-20%,15-30,641339,114052,111657,526020,197730
2025,10-20%,2-3,132791,58785,57894,74657,18098
2025,10-20%,31-60,467635,59993,58613,392253,164604
2025,10-20%,4-7,133059,58845,57809,74607,22015
2025,10-20%,60+,186034,27860,27017,156662,63069
2025,10-20%,8-14,318072,98552,96712,220421,68961
2025,2-5%,0-1,42182,32520,32520,9650,827
2025,2-5%,15-30,224252,48096,47554,175896,53063
2025,2-5%,2-3,41647,30787,30787,10852,804
2025,2-5%,31-60,181154,26206,25510,148826,57376
2025,2-5%,4-7,42387,29811,29805,12562,1391
2025,2-5%,60+,60196,12264,11925,47712,16143
2025,2-5%,8-14,102606,45839,45742,56755,9733
2025,5-10%,0-1,69752,43379,43314,26358,4278
2025,5-10%,15-30,358666,67696,66694,290305,98146
2025,5-10%,2-3,69888,44407,44325,25492,3442
2025,5-10%,31-60,276310,35766,34858,231015,94399
2025,5-10%,4-7,70774,43049,42866,27835,5094
2025,5-10%,60+,98174,16726,16185,80975,30156
2025,5-10%,8-14,170106,66574,66031,103842,24018
2025,>20%,0-1,375928,47120,45083,328760,169650
2025,>20%,15-30,1576677,157359,153680,1404622,709658
2025,>20%,2-3,397667,60905,58911,334920,152618
2025,>20%,31-60,1142852,109519,107163,993568,497766
2025,>20%,4-7,374063,57903,56119,314294,156125
2025,>20%,60+,938688,91516,89663,841063,423396
2025,>20%,8-14,873943,105525,102576,760607,374743
2025,ATM<2%,0-1,27696,24514,24513,3177,145
2025,ATM<2%,15-30,150935,41244,40844,109677,26697
2025,ATM<2%,2-3,27597,23702,23702,3892,156
2025,ATM<2%,31-60,128706,22909,22242,101803,32837
2025,ATM<2%,4-7,27856,22413,22409,5432,380
2025,ATM<2%,60+,40613,9553,9328,30969,9257
2025,ATM<2%,8-14,67238,37238,37209,30000,3500
2026,10-20%,0-1,178475,58588,53520,124308,60051
2026,10-20%,15-30,656178,58323,47955,599332,385834
2026,10-20%,2-3,158454,54048,48077,109031,55715
2026,10-20%,31-60,436381,33511,27053,390607,251871
2026,10-20%,4-7,174186,47694,41264,131107,71991
2026,10-20%,60+,391179,23218,18741,367347,244686
2026,10-20%,8-14,366914,58526,49276,312280,181869
2026,2-5%,0-1,58755,30628,26574,32101,11683
2026,2-5%,15-30,245991,24303,17626,221515,141280
2026,2-5%,2-3,51954,24514,21082,30765,11864
2026,2-5%,31-60,176143,15179,11713,153633,99356
2026,2-5%,4-7,60696,21530,17918,42332,19052
2026,2-5%,60+,147601,11586,9540,135320,84564
2026,2-5%,8-14,129324,24942,19455,108065,60724
2026,5-10%,0-1,96413,41094,35784,60364,26575
2026,5-10%,15-30,372013,34617,26295,338362,219337
2026,5-10%,2-3,84007,34055,29035,54528,25925
2026,5-10%,31-60,256460,20925,16243,228498,149562
2026,5-10%,4-7,95699,29974,24969,69890,35943
2026,5-10%,60+,223037,15267,12424,207381,134006
2026,5-10%,8-14,204807,35004,28012,173529,98134
2026,>20%,0-1,643507,108245,105009,534505,316186
2026,>20%,15-30,1870766,168298,152211,1694982,1082724
2026,>20%,2-3,565848,108717,105342,455008,251785
2026,>20%,31-60,1383253,115907,103890,1239005,799675
2026,>20%,4-7,578321,100453,95733,476259,279472
2026,>20%,60+,2126741,108234,95611,2006803,1389665
2026,>20%,8-14,1136926,142269,132993,988258,595386
2026,ATM<2%,0-1,39584,27549,24483,15091,4047
2026,ATM<2%,15-30,178085,25266,19188,153782,82929
2026,ATM<2%,2-3,34436,23021,20801,13626,3972
2026,ATM<2%,31-60,135341,16326,13285,113297,60366
2026,ATM<2%,4-7,40921,20829,18069,22763,8537
2026,ATM<2%,60+,108612,12090,10364,95583,50805
2026,ATM<2%,8-14,89837,25100,20215,68803,30672
