db,0-10d,10-20d,20-30d,30-40d,40-60d,60d+
<=9,0.6666666666666667,0.2068965517241379,0.1639344262295082,0.14111720254852572,0.12377850162866447,0.10975609756097567
10-21,0.6666666666666666,0.21917808219178078,0.18181818181818182,0.1431718809901634,0.11704834605597969,0.10985178727114206
22-45,0.6229508196721313,0.26281543274244,0.2110552763819096,0.1694915254237288,0.14285714285714285,0.11851851851851852
46-100,0.5945945945945945,0.18181818181818177,0.14248943904116318,0.1194029850746269,0.0970873786407767,0.08360128617363337
101-250,0.4615384615384615,0.14765100671140952,0.0852767168188405,0.060869565217391376,0.069742867206763,0.06447127433969548
>250,0.30508474576271183,0.1684414327202324,0.11494252873563218,0.09248554913294793,0.08484848484848481,0.1
