bucket,,iv,rv,vrp
30d,2025-11-06,1.067275,1.111523079785182,-0.04424807978518208
30d,2025-11-07,1.0888499999999999,1.1339458103687656,-0.045095810368765754
30d,2025-11-10,1.0443500000000001,1.0581160251650077,-0.013766025165007578
30d,2025-11-11,1.0734,1.024332623572568,0.049067376427431864
30d,2025-11-12,1.027725,1.1607497482822007,-0.13302474828220068
30d,2025-11-13,1.09505,1.121651704070469,-0.026601704070468912
30d,2025-11-14,1.06675,1.1514218476315823,-0.0846718476315822
30d,2025-11-17,1.146125,1.1558481375299696,-0.009723137529969561
30d,2025-11-18,1.19115,1.1514427502361775,0.03970724976382245
30d,2025-11-19,1.1657749999999998,1.1723444400032785,-0.006569440003278748
30d,2025-11-20,1.3093249999999999,1.0410034384184679,0.268321561581532
30d,2025-11-21,1.17555,1.0683216261304622,0.10722837386953787
30d,2025-11-24,1.0713,0.938359334392931,0.13294066560706896
30d,2025-11-25,1.0579749999999999,0.9627313917226012,0.09524360827739864
30d,2025-11-26,1.0039,0.9282393885388105,0.07566061146118952
30d,2025-11-28,0.9761,0.9356019800658738,0.04049801993412616
30d,2025-12-01,0.9524499999999999,0.9001542369196384,0.052295763080361546
30d,2025-12-02,0.967025,0.898894921207476,0.06813007879252397
30d,2025-12-03,0.9158000000000001,0.9700971124327795,-0.05429711243277946
30d,2025-12-04,0.884175,0.9897387305510109,-0.10556373055101087
30d,2025-12-05,0.9148000000000001,1.0132248901167222,-0.09842489011672217
30d,2025-12-08,0.95785,1.0239861600331923,-0.06613616003319234
30d,2025-12-09,0.962925,1.0424153744926252,-0.0794903744926252
30d,2025-12-10,0.939175,1.0741431591192556,-0.13496815911925564
30d,2025-12-11,0.924325,1.1006246221589762,-0.1762996221589762
30d,2025-12-12,0.930325,0.9330531154294833,-0.0027281154294833687
30d,2025-12-15,0.9440250000000001,0.883226293932759,0.06079870606724114
30d,2025-12-16,0.944925,0.8816834491394742,0.06324155086052585
30d,2025-12-17,0.9433,0.7283086125199585,0.21499138748004154
30d,2025-12-18,0.931275,0.7299927266269396,0.20128227337306037
30d,2025-12-19,0.8762000000000001,0.7176868643284731,0.15851313567152703
30d,2025-12-22,0.8404499999999999,0.7835634801582588,0.05688651984174109
30d,2025-12-23,0.823825,0.7849594740476961,0.03886552595230397
30d,2025-12-24,0.8628750000000001,0.8098754939503109,0.05299950604968917
30d,2025-12-26,0.84315,0.830423989072834,0.012726010927165965
30d,2025-12-29,0.8491,0.8321668824307203,0.01693311756927962
30d,2025-12-30,0.859275,0.8287493102701724,0.03052568972982761
30d,2025-12-31,0.8663,0.9741480391140975,-0.10784803911409757
30d,2026-01-02,0.92505,0.927094060552454,-0.0020440605524539857
30d,2026-01-05,0.932325,1.063867054322841,-0.13154205432284105
30d,2026-01-06,1.0001250000000002,1.01454389768162,-0.014418897681619747
30d,2026-01-07,0.9079750000000001,1.1294525351127591,-0.22147753511275903
30d,2026-01-08,0.966725,1.137681341212095,-0.17095634121209502
30d,2026-01-09,0.967475,1.1362603858738958,-0.1687853858738958
30d,2026-01-12,0.920275,1.1065725168923424,-0.18629751689234242
30d,2026-01-13,0.933675,1.1440401062251113,-0.2103651062251113
30d,2026-01-14,0.965475,1.1439529968820394,-0.17847799688203947
30d,2026-01-15,0.931125,1.1639233727425833,-0.2327983727425833
30d,2026-01-16,0.957875,1.186655858451945,-0.22878085845194507
30d,2026-01-20,1.0582,1.1184702212786566,-0.060270221278656555
30d,2026-01-21,0.9916,1.0790107839365302,-0.08741078393653012
30d,2026-01-22,1.0372000000000001,1.1070311369419847,-0.06983113694198462
30d,2026-01-23,0.97485,1.128127120798766,-0.153277120798766
30d,2026-01-26,0.9208500000000001,1.08819257209245,-0.16734257209244985
30d,2026-01-27,1.0314,1.1204949380429952,-0.08909493804299506
30d,2026-01-28,1.0112999999999999,1.0936265068801294,-0.08232650688012955
30d,2026-01-29,1.052875,1.1213680619433875,-0.06849306194338745
30d,2026-01-30,1.0766499999999999,1.0464813714690835,0.030168628530916397
30d,2026-02-02,1.10965,1.140574963149402,-0.030924963149401963
30d,2026-02-03,1.254125,1.1268035585104128,0.12732144148958713
30d,2026-02-04,1.2554500000000002,1.1162948272360254,0.13915517276397482
30d,2026-02-05,1.294875,1.145051199392717,0.14982380060728295
30d,2026-02-06,1.16195,1.018443182868679,0.14350681713132096
30d,2026-02-09,1.1696749999999998,1.0567974762038714,0.11287752379612837
30d,2026-02-10,1.1108250000000002,1.1158176912356066,-0.004992691235606417
30d,2026-02-11,1.131425,1.0782843512355442,0.05314064876445568
30d,2026-02-12,1.2701500000000001,1.081986746559776,0.18816325344022422
30d,2026-02-13,1.215975,1.10334351527946,0.11263148472054008
30d,2026-02-17,1.2244,1.0569520318397247,0.16744796816027518
30d,2026-02-18,1.1482,1.068567602578224,0.07963239742177608
30d,2026-02-19,1.1656,1.0947839191751907,0.07081608082480928
30d,2026-02-20,1.1481750000000002,1.113187505146267,0.0349874948537332
30d,2026-02-23,1.153375,1.0946254966409752,0.058749503359024846
30d,2026-02-24,1.165175,1.1870933108764063,-0.021918310876406277
30d,2026-02-25,1.1775250000000002,1.171360928732208,0.0061640712677921705
30d,2026-02-26,1.204125,1.168810841209362,0.03531415879063782
30d,2026-02-27,1.17055,1.1958164523429278,-0.025266452342927792
30d,2026-03-02,1.274225,1.4045590065902098,-0.13033400659020988
30d,2026-03-03,1.21315,1.298521594860521,-0.08537159486052115
30d,2026-03-04,1.1692,1.3132466234341102,-0.14404662343411023
30d,2026-03-05,1.32455,1.3422944522016496,-0.017744452201649663
30d,2026-03-06,1.4220000000000002,1.2836016590462203,0.1383983409537799
30d,2026-03-09,1.2455749999999999,1.3168840891942521,-0.07130908919425227
30d,2026-03-10,1.2444,1.3290293230450942,-0.0846293230450943
30d,2026-03-11,1.174375,1.3379252539263475,-0.1635502539263476
30d,2026-03-12,1.304025,1.2920352448203776,0.011989755179622419
30d,2026-03-13,1.259025,1.326641048127266,-0.06761604812726585
30d,2026-03-16,1.173975,1.2653558918684569,-0.09138089186845688
30d,2026-03-17,1.085075,1.2655891079024157,-0.18051410790241573
30d,2026-03-18,1.164525,1.2667107493913772,-0.10218574939137715
30d,2026-03-19,1.136625,1.2989321097273157,-0.16230710972731566
30d,2026-03-20,1.252675,1.280935854843106,-0.02826085484310603
30d,2026-03-23,1.19068,1.226837477445118,-0.0361574774451181
30d,2026-03-24,1.156525,1.2315897430348528,-0.07506474303485278
30d,2026-03-25,1.13375,1.2750606767973067,-0.1413106767973067
30d,2026-03-26,1.274025,1.095017714999866,0.17900728500013385
30d,2026-03-27,1.24945,1.0606029003678432,0.18884709963215673
30d,2026-03-30,1.356975,1.018881913486276,0.33809308651372394
30d,2026-03-31,1.14235,0.9346846693489971,0.2076653306510029
30d,2026-04-01,1.2498749999999998,0.9254905748926999,0.3243844251072999
30d,2026-04-02,1.18885,0.9407360879689024,0.24811391203109756
30d,2026-04-06,1.19745,1.0123803759969798,0.18506962400302007
30d,2026-04-07,1.2465,1.1122369609560256,0.1342630390439743
30d,2026-04-08,1.1396,1.0809348640568481,0.058665135943151814
30d,2026-04-09,1.0923250000000002,1.1053320600838035,-0.013007060083803257
30d,2026-04-10,1.197025,1.132400453919561,0.0646245460804391
30d,2026-04-13,1.1229749999999998,1.1863576473211614,-0.06338264732116161
30d,2026-04-14,1.153,1.1875410695743802,-0.03454106957438019
30d,2026-04-15,1.17395,1.3036917140174453,-0.12974171401744528
30d,2026-04-16,1.162275,1.3358864356299145,-0.17361143562991455
30d,2026-04-17,1.15445,1.3627905365786592,-0.20834053657865925
30d,2026-04-20,1.1261999999999999,1.3978239061061997,-0.2716239061061998
30d,2026-04-21,1.1898,1.3977211328881871,-0.20792113288818714
30d,2026-04-22,1.2474500000000002,1.394937997503755,-0.14748799750375485
30d,2026-04-23,1.2463,1.4228761497355327,-0.1765761497355327
30d,2026-04-24,1.2826,1.4069821731995538,-0.1243821731995538
30d,2026-04-27,1.2984,1.4638714550116152,-0.1654714550116152
30d,2026-04-28,1.2912750000000002,1.3648782602553142,-0.07360326025531405
30d,2026-04-29,1.257025,1.3623711294018266,-0.10534612940182653
30d,2026-04-30,1.1899250000000001,1.3887094565824545,-0.19878445658245436
30d,2026-05-01,1.1927750000000001,1.4267289989191747,-0.23395399891917457
30d,2026-05-04,1.243025,1.416696966226566,-0.173671966226566
30d,2026-05-05,1.302525,1.4217261894128062,-0.11920118941280622
30d,2026-05-06,1.3070000000000002,1.9196015473972114,-0.6126015473972113
30d,2026-05-07,1.312075,1.9400941174276642,-0.6280191174276641
30d,2026-05-08,1.341625,1.913506576218971,-0.5718815762189708
30d,2026-05-11,1.4674,1.9229402339239663,-0.45554023392396625
30d,2026-05-12,1.4546000000000001,2.034337722648998,-0.5797377226489977
30d,2026-05-13,1.46015,2.0286997647766665,-0.5685497647766664
30d,2026-05-14,1.468625,2.0813879346331197,-0.6127629346331196
30d,2026-05-15,1.435775,2.0730596940740624,-0.6372846940740624
30d,2026-05-18,1.400625,2.123590682109778,-0.7229656821097781
30d,2026-05-19,1.369675,2.191457205187801,-0.8217822051878012
30d,2026-05-20,1.3389,2.2154097230207483,-0.8765097230207484
30d,2026-05-21,1.31195,2.2760669194231538,-0.9641169194231538
30d,2026-05-22,1.358925,2.3357298721215662,-0.9768048721215663
30d,2026-05-26,1.5164499999999999,2.3345540067817656,-0.8181040067817658
30d,2026-05-27,1.49445,2.4048504264598893,-0.9104004264598893
30d,2026-05-28,1.492,2.464573587424024,-0.9725735874240242
30d,2026-05-29,1.5503,2.5321077997977417,-0.9818077997977417
30d,2026-06-01,1.5670250000000001,2.5669257433373573,-0.9999007433373572
30d,2026-06-02,1.6463,2.569605081578675,-0.923305081578675
30d,2026-06-03,1.6513750000000003,2.624011198366614,-0.9726361983666139
30d,2026-06-04,1.61795,2.691200740151759,-1.0732507401517588
30d,2026-06-05,1.69425,2.4045732124624988,-0.7103232124624987
30d,2026-06-08,1.6839250000000001,2.308589968326816,-0.624664968326816
30d,2026-06-09,1.7371,2.333722567879119,-0.596622567879119
30d,2026-06-10,1.8004499999999999,2.3590275793596733,-0.5585775793596734
30d,2026-06-11,1.845225,2.2734740550890935,-0.4282490550890936
30d,2026-06-12,1.7824500000000003,2.3329989679590124,-0.5505489679590121
30d,2026-06-15,1.6886750000000001,2.3088735051814306,-0.6201985051814305
