trade_date,iv7,rv_next_wk,gap,wk_move
2025-04-02,1.181475,5.043450769097316,3.8619757690973158,-0.20923076923076944
2025-04-03,1.6238,4.809707668451408,3.1859076684514083,-0.15600350569675725
2025-04-04,2.26875,4.342506026828934,2.073756026828934,0.1754587155963303
2026-06-04,1.649925,3.6740671655573065,2.0241421655573064,-0.14766760520508326
2026-06-01,1.7638250000000002,3.438558096220529,1.6747330962205287,-0.06936365238850661
2025-03-31,1.393425,3.022507787991163,1.6290827879911631,-0.4143126177024483
2025-03-28,1.176375,2.7934872806930535,1.6171122806930536,-0.45534041224234856
2025-04-08,2.59615,4.144473101754422,1.5483231017544221,0.2827669902912622
2026-05-29,1.6140499999999998,3.158422769396118,1.5443727693961184,-0.18722663572257403
2024-07-26,1.17345,2.651890214152182,1.478440214152182,-0.3017385091688498
2025-04-07,2.91545,4.331304744005597,1.415854744005597,0.120042872454448
2025-03-27,1.1039999999999999,2.4710478571912837,1.3670478571912839,-0.355367231638418
2024-08-29,0.96475,2.3023040613641688,1.3375540613641688,-0.17694221730716064
2024-07-25,1.301475,2.591290696098257,1.2898156960982572,-0.11619095731245277
2025-01-24,0.7931999999999999,2.0679068254348234,1.2747068254348235,-0.17598533455545395
2025-01-23,0.7806,2.0549369175533783,1.2743369175533783,-0.21938629194149728
2024-07-15,0.8800749999999999,2.1505028653823484,1.2704278653823484,-0.17691948294658144
2024-07-29,1.3829749999999998,2.601364629048276,1.218389629048276,-0.3316558830577523
2025-10-09,0.9723499999999999,2.1706259931207432,1.1982759931207432,-0.039289940828402314
2025-10-03,0.82205,2.0124101147604763,1.1903601147604763,-0.1051530211875491
2026-06-03,1.7502,2.933522225833999,1.183322225833999,-0.3570357142857141
2024-08-30,0.80715,1.9441687544008484,1.1370187544008483,-0.3332476875642343
2025-10-08,1.026275,2.161700682671368,1.135425682671368,-0.06560821853840748
2026-06-17,1.920775,3.008410304049441,1.0876353040494413,-0.01746052124791375
2024-07-10,0.75375,1.8361163806910314,1.0823663806910315,-0.2510198135198136
2025-01-22,0.819425,1.8826741476961417,1.0632491476961419,-0.2687375320604163
2025-10-06,1.150025,2.197054689109531,1.0470296891095308,-0.06094049904030718
2024-07-11,0.7830999999999999,1.8264420410575735,1.0433420410575736,-0.16186468112657826
2026-03-25,1.2259250000000002,2.2173091930656916,0.9913841930656915,-0.08426769446391036
2024-07-12,0.7637750000000001,1.7392079245185301,0.97543292451853,-0.266541822721598
2024-08-28,1.4016250000000001,2.3115543364885296,0.9099293364885295,-0.17095890410958892
2026-06-18,1.7784250000000001,2.644925916855368,0.8665009168553677,-0.0927112033491968
2026-06-26,1.9145500000000002,2.7724107566036365,0.8578607566036363,-0.15839144583914466
2026-03-24,1.2451750000000001,2.095010110812263,0.849835110812263,-0.1286804798255181
2026-03-27,1.2172749999999999,2.0472145679442604,0.8299395679442605,0.13175965665236022
2026-06-12,1.844075,2.65371240116436,0.8096374011643601,0.19187137495735263
2026-06-09,1.969225,2.7344493486511396,0.7652243486511396,0.12008127663792245
2024-07-19,1.082225,1.7957071809072065,0.7134821809072065,-0.10659574468085098
2024-07-18,0.975,1.688064567919464,0.7130645679194639,-0.23541908072614892
2025-02-21,0.881975,1.5896940106669866,0.7077190106669866,-0.20939130434782594
2024-08-01,1.51645,2.199957832552139,0.6835078325521391,-0.09888539582737932
2025-02-20,0.7150000000000001,1.3798033380747199,0.6648033380747198,-0.3135459425323651
2026-01-30,1.0930250000000001,1.7486129409064124,0.6555879409064123,-0.0004855154555756247
2024-07-24,1.226625,1.8673483701067226,0.6407233701067225,0.049164902375911534
2024-10-11,0.755575,1.384179047782072,0.6286040477820719,-0.08719275549805927
2026-06-25,1.924375,2.5509478188302577,0.6265728188302577,-0.28604669506231273
2024-03-01,0.8431500000000001,1.4693136119835843,0.6261636119835843,0.010136532892014882
2026-05-01,1.117725,1.7239296277213865,0.6062046277213864,0.36146704519297157
2024-10-10,0.80905,1.4121910789343994,0.6031410789343994,-0.0670021186440678
