gate,dip,stop,is_bp,is_sharpe,oos_on_days,oos_on_rate,oos_on_sharpe,oos_bp_per_on_day,oos_trades_per_on_day,oos_sharpe,oos_maxdd,oos_cagr,oos_win_rate,oos_worst_day,oos_yrs_pos
4.25,0.003,0.015,16.67875736791655,1.5255987068657635,88,0.170873786407767,0.11018928605227662,1.2087230283579693,4.079545454545454,0.04576442090522407,-0.16937726528258945,-0.0012671273780175962,0.7855153203342619,-0.030600000000000138,2/3
4.25,0.0025,0.015,14.299333624774818,1.3572796789238308,88,0.170873786407767,-0.7941856361453545,-8.647028872639215,4.1477272727272725,-0.3295065667565004,-0.2038597173847011,-0.04250888874741321,0.7945205479452054,-0.030600000000000138,1/3
5.0,0.003,0.03,17.628703032075013,1.2755975389445884,53,0.1029126213592233,1.5037211800378112,18.15065296692914,4.037735849056604,0.48455331945928815,-0.10549012329199337,0.043031223283576336,0.8504672897196262,-0.057720759580684,2/3
5.0,0.003,0.04,18.29117148096919,1.2382939368588048,53,0.1029126213592233,1.2615631809051984,16.05346035761306,3.7169811320754715,0.4070119812227304,-0.08455792916514104,0.03684843813764527,0.8426395939086294,-0.06368120905858132,1/3
3.0,0.003,0.015,12.210144008077734,1.2371436246280887,313,0.6077669902912621,-1.0268612805776955,-9.569290647814789,3.9361022364217253,-0.8003794223624903,-0.37534803757201773,-0.15012063852662205,0.7702922077922078,-0.030871953433059995,1/3
4.25,0.003,0.03,16.136896521205752,1.2069303412204109,88,0.170873786407767,1.3721887526804073,15.620340144449928,3.9431818181818183,0.5681392154509195,-0.10494749976958362,0.06174039968917877,0.8414985590778098,-0.06060000000000006,2/3
5.0,0.0025,0.03,15.536934905094261,1.1807967581194159,53,0.1029126213592233,1.34906076950245,15.883999021179154,4.150943396226415,0.4350616853960493,-0.09888065607300145,0.03718451675289769,0.8590909090909091,-0.057720759580684,2/3
3.0,0.0025,0.04,13.345942223708523,1.126117038899098,313,0.6077669902912621,-0.2967085793840196,-2.9856556118241917,3.6453674121405752,-0.23144170871229053,-0.3464149177608009,-0.06308512852997628,0.8352322524101665,-0.07185724907063218,2/3
4.25,0.002,0.015,11.192382134631012,1.1202802310798672,88,0.170873786407767,-1.231747346109391,-12.892812763908921,4.306818181818182,-0.5102997314860005,-0.21704569057085166,-0.05934184283602639,0.8126649076517151,-0.030600000000000138,1/3
3.0,0.003,0.04,13.417595111951766,1.099969427655248,313,0.6077669902912621,-0.3243319250591694,-3.2886362676315746,3.463258785942492,-0.2529853698817183,-0.3519024989811438,-0.06766315691679858,0.8081180811808119,-0.07135724907063223,1/3
