gate,dip,stop,is_on_days,is_on_rate,is_on_sharpe,is_bp_per_on_day,is_trades_per_on_day,is_sharpe,is_maxdd,is_cagr,is_win_rate,is_worst_day,is_yrs_pos
4.25,0.003,0.015,307,0.3101010101010101,1.5255987068657635,16.67875736791655,4.45928338762215,0.8478073787715903,-0.17628935420833325,0.12565806536863589,0.8283418553688824,-0.03127184518942479,3/5
4.25,0.0025,0.015,307,0.3101010101010101,1.3572796789238308,14.299333624774818,4.547231270358306,0.7547688893734945,-0.17797858256922416,0.10588200119015445,0.8452722063037249,-0.03127184518942479,3/5
5.0,0.003,0.03,191,0.19292929292929292,1.2755975389445884,17.628703032075013,4.392670157068062,0.5600136395748533,-0.19077064358708629,0.07657120145454366,0.8736591179976162,-0.06060000000000006,3/5
5.0,0.003,0.04,191,0.19292929292929292,1.2382939368588048,18.29117148096919,4.183246073298429,0.5437182459403572,-0.19990655118758627,0.07819809753030027,0.8760951188986232,-0.07790000000000019,3/5
3.0,0.003,0.015,625,0.6313131313131313,1.2371436246280887,12.210144008077734,4.2784,0.9821646977713141,-0.2891311632570195,0.19056037233348389,0.819371727748691,-0.03127184518942479,3/5
4.25,0.003,0.03,307,0.3101010101010101,1.2069303412204109,16.136896521205752,4.315960912052117,0.6715150498227486,-0.23303539942108664,0.11417745486209685,0.8732075471698113,-0.06060000000000017,3/5
5.0,0.0025,0.03,191,0.19292929292929292,1.1807967581194159,15.536934905094261,4.439790575916231,0.5185875622190274,-0.1854667633123226,0.06688061011607438,0.8879716981132075,-0.06060000000000006,3/5
3.0,0.0025,0.04,625,0.6313131313131313,1.126117038899098,13.345942223708523,4.0192,0.894192554990038,-0.40124404427947147,0.20130972391135415,0.8793789808917197,-0.08060000000000007,3/5
4.25,0.002,0.015,307,0.3101010101010101,1.1202802310798672,11.192382134631012,4.6547231270358305,0.6234764332972405,-0.2096995439296424,0.08058778432544811,0.8593421973407978,-0.03127184518942479,3/5
3.0,0.003,0.04,625,0.6313131313131313,1.099969427655248,13.417595111951766,3.8672,0.8734672432142786,-0.4668742824644624,0.20069323889701574,0.8568473314025652,-0.08060000000000007,3/5
4.25,0.005,0.015,307,0.3101010101010101,1.0891507657641795,13.681913821581826,3.9087947882736156,0.6062088262092106,-0.2114434573612659,0.0956046587100674,0.7416666666666667,-0.03127184518942479,3/5
3.0,0.003,0.03,625,0.6313131313131313,1.0867676173403107,12.70638000229452,3.9728,0.8630021295860602,-0.38685649350912754,0.19022375714795214,0.8538058799838905,-0.06060000000000017,3/5
2.5,0.003,0.015,742,0.7494949494949495,1.0859403135227892,10.434674512769798,4.1940700808625335,0.939742696053336,-0.3040526264923398,0.19102371944756968,0.8123393316195373,-0.03127184518942479,3/5
3.0,0.0025,0.03,625,0.6313131313131313,1.0785628424363591,12.18535197954948,4.1184,0.8564978480083736,-0.3613430076733992,0.18256838229012362,0.8749028749028749,-0.06060000000000017,3/5
3.0,0.004,0.015,625,0.6313131313131313,1.0619546918301512,11.273506779704114,3.9136,0.8433310741653209,-0.3527998040175998,0.16943820954584776,0.7694194603434178,-0.03127184518942479,3/5
4.25,0.0025,0.03,307,0.3101010101010101,1.0596488824312704,13.60890774238447,4.413680781758957,0.5898396030239251,-0.2568382422360299,0.0939269258263058,0.8878228782287823,-0.06060000000000017,3/5
4.25,0.004,0.015,307,0.3101010101010101,1.0441087158691806,12.226686258992737,4.166123778501628,0.5812153893867554,-0.24222319550838822,0.08539510648396353,0.777951524628616,-0.03127184518942479,3/5
2.5,0.003,0.04,742,0.7494949494949495,1.0371653722283896,12.101205606404914,3.7641509433962264,0.8975804193840177,-0.4842284900817976,0.21580448343027903,0.8478338703902614,-0.08060000000000007,3/5
3.0,0.005,0.015,625,0.6313131313131313,1.0108475408611364,11.308956534684395,3.5728,0.8028075163615865,-0.3111981651364215,0.16724259414360643,0.7304075235109718,-0.03127184518942479,3/5
2.5,0.0025,0.04,742,0.7494949494949495,1.0096561500277992,11.442059433388277,3.9258760107816713,0.8737979356176264,-0.4151172693699572,0.20296308384771855,0.8705801579128046,-0.08060000000000007,3/5
3.34,0.003,0.015,527,0.5323232323232323,1.002444334299406,10.210872364611472,4.3282732447817835,0.7310306754845793,-0.2903060761879337,0.1266332468838216,0.8198158702323542,-0.03127184518942479,3/5
2.5,0.003,0.03,742,0.7494949494949495,1.001452433459913,11.270225505087453,3.862533692722372,0.8667052117619948,-0.4072905172492729,0.19973630119408625,0.8440334961618982,-0.06060000000000017,3/5
4.25,0.003,0.04,307,0.3101010101010101,0.998046332730571,14.330441544578557,4.172638436482084,0.5556457929716805,-0.3016409102858786,0.09551260490028346,0.8750975800156128,-0.08060000000000007,4/5
3.0,0.0025,0.015,625,0.6313131313131313,0.9860645377812395,9.498966493696303,4.4032,0.7831533973567517,-0.294363960311689,0.14142159695846512,0.8393895348837209,-0.03127184518942479,3/5
3.0,0.004,0.03,625,0.6313131313131313,0.9804169460660538,12.116531197841796,3.5952,0.7786742873258321,-0.4113636739325206,0.17537424901464416,0.8099688473520249,-0.06115295220243684,3/5
3.34,0.003,0.03,527,0.5323232323232323,0.9754384297441687,11.780075408770184,4.0379506641366225,0.711371930695619,-0.3584921408871644,0.1421056216752139,0.8580827067669173,-0.06060000000000017,3/5
3.0,0.002,0.04,625,0.6313131313131313,0.9502859813899065,10.766870911655644,4.168,0.7547755675751888,-0.39713166873812344,0.155918929987781,0.8955854126679462,-0.08060000000000007,3/5
3.74,0.003,0.015,425,0.4292929292929293,0.9482206256642309,10.225061116332721,4.390588235294118,0.6210629089877466,-0.29592731213243784,0.09922081522191761,0.8236870310825295,-0.03127184518942479,3/5
3.34,0.0025,0.04,527,0.5323232323232323,0.9471496629888503,11.724915994785311,4.0493358633776095,0.6907762448071254,-0.3874607818096364,0.13967189001030067,0.880037488284911,-0.08060000000000007,3/5
