date,atr5,or30,thr80,pos10,on,ret,n_fills,n_stops
2020-07-16,,1.9799010049497423,,0.2828282828282854,False,0.0,0,0
2020-07-17,,1.8815263943024862,,0.39641943734014945,False,0.0,0,0
2020-07-20,,2.724704304937029,,0.57293497363796,False,0.0,0,0
2020-07-21,,2.3087894455339533,,0.6061776061776061,False,0.0,0,0
2020-07-22,,3.3027522935779894,,0.901388888888888,False,0.0,0,0
2020-07-23,5.188820089778927,2.2219168041048167,,0.9360824742268095,False,0.0,0,0
2020-07-24,6.1971498272227885,4.559963520291838,,0.8199999999999995,False,0.0,0,0
2020-07-27,7.44292589248532,4.1116504854368925,,0.9917355371900834,False,0.0,0,0
2020-07-28,6.938384594667471,4.773057286055551,,0.2070657507360143,False,0.0,0,0
2020-07-29,6.836658023709569,1.6939501779359398,,0.40896358543417666,False,0.0,0,0
2020-07-30,6.886215632511681,4.14322250639386,,0.16049382716049465,False,0.0,0,0
2020-07-31,6.421910077257922,3.059380378657493,,0.09423347398031148,False,0.0,0,0
2020-08-03,5.944129543793643,3.7815126050420242,,0.8797250859106519,False,0.0,0,0
2020-08-04,5.694488564391171,2.5366262034323994,,0.9026402640264021,False,0.0,0,0
2020-08-05,5.779642699478093,2.809394036550173,,0.8915834522111281,False,0.0,0,0
2020-08-06,5.488196517827116,2.233330645811494,,0.7382671480144422,False,0.0,0,0
2020-08-07,4.696532254527307,1.541761087730658,,0.7296587926509185,False,0.0,0,0
2020-08-10,4.911505545461939,2.0176127671889836,,0.3913934426229505,False,0.0,0,0
2020-08-11,5.131278678821784,3.9139677379017073,,0.6187433439829617,False,0.0,0,0
2020-08-12,5.455357861647758,2.6238578254673444,,0.9728434504792352,False,0.0,0,0
2020-08-13,6.489315026879224,2.5180840664711734,,0.4177018633540352,False,0.0,0,0
2020-08-14,6.727585605789557,3.5188150520416412,,0.5984072810011385,False,0.0,0,0
2020-08-17,6.071881761393223,2.3884846567541884,,0.3195364238410612,False,0.0,0,0
2020-08-18,5.55439056227686,3.1488770548738123,,0.09803921568627245,False,0.0,0,0
2020-08-19,5.057258760835035,1.7843689281890638,,0.27555555555555755,False,0.0,0,0
2020-08-20,4.049175993905864,3.5295590137260664,,0.9338061465721038,False,0.0,0,0
2020-08-21,3.8357095854580328,1.7608858546332489,,0.9976359338061487,False,0.0,0,0
2020-08-24,3.717123600193257,2.455198547406647,,0.34726688102893843,False,0.0,0,0
2020-08-25,3.799722826819111,2.3150517736918648,,0.6717687074829999,False,0.0,0,0
2020-08-26,3.5409078018750693,1.390158439975616,,0.22191780821918008,False,0.0,0,0
2020-08-27,3.3384794290825255,4.223278985507246,,0.0759606791778394,False,0.0,0,0
2020-08-28,3.928846329122289,2.407087972400821,,0.9934853420195406,False,0.0,0,0
2020-08-31,4.284995800961172,2.541011172975603,,0.25294117647058345,False,0.0,0,0
2020-09-01,4.509619977966986,3.6998896653181323,,0.8161033797216678,False,0.0,0,0
2020-09-02,4.963877233348009,4.367909788737183,,0.3491446345256613,False,0.0,0,0
2020-09-03,6.108006607656516,5.705623871649011,,0.31343283582089554,False,0.0,0,0
2020-09-04,7.845506790726864,6.190820093082963,,0.10628645495787353,False,0.0,0,0
2020-09-08,9.939468482568639,5.225943887957214,,0.9653078924544686,False,0.0,0,0
2020-09-09,11.050146775787564,3.809064609450337,,0.34522439585730735,False,0.0,0,0
2020-09-10,11.329273240818925,2.6834910620399564,,0.07993730407523374,False,0.0,0,0
2020-09-11,11.744933523121272,3.8369410929737424,,0.05086705202312109,False,0.0,0,0
2020-09-14,10.390608871400463,2.5332190312901828,,0.3840947546531274,False,0.0,0,0
2020-09-15,7.9776743735015625,1.0853864883826483,,0.5855513307984771,False,0.0,0,0
2020-09-16,6.691435468154308,1.6996142719382794,,0.7092198581560301,False,0.0,0,0
2020-09-17,6.49367678196746,4.6917374796600955,,0.9961464354527946,False,0.0,0,0
2020-09-18,6.329283754692268,3.543568464730287,,0.1170960187353631,False,0.0,0,0
2020-09-21,6.715230940683921,5.236216774678303,,0.604484304932735,False,0.0,0,0
2020-09-22,7.490381164414711,4.657926723389485,,0.0931966449207827,False,0.0,0,0
2020-09-23,8.097689365263191,2.3278872267965713,,0.1611111111111118,False,0.0,0,0
2020-09-24,8.925110900987276,4.852899441869261,,0.9035087719298264,False,0.0,0,0
2020-09-25,8.906494542327637,4.511278195488715,,0.48115079365079383,False,0.0,0,0
2020-09-28,8.592232449632949,2.3647244618069974,,0.5131810193321596,False,0.0,0,0
2020-09-29,8.19917088862704,3.251445086705211,,0.6753086419753066,False,0.0,0,0
2020-09-30,7.663484264591139,2.8622754491018028,,0.9776847977684764,False,0.0,0,0
2020-10-01,6.649026771851483,2.6785374576722676,,0.32386363636363963,False,0.0,0,0
2020-10-02,5.589021943779133,3.5408840220605917,,0.8408577878103811,False,0.0,0,0
2020-10-05,5.20904590378992,3.1723973636146985,,0.9824780976220292,False,0.0,0,0
2020-10-06,5.376588481847506,1.384638351869814,,0.6765498652291118,False,0.0,0,0
2020-10-07,6.244511346699632,2.155610393380751,,0.7777777777777788,False,0.0,0,0
2020-10-08,5.759065110416211,1.5127803860198108,,0.5540229885057442,False,0.0,0,0
2020-10-09,5.417477990517398,2.3265862332568883,,0.6685714285714296,False,0.0,0,0
2020-10-12,4.588121049606288,1.365619270405258,,0.6203703703703729,False,0.0,0,0
2020-10-13,3.92352823630969,2.942652779520641,,0.5778251599147081,False,0.0,0,0
2020-10-14,3.0484364551051573,1.434016495876023,,0.15250544662309204,False,0.0,0,0
2020-10-15,3.6065133860103296,3.7103127840813386,,0.909255898366606,False,0.0,0,0
