date,atr5,or30,thr80,pos10,on,ret,n_fills,n_stops
2020-07-23,,1.6595135908440781,,0.6551724137931018,False,0.0,0,0
2020-07-24,,1.4198782961460505,,0.6734693877550958,False,0.0,0,0
2020-07-27,,3.9267015706806325,,0.6000000000000011,False,0.0,0,0
2020-07-28,,2.001766264350897,,0.3088235294117661,False,0.0,0,0
2020-07-29,,1.3119533527696876,,0.4888888888888991,False,0.0,0,0
2020-07-30,3.904211438374234,3.632170654367247,,0.03968253968253749,False,0.0,0,0
2020-07-31,3.9504876530877544,2.7385657820440397,,0.3298969072164955,False,0.0,0,0
2020-08-03,4.456567691754438,1.9230769230769222,,0.5294117647058817,False,0.0,0,0
2020-08-04,4.168964934179398,1.4008004574042368,,0.6326530612244918,False,0.0,0,0
2020-08-05,3.985646420702755,2.321678321678317,,0.7349397590361454,False,0.0,0,0
2020-08-06,3.3383263937908874,0.9876543209876527,,0.8888888888888713,False,0.0,0,0
2020-08-07,3.0016647372056746,1.349118942731283,,1.0,False,0.0,0,0
2020-08-10,3.1248778102846755,1.342628453395309,,0.46153846153846256,False,0.0,0,0
2020-08-11,3.0764043900520184,1.7956499747091574,,0.09859154929577493,False,0.0,0,0
2020-08-12,3.7003464475555035,1.647117544297471,,0.2727272727272737,False,0.0,0,0
2020-08-13,4.154735881430837,2.994791666666663,,0.8347826086956478,False,0.0,0,0
2020-08-14,4.285630085820411,1.0047593865679414,,1.0,False,0.0,0,0
2020-08-17,3.8010631480651704,0.998161281849213,,0.2631578947368303,False,0.0,0,0
2020-08-18,3.667007837583865,1.5839493136219678,,0.10000000000000356,False,0.0,0,0
2020-08-19,3.2060281124555545,1.7356475300400496,,0.6923076923076873,False,0.0,0,0
2020-08-20,2.972158345828863,2.3489932885906137,,0.8571428571428523,False,0.0,0,0
2020-08-21,3.0746122048892666,1.5080888401425752,,0.6909090909090991,False,0.0,0,0
2020-08-24,2.929274230152309,1.6172506738544514,,0.5833333333333344,False,0.0,0,0
2020-08-25,3.519725781663675,1.7692307692307816,,0.6086956521739113,False,0.0,0,0
2020-08-26,3.477254279213293,1.8580645161290295,,0.6388888888888911,False,0.0,0,0
2020-08-27,3.0796626516668844,4.385054488842755,,0.9704142011834336,False,0.0,0,0
2020-08-28,3.416019660103454,2.0122699386503076,,0.4756097560975615,False,0.0,0,0
2020-08-31,3.493816521461897,2.421129860601619,,0.08080808080807893,False,0.0,0,0
2020-09-01,3.238681945032728,2.541942043721403,,0.9600000000000009,False,0.0,0,0
2020-09-02,3.4068359736849794,2.45718540580788,,0.9898989898989918,False,0.0,0,0
2020-09-03,4.166820281005295,2.046644455021417,,0.744186046511629,False,0.0,0,0
2020-09-04,5.134926258661423,2.5313344802162723,,0.1067961165048537,False,0.0,0,0
2020-09-08,6.384273183713478,4.503311258278153,,0.5,False,0.0,0,0
2020-09-09,6.7191778463603145,1.9597315436241718,,0.9863013698630165,False,0.0,0,0
2020-09-10,6.850387094252547,2.0915032679738674,,0.5374999999999968,False,0.0,0,0
2020-09-11,7.198595913645285,2.0896343139950457,,0.05263157894736744,False,0.0,0,0
2020-09-14,5.90933985806234,3.0689842476914597,,0.9557522123893829,False,0.0,0,0
2020-09-15,5.0280857606613045,2.279202279202286,,0.0568181818181865,False,0.0,0,0
2020-09-16,4.788576043005891,1.6741961201169158,,0.9523809523809502,False,0.0,0,0
2020-09-17,4.971400328213146,1.9256848386221885,,0.718309859154926,False,0.0,0,0
2020-09-18,4.283829265071314,2.010184937014205,,0.21333333333333826,False,0.0,0,0
2020-09-21,4.372197075965734,2.1764705882352997,,0.5945945945945995,False,0.0,0,0
2020-09-22,4.4700371245326895,2.9673590504451037,,0.0,False,0.0,0,0
2020-09-23,5.029754360807788,2.2356495468278004,,0.4999999999999952,False,0.0,0,0
2020-09-24,5.889173430088664,3.627450980392155,,0.4234234234234226,False,0.0,0,0
2020-09-25,6.706156257936374,2.540415704387989,,0.6753246753246751,False,0.0,0,0
2020-09-28,7.222608205695707,2.365069739235904,,0.8333333333333303,False,0.0,0,0
2020-09-29,7.24947297222087,1.9474771318973256,,0.25757575757575873,False,0.0,0,0
2020-09-30,6.9057706642652175,2.6594137201571333,,0.7159090909090895,False,0.0,0,0
2020-10-01,6.066207411431921,3.161252900232029,,0.07339449541284876,False,0.0,0,0
2020-10-02,5.4147053566270165,4.037932089323953,,0.9166666666666671,False,0.0,0,0
2020-10-05,6.093218677578187,2.223457476375757,,0.14999999999999733,False,0.0,0,0
2020-10-06,5.729830352213145,1.7328712343375063,,0.2769230769230771,False,0.0,0,0
2020-10-07,6.38879577101481,1.9897821995159855,,0.6081081081081066,False,0.0,0,0
2020-10-08,6.0476531036489805,1.4913657770800635,,0.9824561403508807,False,0.0,0,0
2020-10-09,5.80691108133586,2.011566507417644,,0.3625000000000002,False,0.0,0,0
2020-10-12,4.509930654034891,1.4162873039959412,,0.9464285714285816,False,0.0,0,0
2020-10-13,4.616346206090869,1.7773389286595875,,0.20833333333333168,False,0.0,0,0
2020-10-14,4.274141731167996,1.2681159420289907,,0.6122448979591899,False,0.0,0,0
2020-10-15,4.4495684610097745,2.1371079655842244,,1.0,False,0.0,0,0
2020-10-16,4.948638004922897,2.4193548387096766,,0.34408602150537676,False,0.0,0,0
