regime,n,mean_vrp,median_vrp,pct_pos,p05_vrp
steep contango   (< -5 pts),62,0.023949329990804694,0.040203546940626556,54.83870967741935,-0.601094708560173
mild contango,59,0.015524597734542851,0.060320040289273,55.932203389830505,-0.8841850292755882
mild backwardation,56,0.002322412518586622,0.0070908358262677,51.78571428571429,-0.7452544471511491
steep backwardation (> +5 pts),204,0.06621060886797987,0.1413927384348978,60.29411764705882,-0.8438054543650776
