bucket,n,pearson,spearman,intercept,slope
7d (weekly),496,0.5961052547558815,0.47768128373001073,-0.237032955184673,1.2163146534489457
30d,624,0.5780629178029523,0.49982481169000903,-0.07422650116304114,1.2140225783569905
90d,201,0.5655988883023622,0.31411209850171024,-0.32278644504848003,1.5419878346236187
180d,441,0.5309117225090156,0.33304073374532517,-0.10986240141095463,1.422212674701926
