week_starting,nights,cash_pnl,equity,week_pct,running_cagr_pct,drawdown_pct
2021-01-25,0,0.0,100000.0,0.0,0.0,0.0
2021-02-01,0,0.0,100000.0,0.0,0.0,0.0
2021-02-08,0,0.0,100000.0,0.0,0.0,0.0
2021-02-15,2,118.45,100118.45,0.118,2.08,0.0
2021-02-22,0,0.0,100118.45,0.0,1.56,0.0
2021-03-01,0,0.0,100118.45,0.0,1.24,0.0
2021-03-08,0,0.0,100118.45,0.0,1.03,0.0
2021-03-15,0,0.0,100118.45,0.0,0.89,0.0
2021-03-22,0,0.0,100118.45,0.0,0.78,0.0
2021-03-29,0,0.0,100118.45,0.0,0.69,0.0
2021-04-05,1,-1774.91,98343.54,-1.773,-8.35,-1.77
2021-04-12,5,2099.14,100442.68,2.135,2.12,0.0
2021-04-19,3,-323.73,100118.95,-0.322,0.52,-0.32
2021-04-26,5,1311.15,101430.11,1.31,5.86,0.0
2021-05-03,4,2868.53,104298.63,2.828,16.98,0.0
2021-05-10,3,-5516.51,98782.12,-5.289,-4.17,-5.29
2021-05-17,4,8717.54,107499.66,8.825,26.6,0.0
2021-05-24,5,4980.92,112480.58,4.633,43.47,0.0
2021-05-31,4,-2324.73,110155.85,-2.067,32.36,-2.07
2021-06-07,5,4623.75,114779.6,4.197,46.02,0.0
2021-06-14,4,-4152.61,110626.99,-3.618,30.15,-3.62
2021-06-21,5,4360.12,114987.12,3.941,41.48,0.0
2021-06-28,5,1220.87,116207.99,1.062,42.8,0.0
2021-07-05,3,4338.68,120546.67,3.734,52.8,0.0
2021-07-12,3,-601.73,119944.94,-0.499,48.5,-0.5
2021-07-19,5,-1647.31,118297.62,-1.373,42.01,-1.87
2021-07-26,4,-3309.49,114988.13,-2.798,32.35,-4.61
2021-08-02,5,578.94,115567.07,0.503,32.26,-4.13
2021-08-09,4,-2641.33,112925.75,-2.286,25.42,-6.32
2021-08-16,4,206.86,113132.6,0.183,24.86,-6.15
2021-08-23,5,3131.74,116264.34,2.768,29.97,-3.55
2021-08-30,5,2852.77,119117.11,2.454,34.24,-1.19
2021-09-06,4,4553.98,123671.09,3.823,41.4,0.0
2021-09-13,5,-9539.38,114131.71,-7.714,23.24,-7.71
2021-09-20,5,-1079.28,113052.43,-0.946,20.72,-8.59
2021-09-27,3,-6613.93,106438.5,-5.85,9.75,-13.93
2021-10-04,3,1621.61,108060.12,1.524,11.89,-12.62
2021-10-11,4,8547.46,116607.58,7.91,24.19,-5.71
2021-10-18,5,-3072.73,113534.85,-2.635,19.04,-8.2
2021-10-25,5,3131.53,116666.38,2.758,22.9,-5.66
2021-11-01,5,7895.41,124561.79,6.768,33.18,0.0
2021-11-08,5,6401.81,130963.59,5.139,40.96,0.0
2021-11-15,5,6082.89,137046.48,4.645,47.92,0.0
2021-11-22,3,-5628.29,131418.2,-4.107,39.31,-4.11
2021-11-29,2,3025.79,134443.99,2.302,42.05,-1.9
2021-12-06,4,5299.74,139743.73,3.942,47.41,0.0
2021-12-13,1,767.47,140511.2,0.549,47.08,0.0
2021-12-20,0,0.0,140511.2,0.0,45.88,0.0
2021-12-27,0,0.0,140511.2,0.0,44.73,0.0
2022-01-03,0,0.0,140511.2,0.0,43.65,0.0
2022-01-10,1,-8224.23,132286.97,-5.853,33.91,-5.85
2022-01-17,0,0.0,132286.97,0.0,33.15,-5.85
2022-01-24,0,0.0,132286.97,0.0,32.41,-5.85
2022-01-31,0,0.0,132286.97,0.0,31.71,-5.85
