leg,return_on_capital_pct,return_on_equity_pct
SOXL,1.1306,1.1306
SOXL,4.0758,4.0758
SOXL,-2.1194,-2.1194
SOXL,0.2701,0.2701
SOXL,0.1953,0.1953
SOXL,5.8176,5.8176
SOXL,3.0387,3.0387
SOXL,0.3205,0.3205
SOXL,-0.6623,-0.6623
SOXL,0.3168,0.3168
SOXL,1.9214,1.9214
SOXL,3.7503,3.7503
SOXL,-2.3833,-2.3833
SOXL,7.5442,7.5442
SOXL,1.9789,1.9789
SOXL,-1.4615,-1.4615
SOXL,-1.0186,-1.0186
SOXL,-0.265,-0.265
SOXL,-2.4862,-2.4862
SOXL,1.7909,1.7909
SOXL,-0.0928,-0.0928
SOXL,-1.2618,-1.2618
SOXL,-1.8811,-1.8811
SOXL,4.0758,4.0758
SOXL,0.8544,0.8544
SOXL,-1.7186,-1.7186
SOXL,-3.1673,-3.1673
SOXL,-2.7425,-2.7425
SOXL,4.1932,4.1932
SOXL,2.4616,2.4616
SOXL,-0.7392,-0.7392
SOXL,2.7767,2.7767
SOXL,-1.4223,-1.4223
SOXL,0.1441,0.1441
SOXL,2.4647,2.4647
SOXL,0.8217,0.8217
SOXL,-0.0385,-0.0385
SOXL,0.1593,0.1593
SOXL,-1.8583,-1.8583
SOXL,6.0548,6.0548
SOXL,1.1839,1.1839
SOXL,1.2389,1.2389
SOXL,1.238,1.238
SOXL,0.705,0.705
SOXL,-0.0369,-0.0369
SOXL,-4.8147,-4.8147
SOXL,-5.0754,-5.0754
SOXL,-4.7368,-4.7368
SOXL,0.543,0.543
SOXL,2.1145,2.1145
SOXL,-3.3778,-3.3778
SOXL,0.6267,0.6267
SOXL,0.2072,0.2072
SOXL,0.4158,0.4158
SOXL,0.208,0.208
SOXL,-2.948,-2.948
SOXL,8.0167,8.0167
SOXL,3.9378,3.9378
SOXL,2.2292,2.2292
SOXL,-0.2328,-0.2328
SOXL,3.308,3.308
SOXL,5.3556,5.3556
SOXL,-5.904,-5.904
SOXL,0.6411,0.6411
SOXL,-1.5447,-1.5447
SOXL,-4.7507,-4.7507
SOXL,0.6804,0.6804
SOXL,-0.314,-0.314
SOXL,2.5476,2.5476
SOXL,0.7347,0.7347
SOXL,1.7678,1.7678
SOXL,1.0117,1.0117
SOXL,1.9049,1.9049
SOXL,0.1467,0.1467
SOXL,-8.7925,-8.7925
SOXL,3.7755,3.7755
SOXL,2.009,2.009
SOXL,1.9404,1.9404
SOXL,-2.8242,-2.8242
SOXL,-3.5498,-3.5498
SOXL,11.92,11.92
SOXL,1.6343,1.6343
SOXL,2.9155,2.9155
SOXL,1.5222,1.5222
SOXL,-3.2677,-3.2677
SOXL,3.5647,3.5647
SOXL,3.7325,3.7325
SOXL,3.4075,3.4075
SOXL,-3.5227,-3.5227
SOXL,6.2495,6.2495
SOXL,3.8381,3.8381
SOXL,1.115,1.115
SOXL,-3.8764,-3.8764
XLU,-0.2195,-0.5488
XLU,0.7714,1.9286
XLU,-0.2358,-0.5894
XLU,-0.3322,-0.8305
XLU,-0.71,-1.7749
XLU,0.2206,0.5516
XLU,-0.189,-0.4726
XLU,0.2496,0.6239
XLU,0.6263,1.5658
SOXL,-4.1213,-4.1213
SOXL,2.0871,2.0871
SOXL,3.0434,3.0434
SOXL,-0.4786,-0.4786
SOXL,0.424,0.424
SOXL,-4.7102,-4.7102
SOXL,-3.4089,-3.4089
SOXL,4.1284,4.1284
SOXL,1.0832,1.0832
SOXL,1.7787,1.7787
SOXL,3.0844,3.0844
SOXL,-5.0476,-5.0476
SOXL,1.5981,1.5981
SOXL,-5.4195,-5.4195
SOXL,3.911,3.911
SOXL,-0.0058,-0.0058
SOXL,0.1669,0.1669
SOXL,-2.2045,-2.2045
SOXL,-2.5022,-2.5022
SOXL,2.9268,2.9268
SOXL,1.9525,1.9525
SOXL,8.0446,8.0446
SOXL,-0.6535,-0.6535
SOXL,-0.3795,-0.3795
SOXL,-0.3832,-0.3832
SOXL,-1.408,-1.408
SOXL,-5.3573,-5.3573
SOXL,4.8381,4.8381
SOXL,5.986,5.986
SOXL,2.509,2.509
SOXL,0.3567,0.3567
XLU,-0.2323,-0.5808
XLU,-0.0878,-0.2194
SOXL,2.9744,2.9744
SOXL,1.4081,1.4081
SOXL,-0.2964,-0.2964
SOXL,3.1344,3.1344
SOXL,-0.1122,-0.1122
SOXL,1.7023,1.7023
SOXL,1.1608,1.1608
SOXL,-3.8678,-3.8678
SOXL,2.7697,2.7697
SOXL,7.1774,7.1774
SOXL,2.4522,2.4522
SOXL,3.4866,3.4866
SOXL,-5.5255,-5.5255
SOXL,-0.0648,-0.0648
SOXL,1.0388,1.0388
SOXL,4.6492,4.6492
SOXL,-0.4577,-0.4577
SOXL,5.1434,5.1434
SOXL,0.0128,0.0128
