R5b GAMMA LADDER -- OVERLAPPING STRADDLES, NETTED HEDGE BOOK
run: 2026-09-06 00:17
A new straddle every `step` trade days; one delta book across
all open rungs, rehedged daily at the close on REAL EOD deltas.
Overlapping rungs are NOT independent observations -- the
ladder removes entry-timing luck, it does not add statistical
power. Sample remains one path, 2024-01 -> 2026-06.

BASE CONFIG {'structure': 'straddle', 'dte': 60, 'dte_lo': 45, 'dte_hi': 90, 'step': 10, 'premium_budget': 15000.0, 'netted': True, 'costs': True, 'start_capital': 150000.0}

             config  days  rungs  end_equity     pnl  cagr_pct  max_dd_pct  sharpe  mean_rungs_open  mean_prem_at_risk  peak_prem_at_risk  pnl_pct_of_mean_prem  costs  hedges  opt_pnl  ann_vol_pct  beta_to_soxl qa_recon
       stra_t60_s10   627     53    204140.0 54140.0      13.2       -19.5    0.66              3.2            45591.0            73929.0                 118.8 4910.0     613 250701.0         22.5        -0.053     PASS
        stra_t60_s5   627     94    226353.0 76353.0      18.0       -30.6    0.61              5.7            82261.0           146765.0                  92.8 8162.0     623 587712.0         39.5        -0.080     PASS
       stra_t60_s20   627     28    191013.0 41013.0      10.2       -14.6    0.79              1.7            23946.0            44346.0                 171.3 2810.0     609 138122.0         13.5        -0.032     PASS
       stra_t60_s41   627     15    167791.0 17791.0       4.6        -7.4    0.57              0.9            13811.0            29814.0                 128.8 1663.0     577 149833.0          8.7        -0.016     PASS
       stra_t30_s10   627     62    200958.0 50958.0      12.5       -22.1    0.63              2.0            29166.0            44853.0                 174.7 6179.0     627  61480.0         22.8        -0.039     PASS
       stra_t90_s10   627     42    216663.0 66663.0      15.9       -16.1    0.74              4.0            57506.0           132442.0                 115.9 3805.0     595 107177.0         23.8        -0.067     PASS
stra_t60_s10_PERPOS   627     53    203397.0 53397.0      13.0       -19.5    0.66              3.2            45591.0            73929.0                 117.1 5654.0     613 250701.0         22.5        -0.053     PASS
 stra_t60_s10_GROSS   627     53    209051.0 59051.0      14.3       -18.6    0.71              3.2            45591.0            73929.0                 129.5    0.0     613 250701.0         22.2        -0.053     PASS
