R1 PUT DIAGONAL INCOME ENGINE -- BACKTEST REPORT
run: 2026-07-19 10:00
NOTE: EOD decisions (option data is EOD); Monday-10:00 spec needs intraday option data (already on the request list).

BASE CONFIG {'short_delta': 0.225, 'anchor_mness': 1.0, 'anchor_dte': 150, 'anchor_dte_lo': 120, 'anchor_dte_hi': 180, 'anchor_roll_dte': 45, 'anchor_roll_drift': 0.1, 'roll_up': True, 'short_ratio': 1.0, 'no_anchor': False, 'delta_defense': False, 'defense_trigger': 0.5, 'sizing': 'notional', 'invest_frac': 0.75, 'sweep_frac': 0.25, 'start_capital': 150000.0}

  config: d22%_m100%_t150_notional_r10%
  weeks: 131
  blown: False
  end_wealth: 52456.0
  total_ret_pct: -65.0
  cagr_pct: -34.1
  max_dd_pct: -65.1
  ann_vol_pct: 16.5
  worst_wk_pct: -7.2
  income_weeks: 71
  loss_weeks: 55
  short_prem_collected: 105370.0
  short_realized: -30028.0
  anchor_realized: -64810.0
  anchor_rolls: 61
  sweep_final: 35288.0
  commissions: 2707.0
  qa_wealth_recon: PASS

PARAMETER GRID (sorted by end wealth)
                                config  weeks  blown  end_wealth  total_ret_pct  cagr_pct  max_dd_pct  ann_vol_pct  worst_wk_pct  income_weeks  loss_weeks  short_prem_collected  short_realized  anchor_realized  anchor_rolls  sweep_final  commissions qa_wealth_recon
      d30%_m85%_t150_notional_r10%_def    131  False    58762.50          -60.8     -31.1       -61.2         14.0          -8.9            62          66              183037.0        -29404.0         -58419.0            63     34036.00       3415.0            PASS
      d15%_m85%_t150_notional_r10%_def    131  False    58471.55          -61.0     -31.2       -61.2         17.7          -9.1            76          54               82146.0        -19166.0         -68717.0            64     31626.50       3646.0            PASS
         d22%_m100%_t150_notional_r15%    131  False    58444.80          -61.0     -31.2       -61.1         17.2          -7.4            80          46              113503.0        -33264.0         -55894.0            42     35269.50       2397.0            PASS
     d25%_m100%_t150_notional_r10%_def    131  False    57731.20          -61.5     -31.5       -61.7         17.5          -6.9            67          59              138514.0        -14942.0         -74049.0            61     37935.55       3279.0            PASS
      d25%_m90%_t150_notional_r10%_def    131  False    57577.80          -61.6     -31.6       -61.6         15.1          -7.0            66          60              142602.0        -17018.0         -72089.0            62     34154.25       3315.0            PASS
          d30%_m85%_t150_notional_r10%    131  False    57390.35          -61.7     -31.7       -63.0         15.0          -8.5            69          57              150996.0        -39015.0         -50843.0            62     34071.10       2751.0            PASS
          d22%_m85%_t150_notional_r10%    131  False    56775.45          -62.1     -32.0       -62.9         14.7          -7.3            72          56              115642.0        -33001.0         -57299.0            63     32001.65       2924.0            PASS
   d22%_m90%_t150_notional_r30%_dnonly    131  False    56413.50          -62.4     -32.2       -64.9         27.5         -23.7            95          36              211724.0        -53030.0         -37885.0            12     46463.20       2672.0            PASS
      d20%_m90%_t150_notional_r10%_def    131  False    56051.80          -62.6     -32.3       -62.7         16.4          -8.8            72          54              100168.0        -16301.0         -74366.0            62     32233.15       3281.0            PASS
         d22%_m100%_t150_notional_r20%    131  False    55108.20          -63.3     -32.8       -63.4         18.6          -8.6            84          42              116579.0        -35916.0         -56784.0            30     33217.50       2192.0            PASS
