R2 HEDGE CAMPAIGN -- LEVERS ALONE AND COMBINED
run: 2026-07-19 17:27
sorted by MAR (CAGR / |maxDD|); base PMCC and benchmarks included

                       label  end_wealth  cagr_pct  maxDD_pct  MAR        dd_recovered  longest_underwater_wks  worst_wk_pct  crash25_pct  crash26_pct  pct_weeks_income  put_realized  soxs_realized  sweep_final qa_recon
              B_pw0.5x25d120   462127.25      56.3      -39.3 1.43          2025-06-23                      49         -18.8         16.1         -8.7              73.0      -53978.0            0.0    133754.25     PASS
               B_pw0.5x25d60   442757.60      53.7      -39.0 1.38          2025-06-23                      49         -19.4         11.0         -8.3              69.0      -49467.0            0.0    118608.85     PASS
               B_pw0.5x35d60   409841.40      49.0      -36.1 1.36          2025-06-23                      53         -18.9         13.0         -8.1              69.0      -69620.0            0.0    115743.90     PASS
                  G_repair55   522395.15      64.1      -47.4 1.35          2025-09-29                      63         -19.3         -3.0         -9.1              78.0           0.0            0.0    137212.25     PASS
               B_pw0.5x35d90   421252.30      50.7      -38.1 1.33          2025-06-23                      49         -18.7         16.5         -8.5              73.0      -75538.0            0.0    126683.20     PASS
             X_pw+tp3+repair   481736.30      58.9      -44.6 1.32          2025-09-29                      63         -18.9          3.0         -8.8              73.0      -38019.0            0.0    127321.30     PASS
                B_pw1x15d120   444671.05      53.9      -41.0 1.31          2025-06-23                      49         -18.3         16.9         -8.9              73.0      -64590.0            0.0    133112.50     PASS
              D_trend30@0.25   382734.95      45.0      -34.5 1.30          2025-09-15                      61         -11.6          8.1         -5.1              66.0           0.0            0.0    105066.49     PASS
                B_pw1x25d120   415152.25      49.8      -38.3 1.30          2025-06-16                      48         -18.0         21.9         -8.2              73.0      -89830.0            0.0    134041.90     PASS
              D_trend100@0.5   358478.90      41.3      -32.5 1.27          2025-09-29                      62         -12.4          3.2         -5.5              70.0           0.0            0.0     97200.34     PASS
                   E_dd15@.5   337530.05      38.0      -30.1 1.26          2025-09-29                      63         -11.7          3.4         -4.9              71.0           0.0            0.0     95840.35     PASS
                 X_pw+soxs10   378952.03      44.5      -35.7 1.25          2025-06-23                      48         -17.8         16.4         -9.5              47.0      -43673.0       -61978.0    108298.93     PASS
                B_pw1x35d120   368197.85      42.8      -34.2 1.25          2025-06-09                      47         -18.0         22.5         -8.5              73.0     -116010.0            0.0    125348.95     PASS
                 B_pw1x15d90   430882.45      52.0      -41.6 1.25          2025-06-23                      49         -18.9         16.7         -8.5              71.0      -65349.0            0.0    121412.05     PASS
                    I_soxs20   340271.70      38.4      -30.7 1.25          2025-06-16                      48         -16.4         11.3         -9.2              44.0           0.0      -111038.0    112940.59     PASS
                     BUYHOLD   763720.00      90.8      -75.2 1.21          2026-02-09                      82         -28.6        -28.4        -18.3               1.0           0.0            0.0         0.00     PASS
               D_trend30@0.5   379852.90      44.6      -36.9 1.21          2025-09-15                      61         -11.7          7.4         -5.1              67.0           0.0            0.0    105393.49     PASS
                 B_pw1x15d60   405648.75      48.4      -40.4 1.20          2025-06-30                      50         -19.0         11.7         -8.9              66.0      -68590.0            0.0    115894.50     PASS
                X_inv50+dd20   292370.10      30.3      -25.8 1.17          2025-09-15                      61          -7.3          1.8         -3.0              73.0           0.0            0.0     72025.89     PASS
                   E_dd20@.5   347423.55      39.6      -33.8 1.17          2025-10-13                      65         -11.4          3.2         -5.0              71.0           0.0            0.0     95599.44     PASS
                 B_pw1x25d90   392950.35      46.6      -39.8 1.17          2025-06-23                      49         -18.2         21.6         -7.7              72.0      -94060.0            0.0    129206.45     PASS
                 B_pw1x35d90   351592.65      40.2      -36.1 1.11          2025-06-16                      52         -17.9         22.8         -7.5              72.0     -117013.0            0.0    120975.95     PASS
                  E_dd20@.25   305969.30      32.7      -29.4 1.11          2026-01-05                      77         -11.4          1.5         -4.9              73.0           0.0            0.0     82367.07     PASS
                 B_pw1x25d60   351170.95      40.2      -38.2 1.05          2025-06-23                      53         -17.1         12.3         -8.3              68.0     -100591.0            0.0    118653.85     PASS
                 B_pw1x35d60   311653.70      33.7      -33.7 1.00          2025-06-16                      66         -17.0         15.8         -7.2              69.0     -119326.0            0.0    110048.65     PASS
                   E_dd30@.5   332682.20      37.2      -37.6 0.99          2025-10-20                      66         -12.0          2.3         -5.2              72.0           0.0            0.0     93880.70     PASS
                   E_dd10@.5   276981.80      27.6      -28.8 0.96          2025-10-20                      66         -12.5          3.4         -5.5              71.0           0.0            0.0     73442.77     PASS
               D_trend50@0.5   324075.80      35.8      -38.6 0.93          2025-10-13                      65         -12.3         -0.7         -5.4              66.0           0.0            0.0     86807.56     PASS
              D_trend50@0.25   312848.80      33.9      -36.6 0.93          2025-10-20                      66         -10.7         -3.9         -3.9              66.0           0.0            0.0     85313.31     PASS
                   X_pw+dd20   283258.05      28.7      -32.9 0.87          2025-10-20                      66         -10.7          6.4         -3.5              69.0      -35299.0            0.0     83533.04     PASS

QA reconciliation failures: 0 of 68
