instrument,wk_mean,ann_drift,ann_vol,skew,kurt,otm_pct,prem_pct,p_assign,cap_pct,edge_pct,edge_ann,iv_req,vrp_req
SOXL  3x semis,0.014414498694287037,0.749553932102926,1.0608268207454012,0.10812558950607778,0.41743629845551444,0.1441154260283095,0.015342885906100995,0.17647058823529413,0.015671553541571383,-0.00032866763547038767,-0.01709071704446016,1.0692646949462399,+0.8pp
SOXS  -3x semis,-0.018824205356681105,-0.9788586785474175,1.06006373104796,0.43116179646153063,1.413926151456458,0.14399573099055218,0.015332579918241364,0.1092436974789916,0.012458682767481933,0.0028738971507594325,0.1494426518394905,0.9836198835734026,-7.6pp
FAS   3x financials,0.0041672678748081084,0.21669792949002165,0.5691766450373116,-0.1335574658400403,1.3002099996375351,0.07201996654638676,0.00849196270101885,0.15966386554621848,0.007995536152610111,0.0004964265484087372,0.025814180517254332,0.5562747372757568,-1.3pp
semis index (SOXL/3),0.00480483289809568,0.24985131070097533,0.3536089402484671,0.10812558950607756,0.4174362984555131,0.04338752976134952,0.005349436554832074,0.19747899159663865,0.006078151088929391,-0.0007287145340973167,-0.03789315577306047,0.3720326092411143,+1.8pp
financials (FAS/3),0.001389089291602702,0.07223264316334051,0.1897255483457705,-0.13355746584004025,1.3002099996375343,0.02274412761619793,0.0029009092414154125,0.16806722689075632,0.002870134953857418,3.0774287557994716e-05,0.0016002629530157252,0.18893166432918332,-0.1pp
SOXL full 6y,0.014838734814664873,0.7716142103625734,1.0704788870755226,-0.7023253452964541,5.439130773236435,0.14563159736211606,0.015473157523296947,0.14968152866242038,0.01387411406643098,0.0015990434568659672,0.08315025975703029,1.0285886542307119,-4.2pp
semis index full 6y,0.0049462449382216235,0.2572047367875244,0.3568262956918408,-0.7023253452964537,5.439130773236435,0.043802339602410534,0.005396985726100851,0.17834394904458598,0.005410806201839634,-1.3820475738782756e-05,-0.0007186647384167033,0.3571821428035946,+0.0pp
