instrument,income_wk,breakeven_vrp,VRP-2pp,VRP+0pp,VRP+2pp,VRP+4pp
FAS  3x financials,0.012708746633526892,-0.013617109470229427,-0.015766321342996603,0.03386438169651924,0.08412860723256599,0.1349630125592138
XLU  utilities,0.004567181641089419,0.00926185723318057,-0.07310955816908302,-0.02353803100712693,0.027662554072352956,0.08006351390206821
SPY  S&P 500,0.00410859161107787,0.012179481318095958,-0.07999122039334751,-0.03086157921090846,0.02011492310694861,0.07241768404407918
SOXL 3x semis,0.02376627285725885,0.07903078504366023,-0.25030596669954297,-0.2004314103625227,-0.15019588448111865,-0.09961883924749805
