instrument,ann_drift,ann_vol,skew,kurt,best_delta,best_otm,best_prem_wk,best_edge_ann,p_assign,prem_ann
FAS    3x financials,0.21669792949002165,0.5691766450373116,-0.1335574658400403,1.3002099996375351,0.3,0.04551152830127658,0.014424569209494642,0.05803912022186284,0.27310924369747897,0.7500775988937214
XLU    3x synthetic,0.18428323727152884,0.5162425337026405,-0.23042259627924636,1.2613062233354464,0.3,0.04091941150127543,0.013132190668551934,0.039566563085650694,0.2835249042145594,0.6828739147647006
SOXL   3x semis,0.749553932102926,1.0608268207454012,0.10812558950607778,0.41743629845551444,0.05,0.2876198955079392,0.00291253954053996,0.01928737865257331,0.046218487394957986,0.1514520561080779
fin    1x (FAS/3),0.07223264316334051,0.1897255483457705,-0.13355746584004025,1.3002099996375343,0.3,0.014243683701828713,0.00494028453423283,0.012891042690245613,0.2815126050420168,0.25689479578010715
XLU    utilities,0.06142774575717627,0.17208084456754683,-0.23042259627924622,1.2613062233354482,0.3,0.012880919486456976,0.0044865435454926935,0.007163447049118976,0.3065134099616858,0.23330026436562007
SPY    S&P 500,0.12359085510259213,0.16293018785473523,-0.1237651829802639,1.22030585867705,0.25,0.015615579641997668,0.0033322834122973786,-0.007596099921694667,0.25572519083969464,0.1732787374394637
SPY    2x synthetic,0.24718171020518426,0.32586037570947046,-0.1237651829802639,1.22030585867705,0.25,0.03200171291570153,0.00659053041932502,-0.009081798799702279,0.24045801526717558,0.342707581804901
semis  1x (SOXL/3),0.24985131070097533,0.3536089402484671,0.10812558950607756,0.4174362984555131,0.05,0.08530445978487045,0.0010060365533913805,-0.02327041751314286,0.058823529411764705,0.052313900776351785
