wk,S,C,K,rv,otm,ret,payout,assigned
2022-04-08,38.48,38.045,39.0,0.15949725211590599,0.013513513513513598,-0.011304573804573725,0.0,False
2022-04-15,38.045,37.125,38.5,0.15783425649953065,0.011959521619135272,-0.02418188986726255,0.0,False
2022-04-22,37.125,35.63,37.5,0.16762894770318507,0.010101010101010166,-0.04026936026936023,0.0,False
2022-04-29,35.63,36.105,36.0,0.18872090287185556,0.010384507437552593,0.013331462250911974,0.0029469548133594405,True
2022-05-06,36.105,35.715,36.5,0.1895413399399711,0.010940312976042144,-0.010801828001661629,0.0,False
2022-05-13,35.715,35.87,36.0,0.1845449315927327,0.007979840403191885,0.004339913201735879,0.0,False
2022-05-20,35.87,37.685,36.5,0.18076251994330406,0.017563423473655027,0.05059938667410102,0.03303596320044612,True
2022-05-27,37.685,37.175,38.5,0.19988965767269365,0.02162664189996022,-0.013533236035558005,0.0,False
2022-06-03,37.175,35.67,37.5,0.1838691604459018,0.008742434431741941,-0.04048419636852707,0.0,False
2022-06-10,35.67,32.435,36.0,0.2037455036615658,0.00925147182506314,-0.09069245864872444,0.0,False
2022-06-17,32.435,34.505,33.0,0.274006454228242,0.017419454293201797,0.06381994758748277,0.04640049329428095,True
2022-06-24,34.505,35.925,35.5,0.3013739552342431,0.028836400521663474,0.0411534560208664,0.012317055499202931,True
2022-07-01,35.925,34.91,37.0,0.3036691892485472,0.029923451635351483,-0.02825330549756444,0.0,False
2022-07-08,34.91,34.88,35.5,0.3034324478804216,0.016900601546834926,-0.0008593526210253222,0.0,False
2022-07-15,34.88,34.715,35.5,0.30345526467539324,0.017775229357798183,-0.004730504587155959,0.0,False
2022-07-22,34.715,36.975,35.5,0.3008410271934677,0.022612703442315807,0.06510154112055311,0.04248883767823711,True
2022-07-29,36.975,37.115,38.0,0.31953624918250945,0.02772143340094657,0.0037863421230561745,0.0,False
2022-08-05,37.115,38.36,38.0,0.31886794102472993,0.02384480668193456,0.033544389061026525,0.009699582379091996,True
2022-08-12,38.36,38.85,39.5,0.32283962686542234,0.029718456725756015,0.01277372262773735,0.0,False
2022-08-19,38.85,37.855,40.0,0.32304184741295816,0.029601029601029616,-0.02561132561132573,0.0,False
2022-08-26,37.855,37.3,39.0,0.3144097947608059,0.03024699511293094,-0.014661207238145568,0.0,False
2022-09-02,37.3,38.69,38.0,0.3146473404345167,0.018766756032171594,0.03726541554959795,0.018498659517426214,True
2022-09-09,38.69,37.235,39.5,0.3084345168189796,0.020935642284828138,-0.03760661669682086,0.0,False
2022-09-16,37.235,35.88,38.0,0.24779078476016272,0.020545185980932024,-0.0363904928158989,0.0,False
2022-09-23,35.88,32.755,36.5,0.23638329621416437,0.01727982162764774,-0.08709587513935335,0.0,False
2022-09-30,32.755,31.88,33.5,0.2825209012512431,0.022744619142115674,-0.026713478858189643,0.0,False
2022-10-07,31.88,31.075,32.5,0.2820202704443637,0.019447929736511993,-0.025250941028858165,0.0,False
2022-10-14,31.075,31.655,31.5,0.28421213320531097,0.013676588897827857,0.01866452131938856,0.004987932421560777,True
2022-10-21,31.655,33.705,32.5,0.28922922044189947,0.026694045174537884,0.0647607013110092,0.038066656136471276,True
2022-10-28,33.705,33.545,34.5,0.28886506125201183,0.023587004895416097,-0.0047470701676307625,0.0,False
2022-11-04,33.545,34.04,34.5,0.2880707214865659,0.028469220450141552,0.014756297510806204,0.0,False
2022-11-11,34.04,34.425,35.0,0.278915770707167,0.02820211515863691,0.011310223266745023,0.0,False
2022-11-18,34.425,35.47,35.0,0.27844815275066376,0.016702977487291326,0.030355846042120493,0.013652868554829308,True
2022-11-25,35.47,35.515,36.0,0.28599551116496363,0.014942204680011395,0.001268677755850156,0.0,False
2022-12-02,35.515,35.415,36.5,0.28525814077293077,0.027734759960579947,-0.002815711671124932,0.0,False
2022-12-09,35.415,35.24,36.0,0.27166138571324155,0.016518424396442244,-0.004941409007482633,0.0,False
2022-12-16,35.24,35.455,36.0,0.2629694611420586,0.02156640181611791,0.006101021566401688,0.0,False
2022-12-23,35.455,35.25,36.0,0.2535758845715704,0.01537159780002817,-0.005781977154138973,0.0,False
2022-12-30,35.25,35.5,35.5,0.17206377703443004,0.007092198581560183,0.007092198581560183,0.0,False
2023-01-06,35.5,35.665,36.0,0.15689502287797633,0.014084507042253502,0.004647887323943722,0.0,False
2023-01-13,35.665,34.615,36.0,0.13943000975612946,0.009392962287957385,-0.029440628066731978,0.0,False
2023-01-20,34.615,34.445,35.0,0.1594585810494098,0.011122345803842304,-0.00491116567961869,0.0,False
2023-01-27,34.445,33.955,34.5,0.10019592923586629,0.0015967484395413845,-0.014225577006822476,0.0,False
2023-02-03,33.955,33.855,34.0,0.10456203398160281,0.001325283463407434,-0.002945074363127742,0.0,False
2023-02-10,33.855,34.24,34.0,0.10040467651256857,0.004282971496086363,0.011372027765470527,0.007089056269384198,True
2023-02-17,34.24,33.305,34.5,0.1004357960318394,0.007593457943925186,-0.027307242990654235,0.0,False
2023-02-24,33.305,33.125,33.5,0.08974890314857456,0.005854976730220729,-0.005404593904819066,0.0,False
2023-03-03,33.125,32.21,33.5,0.08879355893562808,0.01132075471698113,-0.027622641509433943,0.0,False
2023-03-10,32.21,33.485,32.5,0.09908251341634006,0.009003415088481903,0.039583980130394325,0.030580565041912432,True
2023-03-17,33.485,32.845,34.0,0.1364259312427918,0.015380020904882885,-0.01911303568762135,0.0,False
2023-03-24,32.845,33.845,33.0,0.13784347405477163,0.004719135332623026,0.03044603440401894,0.025726899071395918,True
2023-03-31,33.845,34.905,34.0,0.15564026878468323,0.00457970158073584,0.031319249519869974,0.026739547939134325,True
2023-04-07,34.905,34.445,35.5,0.16932748625974153,0.017046268442916457,-0.013178627703767432,0.0,False
2023-04-14,34.445,34.81,35.0,0.17047937605585012,0.016112643344462274,0.010596603280592198,0.0,False
2023-04-21,34.81,34.49,35.0,0.16154997505139215,0.005458201666187712,-0.009192760700947988,0.0,False
2023-04-28,34.49,34.515,35.0,0.16241471063754342,0.014786894752101931,0.0007248477819656873,0.0,False
