instrument,actual,no_drift,skew_flipped,gaussian,drift_cost,skew_cost
SOXL   3x semis,-0.01709071704446016,0.10342738770346882,0.056748035603505234,0.00306385273032328,-0.12051810474792898,-0.0738387526479654
FAS    3x financials,0.025814180517254332,0.05877249788978267,0.011636301821852033,-0.0021551823684774485,-0.03295831737252834,0.0141778786954023
semis  1x (SOXL/3),-0.03789315577306047,0.007922822209113738,-0.014863552528561702,-0.03560474924045963,-0.045815977982174204,-0.023029603244498764
fin    1x (FAS/3),0.0016002629530157252,0.013293666252593308,-0.0051910135822611945,-0.010297106613196248,-0.011693403299577583,0.00679127653527692
SPY    S&P 500,-0.01007614092642607,0.009037139582876717,-0.01932325326806811,-0.022779887510166585,-0.019113280509302787,0.009247112341642041
XLU    utilities,0.003793417832973711,0.014268338514616948,-0.003723376896622972,-0.00888778048663119,-0.010474920681643237,0.007516794729596684
SPY    2x synthetic,-0.015228095416919007,0.022356011519726247,-0.03149834657780767,-0.03780852652231581,-0.037584106936645253,0.016270251160888666
XLU    3x synthetic,0.0298310820253882,0.0600856460856131,0.012286349519924,-0.003204990889208488,-0.0302545640602249,0.0175447325054642
