entry_date,exit_date,entry,exit,tdays,ret
2020-07-16,2020-07-16,13.18,13.3118,0,0.010000000000000009
2020-07-16,2020-07-16,13.374,13.50774,0,0.010000000000000009
2020-07-16,2020-07-16,13.478666666666667,13.613453333333334,0,0.010000000000000009
2020-07-16,2020-07-16,13.594666666666665,13.730613333333332,0,0.010000000000000009
2020-07-16,2020-07-17,13.75,13.8875,1,0.010000000000000009
2020-07-17,2020-07-17,13.833333333333334,13.971666666666668,0,0.010000000000000009
2020-07-17,2020-07-20,13.952666666666666,14.092193333333332,1,0.010000000000000009
2020-07-20,2020-07-20,14.1,14.241,0,0.010000000000000009
2020-07-20,2020-07-20,14.261333333333333,14.403946666666666,0,0.010000000000000009
2020-07-20,2020-07-20,14.416,14.56016,0,0.010000000000000009
2020-07-20,2020-07-20,14.560666666666666,14.706273333333334,0,0.010000000000000009
2020-07-20,2020-07-21,14.715333333333332,14.957333333333334,1,0.0164454310696327
2020-07-21,2020-07-30,14.92,15.0692,7,0.010000000000000009
2020-07-30,2020-07-30,15.08,15.2308,0,0.010000000000000009
2020-07-30,2020-07-31,15.237333333333334,15.493333333333334,1,0.016800840042002108
2020-07-31,2020-08-03,15.184666666666667,15.390666666666668,1,0.013566316898625974
2020-08-03,2020-08-03,15.610000000000001,15.766100000000002,0,0.010000000000000009
2020-08-03,2020-08-03,15.866000000000001,16.02466,0,0.010000000000000009
2020-08-03,2020-08-04,16.049333333333333,16.209826666666668,1,0.010000000000000009
2020-08-04,2020-08-04,16.21333333333333,16.375466666666664,0,0.010000000000000009
2020-08-04,2020-08-04,16.352,16.516000000000002,0,0.010029354207436558
2020-08-04,2020-08-04,16.528,16.693279999999998,0,0.010000000000000009
2020-08-04,2020-08-12,16.710666666666665,16.87777333333333,6,0.010000000000000009
2020-08-12,2020-08-12,16.877333333333333,17.046106666666667,0,0.010000000000000009
2020-08-12,2020-08-17,17.072,17.24272,3,0.010000000000000009
2020-08-17,2020-08-26,17.246,17.504,7,0.014959990722486438
2020-08-26,2020-08-26,17.333333333333332,17.506666666666664,0,0.010000000000000009
2020-08-26,2020-08-26,17.533333333333335,17.70866666666667,0,0.010000000000000009
2020-08-26,2020-08-31,17.717333333333332,17.894506666666665,3,0.010000000000000009
2020-08-31,2020-08-31,17.834,18.01234,0,0.010000000000000009
2020-08-31,2020-09-01,18.017999999999997,18.198179999999997,1,0.010000000000000009
2020-09-01,2020-09-01,17.974,18.15374,0,0.010000000000000009
2020-09-01,2020-09-01,18.245333333333335,18.42778666666667,0,0.010000000000000009
2020-09-01,2020-09-01,18.430666666666664,18.61497333333333,0,0.010000000000000009
2020-09-01,2020-09-02,18.647333333333332,19.628,1,0.052590182689213893
2020-09-02,2020-09-02,19.825333333333333,20.023586666666667,0,0.010000000000000009
2020-09-02,2020-09-02,20.004666666666665,20.20471333333333,0,0.010000000000000009
2020-09-02,2020-09-02,20.208000000000002,20.41008,0,0.010000000000000009
2020-09-02,2020-09-02,20.40266666666667,20.606693333333336,0,0.010000000000000009
2020-09-02,2020-10-12,20.666666666666668,21.089333333333332,27,0.020451612903225724
2020-10-12,2020-10-12,21.052666666666667,21.263193333333334,0,0.010000000000000009
2020-10-12,2020-10-12,21.244000000000003,21.456440000000004,0,0.010000000000000009
2020-10-12,2020-10-13,21.448,21.662480000000002,1,0.010000000000000009
2020-10-13,2020-11-05,21.658666666666665,21.875253333333333,17,0.010000000000000009
2020-11-05,2020-11-05,21.96466666666667,22.184313333333336,0,0.010000000000000009
2020-11-05,2020-11-05,22.191333333333333,22.413246666666666,0,0.010000000000000009
2020-11-05,2020-11-06,22.45266666666667,22.677193333333335,1,0.010000000000000009
2020-11-06,2020-11-06,22.78533333333333,23.013186666666662,0,0.010000000000000009
2020-11-06,2020-11-06,23.012666666666668,23.242793333333335,0,0.010000000000000009
2020-11-06,2020-11-06,23.299333333333333,23.532326666666666,0,0.010000000000000009
2020-11-06,2020-11-09,23.514,24.936,1,0.06047461087011996
2020-11-09,2020-11-09,24.83,25.0783,0,0.010000000000000009
2020-11-09,2020-11-09,25.333333333333332,25.586666666666666,0,0.010000000000000009
2020-11-09,2020-11-25,25.5,25.755,12,0.010000000000000009
2020-11-25,2020-11-27,25.85,26.108500000000003,1,0.010000000000000009
2020-11-27,2020-11-27,26.176666666666666,26.438433333333332,0,0.010000000000000009
2020-11-27,2020-11-30,26.450666666666667,26.715173333333333,1,0.010000000000000009
2020-11-30,2020-11-30,26.708000000000002,26.975080000000002,0,0.010000000000000009
2020-11-30,2020-12-01,27.003333333333334,27.746,1,0.027502777434884607
2020-12-01,2020-12-01,27.872666666666664,28.15139333333333,0,0.010000000000000009
2020-12-01,2020-12-01,28.300666666666665,28.58367333333333,0,0.010000000000000009
2020-12-01,2020-12-01,28.555999999999997,28.841559999999998,0,0.010000000000000009
2020-12-01,2020-12-03,28.814666666666668,29.220000000000002,2,0.014066910369719077
2020-12-03,2020-12-03,29.252,29.54452,0,0.010000000000000009
2020-12-03,2020-12-04,29.55666666666667,29.852233333333334,1,0.010000000000000009
2020-12-04,2020-12-04,29.874666666666666,30.173413333333333,0,0.010000000000000009
2020-12-04,2020-12-04,30.332,30.63532,0,0.010000000000000009
2020-12-04,2020-12-04,30.612666666666666,30.918793333333333,0,0.010000000000000009
2020-12-04,2020-12-07,30.904666666666667,31.333333333333332,1,0.013870612852427744
2020-12-07,2020-12-07,31.333333333333332,31.646666666666665,0,0.010000000000000009
2020-12-07,2020-12-07,30.882,31.190820000000002,0,0.010000000000000009
2020-12-07,2020-12-07,31.273333333333333,31.586066666666667,0,0.010000000000000009
2020-12-07,2020-12-08,31.582,31.89782,1,0.010000000000000009
2020-12-08,2020-12-08,31.908,32.22708,0,0.010000000000000009
2020-12-08,2021-01-04,32.266,32.58866,17,0.010000000000000009
2021-01-04,2021-01-04,32.94266666666667,33.27209333333334,0,0.010000000000000009
2021-01-04,2021-01-06,33.333333333333336,33.66666666666667,2,0.010000000000000009
2021-01-06,2021-01-06,33.562666666666665,33.898293333333335,0,0.010000000000000009
2021-01-06,2021-01-07,33.824,34.16224,1,0.010000000000000009
