final_equity,total_ret_pct,cagr_pct,max_dd_pct,avg_deployed_pct,wins,stalls,soxs_pnl,target,stall,mode,sizing
252396.0,68.3,12.3,-91.4,100.0,943,76,0.0,1.25,7,stop,full
289582.0,93.1,15.8,-72.2,64.6,943,76,-47973.0,1.25,7,soxs_recover,half_cash
453956.0,202.6,28.0,-63.4,64.5,943,76,-81973.0,1.25,7,soxs_fixed5,half_cash
151944.0,1.3,0.3,-59.6,72.6,931,74,-155100.0,1.25,7,soxs_lot,half_cash
451128.0,200.8,27.8,-87.5,88.4,1715,469,0.0,1.5,1,none,half_cash
351934.0,134.6,20.9,-90.8,100.0,1715,469,0.0,1.5,1,stop,full
177586.0,18.4,3.8,-79.8,88.1,1611,435,-97971.0,1.5,1,soxs_recover,half_cash
322989.0,115.3,18.6,-76.4,88.8,1664,452,-144185.0,1.5,1,soxs_fixed5,half_cash
184462.0,23.0,4.7,-48.2,91.5,1306,309,-340600.0,1.5,1,soxs_lot,half_cash
425852.0,183.9,26.1,-83.2,81.7,1346,250,0.0,1.5,2,none,half_cash
349084.0,132.7,20.7,-91.1,100.0,1346,250,0.0,1.5,2,stop,full
215486.0,43.7,8.4,-77.0,81.8,1341,248,-102025.0,1.5,2,soxs_recover,half_cash
342487.0,128.3,20.2,-73.1,82.0,1352,249,-124557.0,1.5,2,soxs_fixed5,half_cash
68580.0,-54.3,-16.0,-70.5,87.4,1158,216,-149233.0,1.5,2,soxs_lot,half_cash
424774.0,183.2,26.1,-80.9,77.3,1143,170,0.0,1.5,3,none,half_cash
375464.0,150.3,22.7,-90.2,100.0,1143,170,0.0,1.5,3,stop,full
156831.0,4.6,1.0,-82.5,77.4,1128,168,-70061.0,1.5,3,soxs_recover,half_cash
275770.0,83.8,14.5,-68.8,77.4,1143,170,-75832.0,1.5,3,soxs_fixed5,half_cash
63552.0,-57.6,-17.4,-74.6,84.6,1041,162,-122706.0,1.5,3,soxs_lot,half_cash
620540.0,313.7,37.2,-79.2,72.2,1088,125,0.0,1.5,4,none,half_cash
294642.0,96.4,16.2,-90.9,100.0,1088,125,0.0,1.5,4,stop,full
207167.0,38.1,7.5,-75.9,71.9,1081,125,-105231.0,1.5,4,soxs_recover,half_cash
370039.0,146.7,22.3,-63.4,73.6,1088,125,-169889.0,1.5,4,soxs_fixed5,half_cash
85644.0,-42.9,-11.7,-66.1,80.0,1042,118,-180153.0,1.5,4,soxs_lot,half_cash
465592.0,210.4,28.7,-77.1,69.2,969,98,0.0,1.5,5,none,half_cash
323945.0,116.0,18.7,-91.0,100.0,969,98,0.0,1.5,5,stop,full
122477.0,-18.3,-4.4,-80.0,69.5,969,98,-77697.0,1.5,5,soxs_recover,half_cash
329399.0,119.6,19.1,-64.7,70.2,969,98,-138975.0,1.5,5,soxs_fixed5,half_cash
144023.0,-4.0,-0.9,-53.8,76.8,952,97,-172899.0,1.5,5,soxs_lot,half_cash
327550.0,118.4,19.0,-79.8,65.5,817,80,0.0,1.5,7,none,half_cash
271031.0,80.7,14.1,-91.7,100.0,817,80,0.0,1.5,7,stop,full
283493.0,89.0,15.2,-70.6,65.6,817,80,-45983.0,1.5,7,soxs_recover,half_cash
490936.0,227.3,30.2,-61.4,64.7,817,80,-93226.0,1.5,7,soxs_fixed5,half_cash
215910.0,43.9,8.4,-55.2,72.4,809,79,-178878.0,1.5,7,soxs_lot,half_cash
436232.0,190.8,26.8,-87.2,88.7,1506,484,0.0,1.7500000000000002,1,none,half_cash
380730.0,153.8,23.0,-89.2,100.0,1506,484,0.0,1.7500000000000002,1,stop,full
177529.0,18.4,3.8,-80.2,88.3,1389,455,-96454.0,1.7500000000000002,1,soxs_recover,half_cash
346131.0,130.8,20.5,-74.4,89.1,1449,463,-155608.0,1.7500000000000002,1,soxs_fixed5,half_cash
157516.0,5.0,1.1,-48.5,91.5,988,280,-281286.0,1.7500000000000002,1,soxs_lot,half_cash
380706.0,153.8,23.0,-83.1,82.0,1172,256,0.0,1.7500000000000002,2,none,half_cash
306308.0,104.2,17.2,-91.1,100.0,1172,256,0.0,1.7500000000000002,2,stop,full
174348.0,16.2,3.4,-79.7,82.0,1159,252,-90355.0,1.7500000000000002,2,soxs_recover,half_cash
302397.0,101.6,16.9,-74.1,82.0,1170,252,-110894.0,1.7500000000000002,2,soxs_fixed5,half_cash
85316.0,-43.1,-11.8,-62.1,87.4,914,200,-167749.0,1.7500000000000002,2,soxs_lot,half_cash
437280.0,191.5,26.9,-81.4,77.1,995,169,0.0,1.7500000000000002,3,none,half_cash
302375.0,101.6,16.9,-90.2,100.0,995,169,0.0,1.7500000000000002,3,stop,full
181234.0,20.8,4.3,-79.4,77.0,985,169,-75220.0,1.7500000000000002,3,soxs_recover,half_cash
275539.0,83.7,14.5,-71.3,77.0,994,169,-72188.0,1.7500000000000002,3,soxs_fixed5,half_cash
81737.0,-45.5,-12.6,-64.6,84.4,891,156,-153248.0,1.7500000000000002,3,soxs_lot,half_cash
546362.0,264.2,33.3,-78.8,72.3,931,124,0.0,1.7500000000000002,4,none,half_cash
269264.0,79.5,13.9,-90.4,100.0,931,124,0.0,1.7500000000000002,4,stop,full
