tdays,cum_frac
0,0.6519823788546255
1,0.8722466960352422
2,0.9030837004405285
3,0.9162995594713655
5,0.9295154185022025
6,0.9339207048458149
7,0.9427312775330395
9,0.9471365638766519
11,0.9515418502202643
12,0.9603524229074889
16,0.9647577092511013
17,0.9735682819383259
18,0.9779735682819383
23,0.9823788546255506
27,0.986784140969163
32,0.9911894273127754
118,0.9955947136563877
1069,1.0
