variant,total_pnl,cycle_wins,cycle_win_pnl,stalls,hedged_lot_pnl,put_spend,put_pnl,max_open_hedged,avg_open_hedged,max_capital,max_dd_$,ret_on_max_cap,final_liq_pnl,params,target,stall,mode
t1.5_s10_stop,10914.0,690,62424.0,54,-39465.0,0.0,0.0,0,0.0,30089.0,-11986.0,36.3,-12045.0,"{'target': 0.015, 'stall_days': 10, 'mode': 'stop'}",1.5,10,stop
t1.5_s10_put_30d,5605.0,690,62424.0,54,-44774.0,21175.0,-15596.0,3,1.0,60178.0,-20742.0,9.3,-12045.0,"{'target': 0.015, 'stall_days': 10, 'mode': 'put'}",1.5,10,put_30d
t1.5_s10_cc_otm30,9695.0,690,62424.0,54,-40684.0,0.0,20071.0,3,1.0,60178.0,-14577.0,16.1,-12045.0,"{'target': 0.015, 'stall_days': 10, 'mode': 'cc'}",1.5,10,cc_otm30
t1.5_s10_cc_itm10_7d,11943.0,690,62424.0,54,-38436.0,0.0,21147.0,1,0.31,60178.0,-11525.0,19.8,-12045.0,"{'target': 0.015, 'stall_days': 10, 'mode': 'cc', 'otm_pct': -0.1, 'dte_target': 7}",1.5,10,cc_itm10_7d
t2_s3_none,49292.0,874,96302.0,174,-38112.0,0.0,0.0,6,3.16,90300.0,-32314.0,54.6,-8898.0,"{'target': 0.02, 'stall_days': 3, 'mode': 'none'}",2.0,3,none
t2_s3_stop,11491.0,874,96302.0,174,-75913.0,0.0,0.0,0,0.0,30089.0,-12075.0,38.2,-8898.0,"{'target': 0.02, 'stall_days': 3, 'mode': 'stop'}",2.0,3,stop
t2_s3_put_30d,32737.0,878,96376.0,173,-54741.0,69523.0,-58273.0,6,3.24,90300.0,-29179.0,36.3,-8898.0,"{'target': 0.02, 'stall_days': 3, 'mode': 'put'}",2.0,3,put_30d
t2_s3_cc_otm30,22547.0,874,96302.0,174,-64857.0,0.0,62691.0,6,3.25,90300.0,-16004.0,25.0,-8898.0,"{'target': 0.02, 'stall_days': 3, 'mode': 'cc'}",2.0,3,cc_otm30
t2_s3_cc_itm10_7d,7691.0,874,96302.0,174,-79713.0,0.0,66728.0,3,1.05,54566.0,-15398.0,14.1,-8898.0,"{'target': 0.02, 'stall_days': 3, 'mode': 'cc', 'otm_pct': -0.1, 'dte_target': 7}",2.0,3,cc_itm10_7d
t2_s5_none,38135.0,730,88401.0,100,-41368.0,0.0,0.0,4,1.81,81849.0,-30322.0,46.6,-8898.0,"{'target': 0.02, 'stall_days': 5, 'mode': 'none'}",2.0,5,none
t2_s5_stop,10664.0,730,88401.0,100,-68839.0,0.0,0.0,0,0.0,30089.0,-12788.0,35.4,-8898.0,"{'target': 0.02, 'stall_days': 5, 'mode': 'stop'}",2.0,5,stop
t2_s5_put_30d,29556.0,730,88401.0,100,-49947.0,42736.0,-34019.0,4,1.85,81849.0,-27412.0,36.1,-8898.0,"{'target': 0.02, 'stall_days': 5, 'mode': 'put'}",2.0,5,put_30d
t2_s5_cc_otm30,22293.0,730,88401.0,100,-57210.0,0.0,37877.0,4,1.85,81849.0,-13177.0,27.2,-8898.0,"{'target': 0.02, 'stall_days': 5, 'mode': 'cc'}",2.0,5,cc_otm30
t2_s5_cc_itm10_7d,7629.0,730,88401.0,100,-71874.0,0.0,40176.0,2,0.59,54566.0,-14616.0,14.0,-8898.0,"{'target': 0.02, 'stall_days': 5, 'mode': 'cc', 'otm_pct': -0.1, 'dte_target': 7}",2.0,5,cc_itm10_7d
t2_s10_none,3371.0,516,60379.0,54,-45412.0,0.0,0.0,3,0.98,60178.0,-23972.0,5.6,-11596.0,"{'target': 0.02, 'stall_days': 10, 'mode': 'none'}",2.0,10,none
t2_s10_stop,10246.0,516,60379.0,54,-38537.0,0.0,0.0,0,0.0,30089.0,-11986.0,34.1,-11596.0,"{'target': 0.02, 'stall_days': 10, 'mode': 'stop'}",2.0,10,stop
t2_s10_put_30d,4645.0,516,60379.0,54,-44138.0,21106.0,-15528.0,3,1.0,60178.0,-20742.0,7.7,-11596.0,"{'target': 0.02, 'stall_days': 10, 'mode': 'put'}",2.0,10,put_30d
t2_s10_cc_otm30,8517.0,516,60379.0,54,-40266.0,0.0,20185.0,3,1.0,60178.0,-14577.0,14.2,-11596.0,"{'target': 0.02, 'stall_days': 10, 'mode': 'cc'}",2.0,10,cc_otm30
t2_s10_cc_itm10_7d,11106.0,516,60379.0,54,-37677.0,0.0,21170.0,1,0.31,60178.0,-11525.0,18.5,-11596.0,"{'target': 0.02, 'stall_days': 10, 'mode': 'cc', 'otm_pct': -0.1, 'dte_target': 7}",2.0,10,cc_itm10_7d
t2.5_s3_none,50533.0,725,94625.0,184,-35505.0,0.0,0.0,6,3.34,112005.0,-42646.0,45.1,-8587.0,"{'target': 0.025, 'stall_days': 3, 'mode': 'none'}",2.5,3,none
t2.5_s3_stop,10287.0,725,94625.0,184,-75751.0,0.0,0.0,0,0.0,30089.0,-12036.0,34.2,-8587.0,"{'target': 0.025, 'stall_days': 3, 'mode': 'stop'}",2.5,3,stop
t2.5_s3_put_30d,29578.0,728,94668.0,183,-56503.0,76051.0,-64801.0,6,3.42,112005.0,-35636.0,26.4,-8587.0,"{'target': 0.025, 'stall_days': 3, 'mode': 'put'}",2.5,3,put_30d
t2.5_s3_cc_otm30,22305.0,725,94625.0,184,-63733.0,0.0,68553.0,6,3.44,112005.0,-19351.0,19.9,-8587.0,"{'target': 0.025, 'stall_days': 3, 'mode': 'cc'}",2.5,3,cc_otm30
t2.5_s3_cc_itm10_7d,8547.0,725,94625.0,184,-77491.0,0.0,72623.0,3,1.11,67203.0,-15359.0,12.7,-8587.0,"{'target': 0.025, 'stall_days': 3, 'mode': 'cc', 'otm_pct': -0.1, 'dte_target': 7}",2.5,3,cc_itm10_7d
t2.5_s5_none,32818.0,602,86494.0,103,-44731.0,0.0,0.0,4,1.87,81849.0,-30398.0,40.1,-8945.0,"{'target': 0.025, 'stall_days': 5, 'mode': 'none'}",2.5,5,none
t2.5_s5_stop,9171.0,602,86494.0,103,-68378.0,0.0,0.0,0,0.0,30089.0,-12864.0,30.5,-8945.0,"{'target': 0.025, 'stall_days': 5, 'mode': 'stop'}",2.5,5,stop
t2.5_s5_put_30d,23384.0,602,86494.0,103,-54165.0,42841.0,-34136.0,4,1.93,81849.0,-27488.0,28.6,-8945.0,"{'target': 0.025, 'stall_days': 5, 'mode': 'put'}",2.5,5,put_30d
t2.5_s5_cc_otm30,20466.0,602,86494.0,103,-57083.0,0.0,37701.0,4,1.93,81849.0,-13253.0,25.0,-8945.0,"{'target': 0.025, 'stall_days': 5, 'mode': 'cc'}",2.5,5,cc_otm30
t2.5_s5_cc_itm10_7d,5818.0,602,86494.0,103,-71731.0,0.0,40280.0,2,0.63,54566.0,-14692.0,10.7,-8945.0,"{'target': 0.025, 'stall_days': 5, 'mode': 'cc', 'otm_pct': -0.1, 'dte_target': 7}",2.5,5,cc_itm10_7d
t2.5_s10_none,5258.0,443,61284.0,56,-44430.0,0.0,0.0,3,1.02,60178.0,-23972.0,8.7,-11596.0,"{'target': 0.025, 'stall_days': 10, 'mode': 'none'}",2.5,10,none
t2.5_s10_stop,10531.0,443,61284.0,56,-39157.0,0.0,0.0,0,0.0,30089.0,-11986.0,35.0,-11596.0,"{'target': 0.025, 'stall_days': 10, 'mode': 'stop'}",2.5,10,stop
t2.5_s10_put_30d,6204.0,443,61284.0,56,-43484.0,21774.0,-16195.0,3,1.05,60178.0,-20742.0,10.3,-11596.0,"{'target': 0.025, 'stall_days': 10, 'mode': 'put'}",2.5,10,put_30d
t2.5_s10_cc_otm30,9119.0,443,61284.0,56,-40569.0,0.0,20605.0,3,1.05,60178.0,-14577.0,15.2,-11596.0,"{'target': 0.025, 'stall_days': 10, 'mode': 'cc'}",2.5,10,cc_otm30
t2.5_s10_cc_itm10_7d,11989.0,443,61284.0,56,-37699.0,0.0,21774.0,1,0.34,60178.0,-11525.0,19.9,-11596.0,"{'target': 0.025, 'stall_days': 10, 'mode': 'cc', 'otm_pct': -0.1, 'dte_target': 7}",2.5,10,cc_itm10_7d
t3_s3_none,54015.0,611,93336.0,192,-30503.0,0.0,0.0,6,3.49,112005.0,-42536.0,48.2,-8818.0,"{'target': 0.03, 'stall_days': 3, 'mode': 'none'}",3.0,3,none
t3_s3_stop,11712.0,611,93336.0,192,-72806.0,0.0,0.0,0,0.0,30089.0,-12010.0,38.9,-8818.0,"{'target': 0.03, 'stall_days': 3, 'mode': 'stop'}",3.0,3,stop
t3_s3_put_30d,30766.0,614,93421.0,191,-53837.0,79994.0,-68744.0,6,3.57,112005.0,-35526.0,27.5,-8818.0,"{'target': 0.03, 'stall_days': 3, 'mode': 'put'}",3.0,3,put_30d
t3_s3_cc_otm30,21596.0,611,93336.0,192,-62922.0,0.0,71818.0,6,3.59,112005.0,-19325.0,19.3,-8818.0,"{'target': 0.03, 'stall_days': 3, 'mode': 'cc'}",3.0,3,cc_otm30
t3_s3_cc_itm10_7d,5631.0,611,93336.0,192,-78887.0,0.0,76551.0,3,1.15,67203.0,-15333.0,8.4,-8818.0,"{'target': 0.03, 'stall_days': 3, 'mode': 'cc', 'otm_pct': -0.1, 'dte_target': 7}",3.0,3,cc_itm10_7d
t3_s5_none,33226.0,509,85841.0,106,-44180.0,0.0,0.0,4,1.92,81849.0,-30178.0,40.6,-8435.0,"{'target': 0.03, 'stall_days': 5, 'mode': 'none'}",3.0,5,none
t3_s5_stop,9691.0,509,85841.0,106,-67715.0,0.0,0.0,0,0.0,30089.0,-12644.0,32.2,-8435.0,"{'target': 0.03, 'stall_days': 5, 'mode': 'stop'}",3.0,5,stop
t3_s5_put_30d,23355.0,509,85841.0,106,-54051.0,44178.0,-35473.0,4,1.98,81849.0,-27268.0,28.5,-8435.0,"{'target': 0.03, 'stall_days': 5, 'mode': 'put'}",3.0,5,put_30d
t3_s5_cc_otm30,21151.0,509,85841.0,106,-56255.0,0.0,38868.0,4,1.98,81849.0,-13033.0,25.8,-8435.0,"{'target': 0.03, 'stall_days': 5, 'mode': 'cc'}",3.0,5,cc_otm30
t3_s5_cc_itm10_7d,6589.0,509,85841.0,106,-70817.0,0.0,41527.0,2,0.64,54566.0,-14472.0,12.1,-8435.0,"{'target': 0.03, 'stall_days': 5, 'mode': 'cc', 'otm_pct': -0.1, 'dte_target': 7}",3.0,5,cc_itm10_7d
t3_s10_none,3998.0,366,59456.0,57,-43862.0,0.0,0.0,3,1.04,60178.0,-23972.0,6.6,-11596.0,"{'target': 0.03, 'stall_days': 10, 'mode': 'none'}",3.0,10,none
t3_s10_stop,10264.0,366,59456.0,57,-37596.0,0.0,0.0,0,0.0,30089.0,-11986.0,34.1,-11596.0,"{'target': 0.03, 'stall_days': 10, 'mode': 'stop'}",3.0,10,stop
t3_s10_put_30d,5851.0,366,59456.0,57,-42009.0,21952.0,-16372.0,3,1.06,60178.0,-20742.0,9.7,-11596.0,"{'target': 0.03, 'stall_days': 10, 'mode': 'put'}",3.0,10,put_30d
t3_s10_cc_otm30,6968.0,366,59456.0,57,-40892.0,0.0,20774.0,3,1.06,60178.0,-14577.0,11.6,-11596.0,"{'target': 0.03, 'stall_days': 10, 'mode': 'cc'}",3.0,10,cc_otm30
t3_s10_cc_itm10_7d,10897.0,366,59456.0,57,-36963.0,0.0,22562.0,1,0.34,60178.0,-11525.0,18.1,-11596.0,"{'target': 0.03, 'stall_days': 10, 'mode': 'cc', 'otm_pct': -0.1, 'dte_target': 7}",3.0,10,cc_itm10_7d
