entry_date,exit_date,entry,exit,tdays,ret
2020-07-16,2020-07-17,13.612,13.856666666666666,1,0.01797433636986967
2020-07-17,2020-07-20,13.856666666666666,14.698666666666666,1,0.06076497474140008
2020-07-20,2020-07-30,14.698666666666666,15.339333333333334,8,0.043586719883889735
2020-07-30,2020-08-03,15.339333333333334,15.959333333333332,2,0.040418966491372776
2020-08-03,2020-08-04,15.959333333333332,16.710666666666665,1,0.04707798989097278
2020-08-04,2020-08-12,16.710666666666665,17.06533333333333,6,0.021223968722572373
2020-08-12,2020-08-25,17.06533333333333,17.377333333333336,9,0.018282678334245128
2020-08-25,2020-08-26,17.377333333333336,17.555333333333333,1,0.01024322872707728
2020-08-26,2020-08-28,17.555333333333333,17.853333333333335,2,0.016974898416435735
2020-08-28,2020-09-01,17.853333333333335,18.816,2,0.053920836445108034
2020-09-01,2020-09-02,18.816,20.468,1,0.08779761904761907
2020-09-02,2020-10-12,20.468,21.238,27,0.037619699042407584
2020-10-12,2020-11-05,21.238,22.340666666666667,18,0.051919515334149624
2020-11-05,2020-11-06,22.340666666666667,23.42866666666667,1,0.04870042672555286
2020-11-06,2020-11-16,23.42866666666667,24.43933333333333,6,0.04313803602424371
2020-11-16,2020-11-23,24.43933333333333,25.09333333333333,5,0.026760140756703743
2020-11-23,2020-11-24,25.09333333333333,25.474666666666668,1,0.015196599362380603
2020-11-24,2020-11-27,25.474666666666668,26.083333333333332,2,0.023893017900135982
2020-11-27,2020-11-30,26.083333333333332,27.104,1,0.03913099041533541
2020-11-30,2020-12-01,27.104,28.500666666666667,1,0.051529909484455017
2020-12-01,2020-12-04,28.500666666666667,31.154666666666667,3,0.09312062875722216
2020-12-04,2020-12-07,31.154666666666667,31.582,1,0.013716511170076107
2020-12-07,2020-12-08,31.582,31.951999999999998,1,0.011715534165030572
2020-12-08,2021-01-05,31.951999999999998,32.492,18,0.016900350525788754
2021-01-05,2021-01-07,32.492,35.87,2,0.10396405268989284
2021-01-07,2021-01-11,35.87,37.09,2,0.034011708948982644
2021-01-11,2021-01-12,37.09,37.74666666666667,1,0.017704682304304775
2021-01-12,2021-01-14,37.74666666666667,40.338,2,0.06865065347933585
2021-01-14,2021-01-19,40.338,41.64066666666667,2,0.03229378419025908
2021-01-19,2021-01-21,41.64066666666667,43.09133333333333,2,0.03483773874897933
2021-01-21,2021-02-11,43.09133333333333,44.11666666666667,15,0.023794421151971834
2021-02-11,2021-02-12,44.11666666666667,45.80466666666667,1,0.03826218360408018
2021-02-12,2021-02-16,45.80466666666667,46.5,1,0.015180403743432214
2021-02-16,2021-08-04,46.5,47.59,118,0.02344086021505376
2021-08-04,2021-09-15,47.59,48.65,29,0.022273586888001518
2021-09-15,2021-11-01,48.65,49.96,33,0.02692702980472772
2021-11-01,2021-11-02,49.96,51.82,1,0.03722978382706166
2021-11-02,2021-11-03,51.82,53.64,1,0.03512157468159005
2021-11-03,2021-11-04,53.64,59.23,1,0.1042132736763608
2021-11-04,2021-11-05,59.23,60.92,1,0.028532838088806356
2021-11-05,2021-11-08,60.92,63.6,1,0.04399212081418247
2021-11-08,2021-11-16,63.6,66.14,6,0.03993710691823904
2021-11-16,2021-11-18,66.14,67.99,2,0.02797097066827936
2021-11-18,2021-12-07,67.99,71.99,12,0.05883218120311806
2021-12-07,2021-12-27,71.99,72.99,13,0.013890818169190133
2021-12-27,2026-04-10,72.99,76.38,1075,0.04644471845458287
2026-04-10,2026-04-13,76.38,80.5,1,0.053940822204765704
2026-04-13,2026-04-14,80.5,85.39,1,0.060745341614906856
2026-04-14,2026-04-16,85.39,88.44,2,0.03571846820470781
2026-04-16,2026-04-17,88.44,94.72,1,0.07100859339665311
2026-04-17,2026-04-20,94.72,95.94,1,0.012880067567567544
2026-04-20,2026-04-21,95.94,98.08,1,0.02230560767146139
2026-04-21,2026-04-22,98.08,105.67,1,0.07738580750407831
2026-04-22,2026-04-23,105.67,112.69,1,0.06643323554462
2026-04-23,2026-04-24,112.69,128.25,1,0.13807791285828386
2026-04-24,2026-05-01,128.25,130.33,5,0.0162183235867448
2026-05-01,2026-05-05,130.33,144.28,2,0.10703598557507865
2026-05-05,2026-05-06,144.28,165.76,1,0.14887718325478239
2026-05-06,2026-05-08,165.76,177.44,2,0.07046332046332049
2026-05-08,2026-05-11,177.44,190.4,1,0.07303877366997291
2026-05-11,2026-05-26,190.4,225.75,10,0.18566176470588225
2026-05-26,2026-06-02,225.75,266.37,5,0.1799335548172758
2026-06-02,2026-06-03,266.37,280.0,1,0.051169425986409944
2026-06-03,2026-06-22,280.0,300.89,12,0.07460714285714287
