label,final,total_ret,cagr,maxdd,vol,sharpe,years,shares,calls,puts,assigned,early,fresh_otm%,prem%
none (baseline),122993.6701967351,0.21299776684203908,0.043915547859394666,-0.6281866800114861,0.5129067411574386,0.34367820654547204,4.492813141683778,100377.5,-35263.921342287314,-42119.90846097761,47,0,3.412616339193376,0.5095865990388457
F1,125748.0698858134,0.24016242227916962,0.04907429128507501,-0.6281866800114861,0.510119302764326,0.35249052041761897,4.492813141683778,154231.5,-86363.52165320901,-42119.90846097761,36,13,3.2388663967611366,0.5095865990388457
F2,196305.06589099506,0.9291700477188174,0.15748963540528815,-0.5867745322792046,0.5740825652795379,0.5466908972026766,4.492813141683778,161321.5,-15174.720288370705,-49841.71382063428,34,0,10.447761194029852,0.49218750733416533
F3,154615.50629643572,0.5132592070336626,0.09659104101436977,-0.7464022872396338,0.6622882978351546,0.4750622532453211,4.492813141683778,113923.50000000004,-38172.56304064935,-21135.430662915038,47,0,3.412616339193376,0.5095865990388457
F1+F2,196305.06589099506,0.9291700477188174,0.15748963540528815,-0.5867745322792046,0.5740627336873335,0.5466891965933565,4.492813141683778,164119.5,-17972.72028837068,-49841.71382063428,27,7,10.447761194029852,0.49218750733416533
F1+F3,158666.98093144072,0.5529119652876127,0.10292256587028481,-0.7464022872396338,0.6573656823744038,0.4825216309979098,4.492813141683778,182480.50000000006,-102678.08840564433,-21135.430662915038,36,13,3.2388663967611366,0.5095865990388457
F2+F3,247949.95953102713,1.4182308990216965,0.21718908549930394,-0.7044339551523153,0.720049882519475,0.6397358007547445,4.492813141683778,199304.00000000006,-23360.710572552554,-27993.3298964204,34,0,10.447761194029852,0.49218750733416533
F1+F2+F3,247949.95953102713,1.4182308990216965,0.21718908549930394,-0.7044339551523153,0.7200621479588781,0.6397376373074111,4.492813141683778,201172.00000000006,-25228.71057255254,-27993.3298964204,27,7,10.447761194029852,0.49218750733416533
