start,cfg,final,cagr,maxdd,bh_cagr,bh_dd,excess
2022-01-03,baseline,122993.6701967351,0.043915547859394666,-0.6281866800114861,0.22758185326386093,-0.9039924040365778,-0.18366630540446627
2022-01-03,F1,125748.0698858134,0.04907429128507501,-0.6281866800114861,0.22758185326386093,-0.9039924040365778,-0.17850756197878592
2022-01-03,F2,196305.06589099506,0.15748963540528815,-0.5867745322792046,0.22758185326386093,-0.9039924040365778,-0.07009221785857278
2022-01-03,F3,154615.50629643572,0.09659104101436977,-0.7464022872396338,0.22758185326386093,-0.9039924040365778,-0.13099081224949116
2022-01-03,F1+F2,196305.06589099506,0.15748963540528815,-0.5867745322792046,0.22758185326386093,-0.9039924040365778,-0.07009221785857278
2022-01-03,F1+F3,158666.98093144072,0.10292256587028481,-0.7464022872396338,0.22758185326386093,-0.9039924040365778,-0.12465928739357612
2022-01-03,F2+F3,247949.95953102713,0.21718908549930394,-0.7044339551523153,0.22758185326386093,-0.9039924040365778,-0.010392767764556998
2022-01-03,F1+F2+F3,247949.95953102713,0.21718908549930394,-0.7044339551523153,0.22758185326386093,-0.9039924040365778,-0.010392767764556998
2022-01-10,baseline,123537.55176750966,0.04612120666861719,-0.6153451448565836,0.28028432653462576,-0.8927109879621592,-0.23416311986600857
2022-01-10,F1,126476.85518155296,0.0516342502518361,-0.6181278561635685,0.28028432653462576,-0.8927109879621592,-0.22865007628278966
2022-01-10,F2,197606.38023820182,0.1551198851017317,-0.5946751303474807,0.28028432653462576,-0.8927109879621592,-0.12516444143289407
2022-01-10,F3,177786.62911910698,0.13183085763857072,-0.7146058620511482,0.28028432653462576,-0.8927109879621592,-0.14845346889605504
2022-01-10,F1+F2,197606.38023820182,0.1551198851017317,-0.5946751303474807,0.28028432653462576,-0.8927109879621592,-0.12516444143289407
2022-01-10,F1+F3,178429.14749108392,0.13274391420621612,-0.7169282690243272,0.28028432653462576,-0.8927109879621592,-0.14754041232840964
