sleeve,on_days,trades_per_day,gross_bp,cost_bp,net_bp,net_sharpe
SOXL,685,3.1489051094890512,42.12663797690887,3.2067689705654505,38.91986900634342,1.952081392636271
SOXS,697,3.2869440459110475,32.1635329523298,8.361103808482063,23.802429143847732,1.1775719501562616
UVXY,488,3.4241803278688523,16.300464919679193,18.076135468065576,-1.7756705483863842,-0.08032903622831816
